,Name,Link,Advertiser,Description
0,REMOTE - Sr. Software Engineer - Big Data/ETL Development,https://www.dice.com/jobs/detail/99b5d796f08f9599e70171ad20518500?searchlink=search%2F%3Fq%3D%2522big%2520data%2520analytics%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=c3618edc-abfe-4774-822c-0d10d744c77b,LexisNexis - Risk Solutions,"
Sr. Software Engineer - Big Data Analytics / ETL Development/ AzureREMOTE position for anywhere in EST or CST time zonesLexisNexis’ linking team is responsible for linking billions of public and proprietary records to create a unique entity identifier for consumers, organizations and providers.  We're looking for an experienced, smart, driven individual who will help us build and deliver enterprise-wide big data linking solutions by resolving complex analytical problems using quantitative approaches with a unique blend of analytical, mathematical and technical skills.  This includes analyzing and linking large data problems using various statistical techniques, developing data models, implementing solutions, and providing support.  So if you thrive on and enjoy varied work that requires a diverse range of skills including: data analysis, programming and algorithms as well as spending days working on hard problems with smart people this opportunity is ideal. In addition to supporting and working on an entire suite of services we offer, there are some exciting new cloud migration projects we are currently working on. REQUIRED QUALIFICATIONBachelor or Master’s degree in computer science, applied mathematics, statistics, or equivalent technical discipline5+ years of experience in big data analytics and complex ETL development systemsExperience in building record linkage application using probabilistic and approximate matchingKnowledge in machine learning methods including at least one of the following: Time Series analysis, Hierarchical Bayes; or deep learning techniques such as Decision Trees, Boosting, Random ForestsAbility to assemble, analyze, and evaluate big data and be able to make appropriate and well-reasoned recommendations to stakeholdersStrong analytical and problem solving skills, good understanding of different data structures, algorithms and their usage in solving business problemsSolid verbal and written communication skillsExperience with HPCC, ECL, Java, C++ - preferredExperience with cloud technologies - Azure, Kubernetes, Terraform - preferred
"
1,Big Data Engineer/ Feature Lead,https://www.dice.com/jobs/detail/ae2381e2ef5955df4d5472058f9c4a79?searchlink=search%2F%3Fq%3D%2522big%2520data%2520analytics%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=c3618edc-abfe-4774-822c-0d10d744c77b,Bank Of America,"
Job Description:Position Summary  Develops, enhances, debugs, supports, maintains and tests software applications that support business units or supporting functions. These application program solutions may involve diverse development platforms, software, hardware, technologies and tools. Participates in the design, development and implementation of complex applications using new technologies. May provide technical direction and system architecture for individual initiatives. Serves as a fully seasoned/proficient technical resource. May collaborate with external programmers to coordinate delivery of software application. Routine accountability is for technical knowledge and capabilities. Should be able to work independently under minimal supervision, with general guidance from more seasoned consultants. The candidate is expected to liaise with the business analysts, and other technology delivery manager. Required Skills Bachelor's degree in Science or Engineering.7+ year of Industry experience.Minimum 4-5 years of Big Data experience.Solid understanding on OOP languages and must have working experience in C++, core java, J2EE.Should have good Knowledge on Hadoop Cluster Architecture.Hands on Hadoop and the Hadoop ecosystem required - Proven experience within CLOUDERA Hadoop ecosystems (HDFS, YARN, Hive, HBase, Sqoop, Spark, Hue,etc.)Design and implement Apache Spark based real time stream processing data pipeline involving complex data processing.Hands-on experience developing applications using Big Data, Kafka, Cassandra, Apache Spark and related areas.Implement complex data processing algorithms in real time with optimized and efficient manner using Scala/Java.Knowledge of any one of the scripting languages, such as Python, Unix Shell Scripting or PERL etc., is essential for this position.Excellent analytical & problem solving skills, willingness to take ownership and resolve technical challenges.Experience in performing Proof-Of-concept for new technologies.Strong communication, documentation skills & technology awareness and capability to interact with technology leaders is a must.Good knowledge on Agile Methodology and the Scrum process.Desired Skills  Experience in Real time streaming ( Kafka )  Experience with Big Data Analytics & Business Intelligence and Industry standard tools integrated with Hadoop ecosystem. ( R , Python ) Visual Analytics Tools knowledge ( Tableau ) Shift:1st shift (United States of America)Hours Per Week:40Learn more about this role
		"
2,Big Data Software Engineer II,https://www.dice.com/jobs/detail/6872dac8c45e3b8845ebb004d48cdfa6?searchlink=search%2F%3Fq%3D%2522big%2520data%2520analytics%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=c3618edc-abfe-4774-822c-0d10d744c77b,Bank Of America,"
Job Description:Position Summary  Develops, enhances, debugs, supports, maintains and tests software applications that support business units or supporting functions. These application program solutions may involve diverse development platforms, software, hardware, technologies and tools. Participates in the design, development and implementation of complex applications using new technologies. May provide technical direction and system architecture for individual initiatives. Serves as a fully seasoned/proficient technical resource. May collaborate with external programmers to coordinate delivery of software application. Routine accountability is for technical knowledge and capabilities. Should be able to work independently under minimal supervision, with general guidance from more seasoned consultants. The candidate is expected to liaise with the business analysts, and other technology delivery manager. Required Skills  Bachelor's degree in Science or Engineering.  7+ year of Industry experience.  Minimum 4-5 years of Big Data experience.  Solid understanding on OOP languages and must have working experience in C++, core java, J2EE.  Should have good Knowledge on Hadoop Cluster Architecture.  Hands on Hadoop and the Hadoop ecosystem required - Proven experience within CLOUDERA Hadoop ecosystems (HDFS, YARN, Hive, HBase, Sqoop, Spark, Hue,etc.).  Design and implement Apache Spark based real time stream processing data pipeline involving complex data processing.  Hands-on experience developing applications using Big Data, Kafka, Cassandra, Apache Spark and related areas.  Implement complex data processing algorithms in real time with optimized and efficient manner using Scala/Java.  Knowledge of any one of the scripting languages, such as Python, Unix Shell Scripting or PERL etc., is essential for this position.  Excellent analytical & problem solving skills, willingness to take ownership and resolve technical challenges.  Experience in performing Proof-Of-concept for new technologies.  Strong communication, documentation skills & technology awareness and capability to interact with technology leaders is a must.  Good knowledge on Agile Methodology and the Scrum process.  Desired Skills  Experience in Real time streaming ( Kafka )  Experience with Big Data Analytics & Business Intelligence and Industry standard tools integrated with Hadoop ecosystem. ( R , Python ) Visual Analytics Tools knowledge ( Tableau ) Shift:1st shift (United States of America)Hours Per Week:40Learn more about this role
		"
3,Java Bigdata with AWS,https://www.dice.com/jobs/detail/33c5ed27483acd63fd06106c8f644594?searchlink=search%2F%3Fq%3D%2522big%2520data%2520analytics%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=c3618edc-abfe-4774-822c-0d10d744c77b,Momento USA LLC,"
Greetings of the day !!   Momento USA is a global technology consulting, talent acquisition and creative development firm that addresses clients most pressing needs and challenges. We are currently looking for Java Bigdata with AWS for a client based out in Tampa, FL. Please see the job description below for your reference.     Job title: Java Bigdata with AWS Location: Tampa, FL (Initial 1 Month remote and then on-site) Duration: Long-Term   Roles and Responsibilities     Understand the enterprise architecture within the context of existing platforms, services, and strategic direction.  Digest broader enterprise, horizontal view across all technical disciplines to evaluate interoperability and incorporate it in solution architecture  Implement end-to-end solutions with sound technical architecture, in Big Data analytics framework along with customized solutions that are scalable, with primary focus on performance, quality, maintainability, cost and testability.  Drive innovative solutions within the platform to establish common components, while allowing customization of solutions for different products.  Conduct hands- on development of data analytics in line with reporting needs as reference implementation for the team.  Verify accuracy, performance, scalability, stability, cost-effectiveness, and maintainability of team delivery. Perform hands-on technology spikes following standard architecture, design patterns and company policies, standards, and best practices.  Develop design specifications, continuous build, and deployment strategy to drive Agile methodology. Recommend changes on project design concepts to improve efficiency.  Coach and mentor junior developers on design and technical issues, and support development of systems where needed.  Setup and manage expectations with consultants engaged in the projects.     Thanks, Adam Walker Technical Recruiter Momento USA | Exceeding Customer Expectations  440 Benigno Blvd, Unit#A 2nd Floor. Bellmawr, NJ 08031 Interstate Business Park Direct:  || Tel :  Ext 1021; Fax:  Email: ; Web: www.MomentoUSA.com Note: Momento USA is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status. 
"
4,"Sr.Java developer(AWS,Big Data)",https://www.dice.com/jobs/detail/1791afe11bb3916c423efd40bb4cf915?searchlink=search%2F%3Fq%3D%2522big%2520data%2520analytics%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=c3618edc-abfe-4774-822c-0d10d744c77b,StarTechs Inc.,"
Role: Java developer(AWS with Big data)Location: Tampa, FL (Initial Remote)Duration: 12+ monthsJob Description:Understand the enterprise architecture within the context of existing platforms, services and strategic direction.Digest broader enterprise, horizontal view across all technical disciplines to evaluate interoperability and incorporate it in solution architectureImplement end-to-end solutions with sound technical architecture, in Big Data analytics framework along with customized solutions that are scalable, with primary focus on performance, quality, maintainability, cost and testability.Coach and mentor junior developers on design and technical issues, and support development of systems where needed.Setup and manage expectations with consultants engaged in the projects. Tech Stack Requirements: Java, Scala, Cloud (preferably AWS), Big Data, Hadoop, Spark, Spark SQL, Presto \ Hive, SQL, RDBMS (such as Postgres and/or Oracle), Linux, Shell scripting, GitLab, Airflow. Role Requirements (list the critical experience, knowledge, qualifications, skills, and competencies needed to perform this role - over and above standard Nielsen leadership and personal effectiveness competencies). Mark each with E=essential, P=preferred.E - Bachelor’s degree in computer science, engineering (any), or related (foreign equivalent degree acceptable), plus 5 years of experience in the job offered or 5 years of progressively-responsible post-baccalaureate experience as a professional developer in information technology solutions development, or related. Having studied statistical methods and operation research is a plusE - Three (3) years of experience in Java with a mastery of object-oriented design principles;E - Two (2) years experience working in cloud computing, AWS preferredE - Two (2) years of experience: big data using nosql like mongodb or Spark in developing distributed processing applicationsE - Any level of experience in and/or knowledge of: Hadoop, Service-oriented architecture, Kubernetes, Docker, Scala, Airflow, SQL, NoSQL, Spark Streaming, and Git; building applications with immutable infrastructure in the AWS (Amazon Web Services) Cloud with automation technologies like Terraform or Ansible or CloudFormation.
"
5,Developer Relations (DevRel) Engineer,https://www.dice.com/jobs/detail/966ba01116c46ab9bd21025e269b4bc9?searchlink=search%2F%3Fq%3D%2522big%2520data%2520analytics%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=c3618edc-abfe-4774-822c-0d10d744c77b,Molecula,"
			Molecula is an Operational AI company that closes the gap between data and decision, enabling organizations to unlock the power of real-time analytics and AI.  Our core technology, FeatureBase, is a feature-oriented database platform that powers real-time analytics and machine learning applications by simultaneously executing low latency, high throughput, and highly concurrent workloads.  We are a burgeoning startup with a passionate team of dedicated engineers, marketers, and business experts determined to make a positive impact.  Want to play around with FeatureBase Cloud? Try it out here!Our engineering team is a group of brilliant makers and doers passionate about building world class products and solutions that make AI and ML possible for all. They take really challenging technical problems and turn them into elegantly simple yet incredibly complex solutions that delight our users. Most of all, they take pride in their craft and are a collaborative bunch that truly cares about the team, clients, company, and opportunity. Why you would want to consider this opportunity?   With over 2.3k stars on Github, our  sleeping giant  is ready to be woken!    The underlying technology is truly novel.  It allows FeatureBase to have 100X better price-performance compared to brute force solutions, sub-second latency on your most complex queries, and up to 90x hardware footprint reduction!   We have an awesome team that truly cares and supports each other and genuinely wants to see you flourish. Here, meet  Souhaila ,    Jonathan , and Stephanie .    We walk the walk when it comes to representation. More than half of the engineer team are LGBTQ+, people of color, and women.   The Total Addressable Market (TAM) is HUGE! The  big data analytics market  is projected to grow from USD 231.43 billion in 2021 to USD 549.73 billion in 2028 at a CAGR of 13.2% in 2021-2028 period.   You'll have the autonomy and authority to make decisions and take action against our plan because  ain't nobody got time for that  .   wWhat success looks like in your first year.   You've executed the plan you co-created with the team to reinvigorate our OSS community.   You've been critical in engaging the community and building a pipeline of future buyers.   You've completed all your assigned individual projects and deliverables.   You've evangelized a culture of accountability, collaboration, and autonomy so that everyone on the team can do amazing work, together.   You've shown up for our OSS community and applied their input.   Some of the things we're looking for.   At minimum    10+ years of experience in a technical role at a software or cloud tech company with at least 5 years focused in a DevRel, Developer Advocate, Tech Evangelist or closely related role.   Ability to travel up to 50% of the time nationally.    Bonus points    Bachelor's, Master's, or PhD in Computer Science, related field, or equivalent practical experience.   Experience with Go or a similar programming language.   Hands on experience executing analytical workloads or ML workloads.   Hands on experience working alongside data engineers and data scientists.   A following on major social media outlets.    Thought Leaders love us!  Molecula included in the Gartner Hype Cycle The 10 Hottest Big Data Startups   Top Startups in Austin   Top Big Data Analytics Startups 2022   Best Texas Data Startups   Best Texas Startups   The ML Shortlist   The insideBIGDATA IMPACT 50 List DBTA: 100 Companies That Matter Most in Data   EEO: Molecula is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires accommodation, please let us know as a response in the application.    To all recruitment agencies: Molecula does not accept agency resumes. Please do not forward resumes to our jobs alias, Molecula employees or any other organization location. Molecula is not responsible for any fees related to unsolicited resumes.
		"
6,Principal Software Engineer - Serverless,https://www.dice.com/jobs/detail/a388705b06deaeb0e88e16942b4cf86c?searchlink=search%2F%3Fq%3D%2522big%2520data%2520analytics%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=c3618edc-abfe-4774-822c-0d10d744c77b,Molecula,"
			Molecula is an Operational AI company that closes the gap between data and decision, enabling organizations to unlock the power of real-time analytics and AI.  Our core technology, FeatureBase, is a feature-oriented database platform that powers real-time analytics and machine learning applications by simultaneously executing low latency, high throughput, and highly concurrent workloads.  We are a burgeoning startup with a passionate team of dedicated engineers, marketers, and business experts determined to make a positive impact.  Want to play around with FeatureBase Cloud? Try it out here!Our engineering team is a group of brilliant makers and doers passionate about building world class products and solutions that make AI and ML possible for all. They take really challenging technical problems and turn them into elegantly simple yet incredibly complex solutions that delight our users. Most of all, they take pride in their craft and are a collaborative bunch that truly cares about the team, clients, company, and opportunity. Why you would want to consider this opportunity?   With over 2.3k stars on Github, our  sleeping giant  is ready to be woken!    The underlying technology is truly novel.  It allows FeatureBase to have 100X better price-performance compared to brute force solutions, sub-second latency on your most complex queries, and up to 90x hardware footprint reduction!   We have an awesome team that truly cares and supports each other and genuinely wants to see you flourish. Here, meet Souhaila, Jonathan, and Stephanie.   We walk the walk when it comes to representation. More than half of the engineer team are LGBTQ+, people of color, and women.   The Total Addressable Market (TAM) is HUGE! The  big data analytics market  is projected to grow from USD 231.43 billion in 2021 to USD 549.73 billion in 2028 at a CAGR of 13.2% in 2021-2028 period.   You'll have the autonomy and authority to make decisions and take action against our plan because  ain't nobody got time for that  .   What success looks like in your first year.   You've been critical in launching serverless architecture for our SaaS offering.   You've been critical in making our product super duper easy to use.   You've completed all your assigned individual projects and deliverables.   You've evangelized a culture of accountability, collaboration, and autonomy so that everyone on the team can do amazing work, together.   You've shown up for our OSS community and applied their input.   Some of the things we're looking for.   At minimum    10+ years of software engineering experience at a software or cloud tech company.   Direct, hands on, experience with serverless architecture.    Bonus points    A technical background and passion for engaging with developers who are building databases, infrastructure, in-memory systems, developer products and tools, or other low level data products.   Experience with source code repositories such as Github and tools/processes for tracking community engagement.   Fluent in Open Source go-to-market strategies and projects.   Bachelor's, Master's, or PhD in Computer Science, related field, or equivalent practical experience.   Experience with Go or a similar programming language.    Thought Leaders love us!  Molecula included in the Gartner Hype Cycle The 10 Hottest Big Data Startups   Top Startups in Austin   Top Big Data Analytics Startups 2022   Best Texas Data Startups   Best Texas Startups   The ML Shortlist   The insideBIGDATA IMPACT 50 List DBTA: 100 Companies That Matter Most in Data   EEO: Molecula is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires accommodation, please let us know as a response in the application.    To all recruitment agencies: Molecula does not accept agency resumes. Please do not forward resumes to our jobs alias, Molecula employees or any other organization location. Molecula is not responsible for any fees related to unsolicited resumes.
		"
7,Software Engineer - SaaS,https://www.dice.com/jobs/detail/79ba34f01d1ed5521c1ca4ad2c2e894d?searchlink=search%2F%3Fq%3D%2522big%2520data%2520analytics%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=c3618edc-abfe-4774-822c-0d10d744c77b,Molecula,"
			Molecula is an Operational AI company that closes the gap between data and decision, enabling organizations to unlock the power of real-time analytics and AI.  Our core technology, FeatureBase, is a feature-oriented database platform that powers real-time analytics and machine learning applications by simultaneously executing low latency, high throughput, and highly concurrent workloads.  We are a burgeoning startup with a passionate team of dedicated engineers, marketers, and business experts determined to make a positive impact.  Want to play around with FeatureBase Cloud? Try it out here!Our engineering team is a group of brilliant makers and doers passionate about building world class products and solutions that make AI and ML possible for all. They take really challenging technical problems and turn them into elegantly simple yet incredibly complex solutions that delight our users. Most of all, they take pride in their craft and are a collaborative bunch that truly cares about the team, clients, company, and opportunity. Why you would want to consider this opportunity?   With over 2.3k stars on Github, our  sleeping giant  is ready to be woken!    The underlying technology is truly novel.  It allows FeatureBase to have 100X better price-performance compared to brute force solutions, sub-second latency on your most complex queries, and up to 90x hardware footprint reduction!   We have an awesome team that truly cares and supports each other and genuinely wants to see you flourish. Here, meet  Souhaila ,    Jonathan , and Stephanie .    We walk the walk when it comes to representation. More than half of the engineer team are LGBTQ+, people of color, and women.   The Total Addressable Market (TAM) is HUGE! The  big data analytics market  is projected to grow from USD 231.43 billion in 2021 to USD 549.73 billion in 2028 at a CAGR of 13.2% in 2021-2028 period.   You'll have the autonomy and authority to make decisions and take action against our plan because  ain't nobody got time for that  .   What success looks like in your first year.   You've been critical in launching our SaaS offering.   You've been critical in making our product super duper easy to use.   You've completed all your assigned individual projects and deliverables.   You've evangelized a culture of accountability, collaboration, and autonomy so that everyone on the team can do amazing work, together.   You've shown up for our OSS community and applied their input.   Some of the things we're looking for.   At minimum    5+ years of software engineering experience at a software or cloud tech company.   Direct, hands on, experience building a SaaS product.    Bonus points    A technical background and passion for engaging with developers who are building databases, infrastructure, in-memory systems, developer products and tools, or other low level data products.   Experience with source code repositories such as Github and tools/processes for tracking community engagement.   Fluent in Open Source go-to-market strategies and projects.   Bachelor's, Master's, or PhD in Computer Science, related field, or equivalent practical experience.   Experience with Go or a similar programming language.    Thought Leaders love us!  Molecula included in the Gartner Hype Cycle The 10 Hottest Big Data Startups   Top Startups in Austin   Top Big Data Analytics Startups 2022   Best Texas Data Startups   Best Texas Startups   The ML Shortlist   The insideBIGDATA IMPACT 50 List DBTA: 100 Companies That Matter Most in Data   EEO: Molecula is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires accommodation, please let us know as a response in the application.    To all recruitment agencies: Molecula does not accept agency resumes. Please do not forward resumes to our jobs alias, Molecula employees or any other organization location. Molecula is not responsible for any fees related to unsolicited resumes.
		"
8,Software Engineer - Serverless,https://www.dice.com/jobs/detail/f0a6073705103ce3b3c57c3069bfc569?searchlink=search%2F%3Fq%3D%2522big%2520data%2520analytics%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=c3618edc-abfe-4774-822c-0d10d744c77b,Molecula,"
			Molecula is an Operational AI company that closes the gap between data and decision, enabling organizations to unlock the power of real-time analytics and AI.  Our core technology, FeatureBase, is a feature-oriented database platform that powers real-time analytics and machine learning applications by simultaneously executing low latency, high throughput, and highly concurrent workloads.  We are a burgeoning startup with a passionate team of dedicated engineers, marketers, and business experts determined to make a positive impact.  Want to play around with FeatureBase Cloud? Try it out here!Our engineering team is a group of brilliant makers and doers passionate about building world class products and solutions that make AI and ML possible for all. They take really challenging technical problems and turn them into elegantly simple yet incredibly complex solutions that delight our users. Most of all, they take pride in their craft and are a collaborative bunch that truly cares about the team, clients, company, and opportunity. Why you would want to consider this opportunity?   With over 2.3k stars on Github, our  sleeping giant  is ready to be woken!    The underlying technology is truly novel.  It allows FeatureBase to have 100X better price-performance compared to brute force solutions, sub-second latency on your most complex queries, and up to 90x hardware footprint reduction!   We have an awesome team that truly cares and supports each other and genuinely wants to see you flourish. Here, meet Souhaila, Jonathan, and Stephanie.   We walk the walk when it comes to representation. More than half of the engineer team are LGBTQ+, people of color, and women.   The Total Addressable Market (TAM) is HUGE! The  big data analytics market  is projected to grow from USD 231.43 billion in 2021 to USD 549.73 billion in 2028 at a CAGR of 13.2% in 2021-2028 period.   You'll have the autonomy and authority to make decisions and take action against our plan because  ain't nobody got time for that  .   What success looks like in your first year.   You've been critical in launching serverless architecture for our SaaS offering.   You've been critical in making our product super duper easy to use.   You've completed all your assigned individual projects and deliverables.   You've evangelized a culture of accountability, collaboration, and autonomy so that everyone on the team can do amazing work, together.   You've shown up for our OSS community and applied their input.   Some of the things we're looking for.   At minimum    5+ years of software engineering experience at a software or cloud tech company.   Direct, hands on, experience with serverless architecture.    Bonus points    A technical background and passion for engaging with developers who are building databases, infrastructure, in-memory systems, developer products and tools, or other low level data products.   Experience with source code repositories such as Github and tools/processes for tracking community engagement.   Fluent in Open Source go-to-market strategies and projects.   Bachelor's, Master's, or PhD in Computer Science, related field, or equivalent practical experience.   Experience with Go or a similar programming language.    Thought Leaders love us!  Molecula included in the Gartner Hype Cycle The 10 Hottest Big Data Startups   Top Startups in Austin   Top Big Data Analytics Startups 2022   Best Texas Data Startups   Best Texas Startups   The ML Shortlist   The insideBIGDATA IMPACT 50 List DBTA: 100 Companies That Matter Most in Data   EEO: Molecula is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires accommodation, please let us know as a response in the application.    To all recruitment agencies: Molecula does not accept agency resumes. Please do not forward resumes to our jobs alias, Molecula employees or any other organization location. Molecula is not responsible for any fees related to unsolicited resumes.
		"
9,Principal Software Engineer - SaaS,https://www.dice.com/jobs/detail/843ae4300dc250aae454bb24aa7cfa56?searchlink=search%2F%3Fq%3D%2522big%2520data%2520analytics%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=c3618edc-abfe-4774-822c-0d10d744c77b,Molecula,"
			Molecula is an Operational AI company that closes the gap between data and decision, enabling organizations to unlock the power of real-time analytics and AI.  Our core technology, FeatureBase, is a feature-oriented database platform that powers real-time analytics and machine learning applications by simultaneously executing low latency, high throughput, and highly concurrent workloads.  We are a burgeoning startup with a passionate team of dedicated engineers, marketers, and business experts determined to make a positive impact.  Want to play around with FeatureBase Cloud? Try it out here!Our engineering team is a group of brilliant makers and doers passionate about building world class products and solutions that make AI and ML possible for all. They take really challenging technical problems and turn them into elegantly simple yet incredibly complex solutions that delight our users. Most of all, they take pride in their craft and are a collaborative bunch that truly cares about the team, clients, company, and opportunity. Why you would want to consider this opportunity?   With over 2.3k stars on Github, our  sleeping giant  is ready to be woken!    The underlying technology is truly novel.  It allows FeatureBase to have 100X better price-performance compared to brute force solutions, sub-second latency on your most complex queries, and up to 90x hardware footprint reduction!   We have an awesome team that truly cares and supports each other and genuinely wants to see you flourish. Here, meet  Souhaila ,    Jonathan , and Stephanie .    We walk the walk when it comes to representation. More than half of the engineer team are LGBTQ+, people of color, and women.   The Total Addressable Market (TAM) is HUGE! The  big data analytics market  is projected to grow from USD 231.43 billion in 2021 to USD 549.73 billion in 2028 at a CAGR of 13.2% in 2021-2028 period.   You'll have the autonomy and authority to make decisions and take action against our plan because  ain't nobody got time for that  .   What success looks like in your first year.   You've been critical in launching our SaaS offering.   You've been critical in making our product super duper easy to use.   You've completed all your assigned individual projects and deliverables.   You've evangelized a culture of accountability, collaboration, and autonomy so that everyone on the team can do amazing work, together.   You've shown up for our OSS community and applied their input.   Some of the things we're looking for.   At minimum    10+ years of software engineering experience at a software or cloud tech company.   Direct, hands on, experience building a SaaS product.    Bonus points    A technical background and passion for engaging with developers who are building databases, infrastructure, in-memory systems, developer products and tools, or other low level data products.   Experience with source code repositories such as Github and tools/processes for tracking community engagement.   Fluent in Open Source go-to-market strategies and projects.   Bachelor's, Master's, or PhD in Computer Science, related field, or equivalent practical experience.   Experience with Go or a similar programming language.    Thought Leaders love us!  Molecula included in the Gartner Hype Cycle The 10 Hottest Big Data Startups   Top Startups in Austin   Top Big Data Analytics Startups 2022   Best Texas Data Startups   Best Texas Startups   The ML Shortlist   The insideBIGDATA IMPACT 50 List DBTA: 100 Companies That Matter Most in Data   EEO: Molecula is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires accommodation, please let us know as a response in the application.    To all recruitment agencies: Molecula does not accept agency resumes. Please do not forward resumes to our jobs alias, Molecula employees or any other organization location. Molecula is not responsible for any fees related to unsolicited resumes.
		"
