,Name,Link,Advertiser,Description
0,"
                            Operations and Data Analyst
                        ",https://jobsearch.gov.au/Job/View/Details/2302206842?context=a2976ed8-3734-4e47-b932-ae9bfbed4733,https://www.illion.com.au/,"
About the company

illion is the leading independent provider of trusted data and analytics products and services in Australia and New Zealand. illion is headquartered in Melbourne with offices in all major metropolitan cities across Australia and New Zealand. Our team work with leading brands in our region to bring data & analytics to life.

About the role / Business Unit

Our Bureau Operations team are the first point of contact to consumers and our customers, supporting them at a day to day operational level with anything related to our data in the Bureau. The team manage incoming queries related to the data in our bureau, working closely with internal stakeholders to meet customer requirements

Duties

To manage, monitor and analyse all data load processes on illion's CCB
To support client data related queries in accordance with defined SLAs
To provide level 1 support to clients across CCB & IDV API channels
To ensure service optimisation and minimal downtime, across all products supported by the Customer Support team
Skills & Experience

ICT AND/OR minimum 2 years’ industry 
Ability to maintain focus in a high paced environment with a strong attention to detail
Proactive problem solving and analytical skills
The capacity to communicate effectively with all levels building co-operative relationships with associates and management.
A general interest in credit reporting or previous experience in the credit industry.
Intermediate to strong skills/knowledge in: Excel, SQL, SAS, Powerpoint

Culture

At illion, we are always seeking innovative and forward-thinking individuals to join us on our journey. Our culture is unique. It's fast, results-driven and dynamic. It's certainly not for everyone. But if you thrive in a high performing environment - illion could be for you!

Benefits

Just for the Health of it - illion Wellbeing Program - corporate massages and flu vaccinations included
Social Club - Quarterly calendar of events allowing team member to network and socialised in a fun and relaxed environment
Leadership Development Programs - build your skillset and become an illion future leader
How to Apply

To apply, please click ""Apply Now"" button and we will be in touch shortly.

Here at illion, we value diversity and inclusion and believe that we are able to grow and learn better together with a diverse team of employees. By joining illion you'll be part of an inclusive culture that celebrates a diversity of cultures, skill sets, educations and opinions. People from all culturally diverse backgrounds including Aboriginal & Torres Strait Islander Peoples are encouraged to apply.
"
1,"
                            Data Consultant
                        ",https://jobsearch.gov.au/Job/View/Details/2303212687?context=a2976ed8-3734-4e47-b932-ae9bfbed4733,http://www.servian.com,"
Who are we?

Servian is the largest privately owned data consultancy in Australia. We embrace innovation and change, and the positive impact it has for us and our clients. All roles at Servian involve personal and technical development and career growth, so speak to us about how we can work together.

Our business focuses on Data and Automation across the following pillars:

Cloud & Technology - Cloud Services (AWS, Azure, Google Cloud Platform), HashiCorp
Data & Analytics - BI/DWH, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics
Digital - Full stack Development, UI/UX Design, Mobile Development
Customer Engagement - Marketing Campaigns, Campaign Analysis, Customer Insights
Artificial Intelligence - Natural Language Processing, Computer Vision, Machine Learning, Deep Learning
Cyber Security - DevSecOps, Penetration Testing, Multi-Cloud Security, Security Posture Analysis

About the Role

Senior Data Consultants at Servian are responsible for bringing experience and thought-leadership in all areas of data. Your skills will be leveraged by our tier-1 clients across all industries and technologies. Your expertise will support in leading their overall strategy and vision for data, and delivering on cutting-edge data projects.

Typical Responsibilities

Advise on data strategy.
Architect solutions for the establishment of data capabilities including data models, database and data storage infrastructure, master and metadata management, data quality, data integration, data warehousing, data transformation, data analysis and data governance.
Manage the delivery of programs to execute the data strategy.
Collaborate with executives, managers, system owners, data providers, analysts, and various other stakeholders to data projects, to deliver on the data strategy.
Support pre-sales activity to promote Servian, our capabilities and value to current and prospective clients.

Capabilities & Experience

Strong strategic thinker, influencer and problem solver, with technical competency and commercial awareness.
Strong knowledge of all data concepts, technologies, approaches and trends.
Solid practical capability with SQL, P/SQL, databases, integration, master data management, quality assurance, data wrangling and data governance technologies.
Ability to articulate highly technical architectures, concepts, use-cases, designs and approaches, in a way that can be understood by stakeholders of varying degrees of technical literacy.
Knowledge of Cloud environments are desirable, including Google, AWS and Azure.
Knowledge of AI and ML technologies and principles are desirable.

Wellbeing & Benefits

Access to a wide range of internal training sessions, across both technical and consulting skills.
Sponsored certifications across all our partner technology vendors. 
We provide employees with Life, Salary Insurance and access to an Employee Assistance Program. 
We are proud to have a sociable workplace that values diversity and celebrates achievement with multiple company-wide, social, and family events throughout the year. Due to Covid-19, all social events are currently virtual.

Inclusion & Diversity

Servian recognises individual differences and welcomes people from a variety of life and work experiences. The diversity of our people is core to our ability to innovate, grow and to fulfil our collective aspiration of helping people to own their tomorrow. A natural curiosity, a respect for differences and a growth mindset are valued at Servian.

What’s Next?

If this sounds like you, please send us your CV!
"
2,"
                            *Adobe Business Data and Audiences - Practice Manager*
                        ",https://jobsearch.gov.au/Job/View/Details/2303213392?context=a2976ed8-3734-4e47-b932-ae9bfbed4733,https://www.accenture.com/au-en,"
This role can be based in Melbourne/Sydney/Brisbane/Adelaide/Canberra/Perth.

Deliver on the promise of Adobe’s technology by building out the best Adobe Data and Audiences Practice in the region. Working with the practice leader, this role is to build and run a team that can drive performance based on data for our clients. You will bring together your expertise, best practices, and the best talent in the market to work with the considerable broader offerings already in Accenture.

Drive the leading Adobe Data and Audiences led digital performance marketing team in :

•	Data and insights – providing data engineering, architecting, gathering, reporting, insights and storytelling.
•	Building complete views of the customer, audience segmentation and maximizing value of CDPs.
•	Be a key part of a new practice that has it’s own identity and unique place in Accenture in a way that can plug into other relevant groups and offerings.
•	Optimise the processes, operating procedures and development programs that will allow the practice to scale and be cloned in market units -and by clients.
•	Work closely with the Intelligence capability to create innovative offerings and business models that are attractive to clients and remove the barrier to decision.
•	Contribute to assets that can be used to position and originate opportunities for the practices’ offerings (to different parts of Accenture and to clients)

Desired Experience:

•	At least 5 years in the digital technology space with an understanding of digital marketing, digital advertising and customer experience.
•	Strong understanding of, and ability to articulate the impact of data on business outcomes.
•	Built, grown and developed teams that have delivered work that has delivered significant ROI and moreover is recognised and highly valued by clients.
•	Helped clients transfer knowledge and become successful on their own based on the team’s best practices.
•	Hands on knowledge of the Adobe Experience Cloud stack (and ideally it’s competitors).

A successful applicant will be: 

•	A curious problem solver, especially in technology, data and customer experiences.
•	Up to date with the latest developments in the marketing and experience data environment and technologies.
•	Process driven and looking to deliver consistent results.
•	As story teller that can translate insights into action through inspiration.
•	Empathetic with genuine interest in the client outcomes and the interests of the team.
•	Adaptable to multiple cultures – working with people in different roles around the world.

We Are:

Accenture Song accelerates growth and value for our clients through sustained customer relevance. Our capabilities span ideation to execution: growth, product and experience design; technology and experience platforms; creative, media and marketing strategy; and campaign, content and channel orchestration. With strong client relationships and deep industry expertise, we help our clients operate at the speed of life through the unlimited potential of imagination, technology and intelligence. Visit us at: www.accenture.com/song

We Look For:

If you are an expert at developing business, we want to meet you. If you relish delivering business, we want to meet you! If you love innovating and building industry leading digital solutions, we want to meet you!! There is never a typical day at Accenture Song, that’s why people love it here. The opportunities to make a difference while working on exciting client initiatives are limitless in this ever-changing space. Your role will require you to directly work with the client to bring ideas and innovation for customer relationships, digital marketing, ecommerce, and omni-channel solutions. You will also be accountable for helping to drive new ideas with the client and working with the practice specific teams to ensure client value and ability to execute are front and centre.

About Accenture

Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 699,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com. 

At Accenture, our philosophy is anchored in recognising that our people are multi-dimensional. We take an intersectional human approach to create a work environment where all people feel like they can bring their authentic selves to work, every day.

We believe that equality drives innovation. Our commitment to accelerating equality starts at the top with our board and CEO and extends across every part of the company. This comes to life when our people own the equality agenda, making it part of their jobs – every decision, every day – and feel free to speak up and to act.

We do not tolerate discrimination because of differences, such as age, ability, ethnicity, gender, gender identity or expression, religion, or sexual orientation. We want a workplace that is inclusive and diverse to that end we are setting bold goals and taking comprehensive action. To achieve these goals, we collect information that allows us to track the effectiveness of our Inclusion and Diversity programs.

Learn how Accenture protects your personal data and know your rights in relation to your personal data. Read more about our Privacy Statement.

Equal Employment Opportunity Statement

At Accenture, our philosophy is anchored in recognising that our people are multi-dimensional. We take an intersectional human approach to create a work environment where all people feel like they can bring their authentic selves to work, every day.

We believe that equality drives innovation. Our commitment to accelerating equality starts at the top with our board and CEO and extends across every part of the company. This comes to life when our people own the equality agenda, making it part of their jobs – every decision, every day – and feel free to speak up and to act.

We do not tolerate discrimination because of differences, such as age, ability, ethnicity, gender, gender identity or expression, religion, or sexual orientation. We want a workplace that is inclusive and diverse to that end we are setting bold goals and taking comprehensive action. To achieve these goals, we collect information that allows us to track the effectiveness of our Inclusion and Diversity programs.

To apply for this role, please use the following link:
https://accenture.wd3.myworkdayjobs.com/AccentureCareers/job/Sydney/Adobe-Business-Data-and-Audiences---Practice-Manager--Melbourne-Sydney-_R00089682
"
3,"
                            Data Engineer - Scala / Apache Spark Skillset
                                New listing
",https://jobsearch.gov.au/Job/View/Details/2303266768?context=a2976ed8-3734-4e47-b932-ae9bfbed4733,https://www.randstad.com.au/,"
Data Engineer - Scala/Apache Spark Skillset

$1000 - 1250 p/d
6 month Contract
Hybrid Work Model

 The Opportunity:
Data Engineering opportunity utilising Scala and Apache Spark on AWS EMR to process large transaction volumes.
Leveraging Apache Spark to run Business Rules on past transactions.
Designing and implementing Kafka streaming services using Scala to enrich and transform data for business use cases.

Experience:
Experience in data engineering practices (2 to 3 years in cloud based technologies) - ETL
Conceptual, logical and physical data models
Cloud Technologies (AWS ecosystem - S3, ECS, EC2, Lambda, Step Functions).
Cloud based Databases - SQL, NoSql (DynamoDB, Redshift, Neo4J, RDS).
Data Streaming technologies - Kafka.
Demonstrated experience in successful delivery of a complex development of work. 
Experience in Agile/Scrum methodologies

InterestedIf you are interested in applying click on 'APPLY' and attach your most recent resume or please email me directly at Adam.Howard@randstad.com.au--

At Randstad, we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. We actively encourage applications from any background.Please click here to apply. "
4,"
                            Senior Advertising Data Analyst
                                New listing
",https://jobsearch.gov.au/Job/View/Details/2303266298?context=a2976ed8-3734-4e47-b932-ae9bfbed4733,http://www.wppaunz.com,"
Job Type : Full-time 

 Salary : $80,000.00 to $90,000.00 /year 

 Location: Office location will be determined dependant on the right applicant, as we have offices based in Sydney, Melbourne, Adelaide, Perth and Brisbane. 

 SUMMARY 

The Senior Advertising Data Analyst is responsible for researching, creating and deploying new opportunities to leverage data science and solutions across the WPP network. They can tell a story with data by architecting solutions, insights, and recommendations based on large datasets. This person will be a cornerstone member of the Strategy group and larger WPP team, architecting key data strategy and data management programs for WPP and our clients. It also requires a high level of data presentation skills, summarising complex issues in non-technical terminology that has business value. 

KEY RESPONSIBILITIES
•	Analyse marketing and business data, and present in a clear and compelling manner, whether through reports or in person;
•	Consult with teams to plan initial data discovery and produce a hypothesis that drives strategy for the client’s situation;
•	Conduct strategic audits of client business processes, procedures and work practices to further understand user experiences;
•	Oversee entire analytics project lifecycle across multiple clients (from client proposals, scoping and costing, systems audits and implementations);
•	Analyse data from different perspectives and tools to get a complete picture of the customer’s journey by analysing Brand Survey, Social Listening, Search analysis, User Behavior Analysis and Customer Feedback; 
•	Formulate SEO strategies to develop optimal user experience for business and clients;
•	Develop guides and implementation plans for system developers to use and implement the recommended infrastructure and technology, with a focus on detailed instructions to activate data infrastructure; and
•	Lead the WPP Data Practice – be involved in pitching for new clients, SME for data related projects and develop plans to further enhance the practice; 
•	Prepare, clean, and interpret data, analyse results using statistical techniques and provide ongoing reports that collate data from multiple sources.
•	Contribute to copy for diverse marketing distributions (brochures, press releases, website material etc.)
•	Contribute to the strategic process by injecting insights derived from data analysis.
•	Distil business and marketing objectives into actionable plans that can be addressed through data analysis.
•	Contribute to website and campaign optimisation by analysing data and deriving insights and recommendations to be implemented

SKILLS
•	Minimum 7 years relevant experience with business data in some capacity – processing, analytics, visualization, etc. 
•	Demonstrable experience designing and implementing advanced analytics and modeling solutions
•	Demonstrable experience in similar business product services and/or external customer/market experience
•	Demonstrable experience partnering with external vendors to create analytical solutions
•	Demonstrable experience in business intelligence and data warehousing
•	Demonstrable experience with data and machine learning solutions including Microsoft Azure, AWS, Google BigQuery.
•	Demonstrable ability to solve problems in an ambiguous environment

 WPP AUNZ  is the leading marketing communications services group in Australia and New Zealand. No other group comes close to our scale and breadth of capability, comprising of 5,500 people working across more than 80 companies in over 170 offices. We know that the most powerful role we can play is to bring together the best knowledge, thinking and talent to meet our clients’ challenges with bigger, better and smarter ideas – we call this way of working ‘ Connected Know-How’. 

 Please apply using the link below. Only successful applicants will be contacted for an interview.
"
5,"
                            Data Entry
                                New listing
",https://jobsearch.gov.au/Job/View/Details/2303265989?context=a2976ed8-3734-4e47-b932-ae9bfbed4733,https://www.iprecruitment.com.au,"
IP Recruitment are currently seeking Data Entry Clerk to help a team at a transport company in Hazelmere, you would be receiving, scanning and entering KPI's. Hands on role will need to to be out in the warehouse collecting data and speaking to supervisors. 

Duties you will undertake;

High volume data entry
Resolving Purchase Order discrepancies to Supplier invoice
Entering KPI's
Liaising with internal & external clients to resolve any discrepancies on the invoice

To be considered for this position all applicants will need to meet the following criteria;

Experience within data entry-based positions.
Fast and accurate entry/keying skills
Maintain a high attention to detail
A customer service focus and have a ""can-do attitude""
A keen desire to succeed and assist with process initiatives
Proficiency in Microsoft office specifically with Excel
A driver’s license and vehicle to get to and from work
Apply now, should you require any other information call IP Recruitment during business hours on 6154 4678.
"
6,"
                            Data Analyst
                        ",https://jobsearch.gov.au/Job/View/Details/2303213110?context=a2976ed8-3734-4e47-b932-ae9bfbed4733,https://www.aginic.com,"
As an Analyst at Aginic, you'll perform data analytics and visualisation for a range of clients. You’ll work with stakeholders to understand what information they need to run their business, and develop dashboards or reports to make data accessible to them in a timely and intuitive way. This includes:

- Deliver end-to-end BI solutions for our clients
- Build the infrastructure required to extract, transform, and load the data from a wide variety of data sources using ‘big data’ technologies
- Perform data reconciliations and troubleshooting
- Develop and implement operational dashboards for clients
- Perform data research, analysis, and logical data modelling
- Provide ongoing operational support for clients
- Optimise BI platforms in terms of costs, performance, and best practices
- Collaborate with clients' BI teams to understand and define project requirements
- Develop and carry out communications with the clients' senior stakeholders, internal and external project teams
- Conduct training workshops on various technologies for internal teams and clients

About you
- You're naturally curious and this drives you to research, experiment and deduce your way to knowledge.
- You love creating things and you've been involved in a bunch of cool projects that you're excited to talk about and show.
- You can adapt your verbal and written communication for highly technical or business focused conversations, and build relationships with clients to truly understand what they need from you.
- You will have demonstrated experience with the following:
- Using Python and SQL to create data pipelines from source to visualisation.
- Dashboard design and development: understanding user requirements, creating underlying data models and developing dashboards in Qlik Sense or PowerBI.
- Implementing solutions in Microsoft Azure Stack using tools and platforms such as: Azure Data Factory, Databricks, Azure Data Lake, Azure Synapse, etc.
Migrating on-premise BI environments to the cloud.
Agile delivery
Experience in one or more of the following industries:
Primary Healthcare
Travel
Finance
Experience with Web Development, Security, Cloud or System Administration will be highly regarded as well as experience in a ""Big 4"" or other large professional services organization.
 
If you meet all the requirements for the role please apply with your resume.


This role is full time in Brisbane . Salary $80,000 - 90,000 inclusive of superannuation.
"
7,"
                            System Analyst/Programmer for data science
                        ",https://jobsearch.gov.au/Job/View/Details/2303179704?context=a2976ed8-3734-4e47-b932-ae9bfbed4733,https://www.truuth.id,"
Background Context of truuth organisation 

 Truuth was founded in 2018 with a mission to deliver the world’s most accurate, secure, and user-friendly digital identity services. These services include identity verification, user liveness and passwordless authentication. 

   

 Overall job role 

 As a member of truuth research & development data science analyst team you will capture requirements for inputs into the SW engineering and development teams technology roadmap, initiate research into currently available solutions and propose innovative solution approaches. Where gaps are identified in currently available offerings research potential solution approaches from both available academic research and commercially available solutions. You will create proof of concept solutions that can provide valuable inputs to the engineering team for development of the truuth digital identity services platform. This is a work from home role with office meet ups as required. 

   

   

 Key Duties/Responsibilities 

 Capture system requirements 

 
	 Apply system-analyst techniques and procedures, including consulting with business users and stakeholders, business analysts and solution architects to determine software systems functional requirements 
	 Analyze requirements through preparation of system requirement documents, work flow charts and system requirement diagrams using knowledge of software capabilities, subject matter, programming language, and logic to be applied 
 

 Research available solutions 

 
	 Research and evaluate current academic research and commercial solutions 
	 Recommend solutions and appropriate technology to meet user's needs 
	 Identifying relevant data sources for business needs 
	 Collecting structured and unstructured data, Sourcing missing data, Enhancing the data collection process 
 

   

 Develop proof of concept solutions & communicate data outcomes 

 
	 Develop proof of concept applications, software systems and databases against recommended solution approaches 
	 Set up data infrastructure. Organise data in to usable formats, Processing, cleansing & verifying of data. Assess quality of data and remove or clean data 
	 Build predictive models 
	 Build machine learning algorithms 
	 Analyse data for trends and patterns and to find answers to specific questions 
	 Develop, implement and maintain databases 
	 Generating information and insights from data sets and identifying trends and patterns 
	 Prepare reports for project teams 
	 Create visualisations of data 
 

   

 Provide inputs into software engineering team 

 
	 Document the requirements and functionality of a proof of concept approach including test results 
	 Support the engineering team for questions/issues and conduct further research as required 
 

   

 The successful applicant must have the following qualifications, skills and experience. 

 This profile does not require experience in SW engineering best practices and coding best practices as the actual platform solutions will be built by the SW engineering team of experienced senior SW engineers who will evolve them into enterprise grade scalable solutions as part of our platform.. Rather it requires an innovative mindset and relevant academic knowledge in data science together with a junior developer experience profile with some core SW skills. 

   

   

 Qualifications 

   

 
	 Masters qualification in data science with research projects in areas of document OCR data extraction, computer vision and use of AI/ML models for visual feature image and text classification, identification & comparison. 
 

   

 Skills & Experience 

   

 
	 3 years experience in programming and web application development including technologies such as Typescript,  JSP,  C++, HTML5,  JavaScript 
	 2 years experience in Python and R (either academic or industry use) 
	 Strong communication and presentation skills 
	 Experience with Agile Methodologies 
 

   

 Performance goals: 

   

 
	 Document the requirements and problem to be solved clearly 
	 Provide a clear iterative approach to your problem solving for stakeholder feedback 
	 Deliver innovative proof of concept solutions of value to SW engineering team 
	 Complete administration tasks on time 
	 Deal with employees professionally at all times
"
8,"
                            Data Analyst & Datawarehouse specialist
                        ",https://jobsearch.gov.au/Job/View/Details/2303147122?context=a2976ed8-3734-4e47-b932-ae9bfbed4733,-,"
Join Cognizant as a Data Analyst & Datawarehouse specialist; collaborate with our experienced Data Analyst, Solution design team, Data visualization teams & ETL teams on exciting client projects!

As a dedicated Data Analyst & Datawarehouse specialist, you will be responsible for understanding the book of work done in Data Analytics, understand the Analytics team structure, interact with various accounts/clients, know key stakeholders and expertise in design methodology used in data projects. 
Get hands on experience on analytics platforms whilst contributing towards data transformation & data modernization processes. You will be responsible for understanding the projects objectives and identifying the required data for the proposed objective, providing analytic & descriptive insights for definition of target requirements.

You will take a lead in design, enable development, and assist with testing the solution design of the product in iterations with business/operations stakeholders to cater for the business problem in hand.

Mandatory Skills:

1.	Data Analyst
2.	Data Warehousing DWH Implementation.
3.	ETL solution design, Source-target Data Mapping
4.	ETL Technology – IBM Datastage / Informatica / MS SSIS
5.	Data Visualization – MS Power BI / Tableau / Qlikview
6.	SQL scripting for Data Analysis
7.	Data validation methodologies 
8.	Big Data processing & validation 

Duties and Responsibilities:

•	Proven track record of designing, developing, and implementing large scale solutions, to cater for Insurance industries in a Digital Analytics space, which have impacted business revenues and user experiences
•	Strong technical experience in writing complex SQL queries in one of SQL platforms (Oracle/MS SQL Server/DB2)
•	Development skills in one of the industry standard ETL tools like IBM Datastage Or Microsoft SSIS or Informatica with a focus on performance optimization
•	Responsible for creating data visualizations, data representations or reports using tools like MS Power BI / Tableau / Qlikview.
•	Responsible for data validation post the build implementation as part of the Datawarehouse DWH solutions on both relational data and big data platforms.
•	Seasoned in leading a team of Data Analysts/ETL developers for delivering solutions catering to multiple business problems across business operating domains.
•	Expert in requirements elicitation, user story definitions, data flow diagrams, design documentation, source to target data mapping preparations.
•	Ability to work effectively with global teams and product owners across different time zones and ready to travel to global client locations.
•	Ability to translate and clearly communicate sophisticated analytical information to non-expert and non-technical stakeholders and clients
•	Ability to work comfortably in ambiguous situations and ability to optimize team’s resources to achieve business goals.
•	Strong analytical and problem-solving skills with high degree of self-motivation

Qualifications & Certifications:

•	Qualification in Software Engineering, Computer Science, or Information Technology or any equivalent qualification.
•	10+ years of Analysis, solutioning and development experience on data driven platforms inclusive of Datawarehouse DWH implementations through ETL & Reporting frameworks. 
•	Strong domain expertise in Insurance industry, inclusive of Life & Investments, policy life cycle, claim life cycle
•	IBM certified Datastage Solution Developer OR Informatica certified ETL developer OR any demonstrable experience.

The salary range for this role is between $90,000 - $100,000
"
9,"
                            Data Modeller
                        ",https://jobsearch.gov.au/Job/View/Details/2303145472?context=a2976ed8-3734-4e47-b932-ae9bfbed4733,-,"
Data Modeller

EY is a global professional services organisation providing advisory, assurance, tax and transaction services. We are committed to doing our part in building a better working world, to help create wider economic and social benefits today, and a strong legacy for a better tomorrow.

We are looking for a Data Modellers within the Technology Consulting – Data and Analytics team. This role is offered on a full-time permanent basis.

Key duties of the role are:

As a Data Modeller you will, Lead, develop and maintain data taxonomies, data models, schemas and definitions across all lines of business while working closely with Data Architects and various system stakeholders
Advise and implement leading industry practice data modelling production, storage, and consumption standards, elaborate and champion best practices for data modelling and evolving practices like schema driven development, schema DevOps and modern data modelling techniques
Build and maintain strong relationships with our key architects and stakeholders across clients and internal EY service lines
Understand and document how data is, or will be used, and its implications on people, processes, products and technology
Contribute and evolve EY’s data modelling frameworks, standards and best practices

Essential skills for the role are:
Data modelling using techniques such as Schema driven modelling, Data Vault, 3rd Normal Form, Kimball (5+ Years)
Broad domain experience including Financial Services (Banking, Insurance), Defence, Health and Logistics, with the ability to link the dots across industry data sets
Understanding of traditional Data Modelling principles (Kimball, 3NF, Data Vault, etc.)
Ability to translate business requirements to technical requirements from Conceptual to physical data models
Ability to translate high level design into specific implementation steps

The sponsored approver for this role is EY Business Solutions.

Regarding this role, the minimum salary is $90,000AUD including 10.5% superannuation.
"
