,Name,Link,Advertiser,Description
0,Data Engineer,https://www.seek.com.au/job/57494642?type=promoted,Emanate Technology Pty Ltd,"Data Engineer (AWS)Permanent - Brisbane - Hybrid WFH Emanate Technology is proud to be working with an Australian-born technology company that’s focused on architecting, building & operating cloud-native applications, data streams, platforms and services. The company provides solutions that are centred around AWS and best-of-breed technology. From a stand-still start in 2014, they've grown to over 500 people in just eight years across Sydney, Melbourne, Adelaide, Perth, Brisbane, Singapore and now Denver. With a diversified offering in professional services, managed services and products, they are poised for significant growth in 2022. They are the Australian AWS Consulting Partner of the Year, for the 3rd time, and recently became a Snowflake and Talend Partner. This company believes in bringing craftsmanship back to technology because as technology artisans, they passionately care about the quality outcomes they leave behind. They already have some of the best techs in Australia and due to client demand, they’re now on the hunt for experienced Data Engineers to come on board. As their Data Engineer you will help deliver scalable, automated, repeatable ‘big data’ and analytic patterns within the AWS stack. Their ideal Data Engineer understands both data pipeline development, operations and management as well as delivery of automated data solutions that are ready for production operations.From a development or operations background (or an existing DataOps Team)Understanding what getting something “done done” looks like (documentation, testing, operational requirements, continuous improvement of process)Experience with big data tools: Hadoop, Spark, Kafka, Kinesis etc.Knowledge of relational SQL and NoSQL databases, including Snowflake, PostgreSQL, Cassandra, etc.Extensive experience with data pipelines and workflow management tools: Azkaban, Luigi, NiFi, Airflow, etc.Experience with AWS cloud data services: EMR, RDS, Redshift, Kinesis, GluePrevious exposure to stream-processing systems: Storm, Spark-Streaming, etc.Experience with object-oriented/object function scripting languages: SQL, Python, PySpark, Scala, etc The Culture No cool cliques, just motivated passionate humans generating ideas and devising solutions in a creative, collaborative workspace. They're building a team and looking for people who can think outside the square and deliver what others might consider impossible.They truly embrace the notion of family and enjoy working together to achieve outstanding success.  What they offerCompetitive salary packageWorking in a flexible, outcome-driven environment. Outside of client obligations, you can work from the office or home as needed. Also, leave the suit and tie behind and put on a T-shirt instead.Weekly internal tech talks; all streamed and recorded so those who can’t make it to the office can still participate. For those who do make it, there’s pizza, beer, wine and soft drinks on tapRegular social events, meetups and guest speakers organised and facilitated by our teamA supportive family culture - If you need help, just askCelebration of the wins – big or small, because we know how hard you work. If this opportunity sounds like a good fit for you, submit your application using the ""Apply"" link above! Or for a confidential chat, please contact Jimmy Downey on 0481 153 606 or jimmy@emanatetechnology.com.au."
1,IT Systems Administrator,https://www.seek.com.au/job/57447915?type=promoted,Element Engineering Australia,"Element Engineering Australia is fast becoming one of the worlds leading product development houses. We help clients from all around the globe utilize and incorporate cutting edge technology in their designs and user experiences. With projects spanning Consumer Electronic Products, Mining Equipment, Big Data and IoT, there's no shortage of interesting challenges at Element Engineering. We are seeking an IT Systems Administrator to join our team, keep us up and running, and continually improving our systems such that we can grow and continue to provide premium service to our clients.Our Teams and SystemsOur Mechanical Engineering team works on everything from design and analysis of mining equipment, to mechatronic design of autonomous vehicles through to the mechanical design of consumer electronic products. They primarily use CAD on powerful Windows workstations and simulation on our in-house simulation server. Our Electronics Engineering team works on electronic design mainly for IoT devices across ruggedized industrial applications through to electronic products for consumers. They utilize similar CAD systems on Windows workstations.Our Software Engineering teams work across a range of developments from app development, through to back-end software and even some big data analytics. The team is split using Apple Mac laptops and workstations primarily for front-end development as well as Linux workstations for backend and server application development.All teams utilize MS Teams for collaboration, cloud and in-house Microsoft servers for file storage depending on the program requirements, cloud and in-house license server applications depending on the program, and all have the ability to work remotely when they like via cloud or VPN. Other off the shelf systems as well as some of our own bespoke systems are implemented to help the team get work done as efficiently as possible.  The RoleKeeping a diverse team up and running is a challenging IT Systems Administration role. Our IT Admin will be helping maintain systems, improving them and rolling out new systems as we need. We are seeking an IT Administrator who:is driven to be part of our growing business and teamis passionate about technologyunderstands the importance of documentation of all IT Systemsis a keen problem solveractively keeps up to date with new technologies as well as appreciating best practices and industry standard systemsYou will be undertaking the following:Management and continual deployment of engineering workstations (Primarily Windows, with some Mac and Linux machines)Management of virtual Windows Servers for Domain Controllers, Active Directory, Group Policy, DHCP, File Servers (DFSR) and DNSManagement of data backup applications and offsite backup systemsManagement of networking and security across Software Firewalls, Ubiquiti Unifi and Windows systemsManagement of software licensing servers across paid engineering software used in-houseManagement of a 3CX VOIP systemDocumentation of all systemsMaintenance of physical host Linux machines as development and production VM host serversMaintenance of Linux based web server VM's for in-house proxy systems and development environmentsThis is a challenging and diverse role, however, you will be provided with all training required to undertake the role as well as the freedom to research and explore as needed to get the job done.Pre-requisites you should bringWe'd like our IT Systems Administrator to possess the following:At least Diploma in Information Technology Systems Administration, or equivalent certificatesExperience working with Windows OS and management of Domain Controllers, Active Directory, Group Policy and associated servicesExperience with maintenance of networking systemsSome experience or at least a basic proficiency with Linux using bash/command lineWhat's in it for youThis position gives you the opportunity to grow with our business and be a key part of our business expansion.You will work directly with the Team Leaders and Management Team as well as having access to all Engineering Teams to keep them up and develop bespoke tools for your workflow as needed. With an exceptional culture, flexible working arrangements, charismatic and diverse team with many social events, amazing clients from all around the world, and the development of our own product suite as part of a newly formed additional company, being part of the Element Engineering team is more than just a job. How do you apply?Please apply here through SEEK and send through your Cover Letter and Resume. Have something ready to show us that shows relevant experience maintaining IT systems. Please note, only applicants with Australian Working Rights will be considered. Only Shortlisted candidates will be contacted. Applications only accepted directly through SEEK. Applications will not be accepted through recruitment agencies. Thank you for considering Element Engineering as the next team you may grow with. "
2,Business Analyst (Telecom),https://www.seek.com.au/job/57496188?type=standout,Peoplebank Australia NSW,"Be a part of a Leading IT Consulting Company as a Business Analyst for an exciting Telecom project.12 Months Fixed-Term Contract OpportunityHybrid Work Flexibility based in SydneyCompetitive Salary RateQualifications/Description3-5 Years Business Analyst ExperienceTelecom Project ExperienceExperience processing ""big data"", such as 200K records per secondExtracting useful information from that; andTranslating that to meaningful outputExperience with Web UI platforms such as CatalystAbility to create graphs from such mentioned data analysisAn understanding of DNS as a wholeAnd also, DNSTAP would be preferredAbility to code in C / C++ / Perl /PythonUnderstanding of large customer-based ISP'sKnowledge of Red Hat Enterprise LinuxCron, NTP, systemctl servicesAdvance your skills in a fantastic work environment with a great culture. Work on the latest technologies, across multiple platforms.  If interested and you think you're the right person for this opportunity, please select APPLY or contact gian.guanzon@peoplebank.com.au quoting reference number 247653."
3,Data Engineer,https://www.seek.com.au/job/57494642?type=standout,Emanate Technology Pty Ltd,"Data Engineer (AWS)Permanent - Brisbane - Hybrid WFH Emanate Technology is proud to be working with an Australian-born technology company that’s focused on architecting, building & operating cloud-native applications, data streams, platforms and services. The company provides solutions that are centred around AWS and best-of-breed technology. From a stand-still start in 2014, they've grown to over 500 people in just eight years across Sydney, Melbourne, Adelaide, Perth, Brisbane, Singapore and now Denver. With a diversified offering in professional services, managed services and products, they are poised for significant growth in 2022. They are the Australian AWS Consulting Partner of the Year, for the 3rd time, and recently became a Snowflake and Talend Partner. This company believes in bringing craftsmanship back to technology because as technology artisans, they passionately care about the quality outcomes they leave behind. They already have some of the best techs in Australia and due to client demand, they’re now on the hunt for experienced Data Engineers to come on board. As their Data Engineer you will help deliver scalable, automated, repeatable ‘big data’ and analytic patterns within the AWS stack. Their ideal Data Engineer understands both data pipeline development, operations and management as well as delivery of automated data solutions that are ready for production operations.From a development or operations background (or an existing DataOps Team)Understanding what getting something “done done” looks like (documentation, testing, operational requirements, continuous improvement of process)Experience with big data tools: Hadoop, Spark, Kafka, Kinesis etc.Knowledge of relational SQL and NoSQL databases, including Snowflake, PostgreSQL, Cassandra, etc.Extensive experience with data pipelines and workflow management tools: Azkaban, Luigi, NiFi, Airflow, etc.Experience with AWS cloud data services: EMR, RDS, Redshift, Kinesis, GluePrevious exposure to stream-processing systems: Storm, Spark-Streaming, etc.Experience with object-oriented/object function scripting languages: SQL, Python, PySpark, Scala, etc The Culture No cool cliques, just motivated passionate humans generating ideas and devising solutions in a creative, collaborative workspace. They're building a team and looking for people who can think outside the square and deliver what others might consider impossible.They truly embrace the notion of family and enjoy working together to achieve outstanding success.  What they offerCompetitive salary packageWorking in a flexible, outcome-driven environment. Outside of client obligations, you can work from the office or home as needed. Also, leave the suit and tie behind and put on a T-shirt instead.Weekly internal tech talks; all streamed and recorded so those who can’t make it to the office can still participate. For those who do make it, there’s pizza, beer, wine and soft drinks on tapRegular social events, meetups and guest speakers organised and facilitated by our teamA supportive family culture - If you need help, just askCelebration of the wins – big or small, because we know how hard you work. If this opportunity sounds like a good fit for you, submit your application using the ""Apply"" link above! Or for a confidential chat, please contact Jimmy Downey on 0481 153 606 or jimmy@emanatetechnology.com.au."
4,Senior API Integration Engineer,https://www.seek.com.au/job/57474488?type=standout,AC3 Pty Limited,"AC3 is an Australian and New Zealand IT Managed Services company, working across Cloud, Infra and DevOps, Cyber Security, Apps and Data and ServiceNow. This role sits in the Apps and Data Division.    FY22/23 will see AC3’s Apps and Data Practice go through exponential growth with a new Head of Apps and Data spearheading the practice, a strong existing customer base and sizeable pipeline of work.    The Senior API Integration Engineer will work across a broad tech stack and work with some of the biggest names in the private sector as well as State and Federal Government agencies.    Fully flexible working environment, we have offices in Sydney, Melbourne, or Auckland. We're also open to remote working in A/NZ.    Culture    Voted 4th Best Place to work in 2021. Culture is a top priority at AC3. We approach business with family values, which means people here have real relationships that go beyond work. We believe it’s important that everyone is heard and treated with respect, whether you have the next big idea or simply a question. We keep it simple and live by our fours ways of being:    Own It: If I say I’m going to do it, I do it. And I give it my all. Better It: I take the current status quo and make it better. Brave It: I listen, say what needs to be said, and do the right thing. Especially when it’s tough. Enjoy It: I take my work seriously, but don’t take myself too seriously.    What will I be doing?  Guide the design and development of secure REST API & Data Integration projects Utilise expert level DevOps knowledge in the ‘Build & Design’ of deployment pipelines for project artefacts Design and implement secure serverless API & Data Integration projects on the cloud (preferably AWS and Azure) with potential to migrate to GCP Work collaboratively with the Head of Apps and Data and help to build solution proposals and convert initial program design concepts into working prototypes Implement cloud infrastructure, systems and application solutions and services with focus on CI/CD and automation tasks to treat Infrastructure as Code Provide expertise and recommendations to improve existing designs     Skills required to be successful (this is an extensive list, so if you have 60% or more of these, we would love to speak to you.)  Expert level knowledge in secure REST API & Data Integration projects with specific experience in the following technology frameworks: Java (e.g., Spring boot, Spring MVC), Python, NodeJS (e.g., Express, Mean.io), Ruby, Big Data/Analytics, Microservice Architecture, Machine Learning, OAuth2, OAS 2.0+, exposure to modern JS frameworks (e.g., React, Angular) plus other open-source frameworks Expert level DevOps knowledge in the build and design of deployment pipelines with experience in the following technologies: Source Version Control (e.g., Git, Subversion, TFS, Bitbucket etc.), containerization technologies (e.g., Docker) and their associated orchestration engines (Kubernetes/Openshift/Rancher/Swarm, Jenkins CI/CD, Octopus etc. Advanced knowledge designing and implementing secure serverless API & Data Integration projects on the cloud using some of the popular services for AWS (e.g., S3, DynamoDB, RDS, Lambda, Cognito, Data Pipeline, API Gateway etc.) and Azure (e.g., Blob, CosmosDB, SQL databases, Functions, Active Directory, Data Factory, API Management) Excellent knowledge of automated testing frameworks and tools for API & Data Integration projects (e.g., Mockito, Selenium, Apache JMeter, Flood.IO, BlazeMeter, SILKPerformer, Apigee, JMeter, JBehave, Postman etc.)    If this sounds like your sort of opportunity, then please apply and we can have a confidential conversation.    We look forward to hearing from you."
5,Senior API Integration Engineer,https://www.seek.com.au/job/57474487?type=standout,AC3 Pty Limited,"AC3 is an Australian and New Zealand IT Managed Services company, working across Cloud, Infra and DevOps, Cyber Security, Apps and Data and ServiceNow. This role sits in the Apps and Data Division.    FY22/23 will see AC3’s Apps and Data Practice go through exponential growth with a new Head of Apps and Data spearheading the practice, a strong existing customer base and sizeable pipeline of work.    The Senior API Integration Engineer will work across a broad tech stack and work with some of the biggest names in the private sector as well as State and Federal Government agencies.    Fully flexible working environment, we have offices in Sydney, Melbourne, or Auckland. We're also open to remote working in A/NZ.    Culture    Voted 4th Best Place to work in 2021. Culture is a top priority at AC3. We approach business with family values, which means people here have real relationships that go beyond work. We believe it’s important that everyone is heard and treated with respect, whether you have the next big idea or simply a question. We keep it simple and live by our fours ways of being:    Own It: If I say I’m going to do it, I do it. And I give it my all. Better It: I take the current status quo and make it better. Brave It: I listen, say what needs to be said, and do the right thing. Especially when it’s tough. Enjoy It: I take my work seriously, but don’t take myself too seriously.    What will I be doing?  Guide the design and development of secure REST API & Data Integration projects Utilise expert level DevOps knowledge in the ‘Build & Design’ of deployment pipelines for project artefacts Design and implement secure serverless API & Data Integration projects on the cloud (preferably AWS and Azure) with potential to migrate to GCP Work collaboratively with the Head of Apps and Data and help to build solution proposals and convert initial program design concepts into working prototypes Implement cloud infrastructure, systems and application solutions and services with focus on CI/CD and automation tasks to treat Infrastructure as Code Provide expertise and recommendations to improve existing designs     Skills required to be successful (this is an extensive list, so if you have 60% or more of these, we would love to speak to you.)  Expert level knowledge in secure REST API & Data Integration projects with specific experience in the following technology frameworks: Java (e.g., Spring boot, Spring MVC), Python, NodeJS (e.g., Express, Mean.io), Ruby, Big Data/Analytics, Microservice Architecture, Machine Learning, OAuth2, OAS 2.0+, exposure to modern JS frameworks (e.g., React, Angular) plus other open-source frameworks Expert level DevOps knowledge in the build and design of deployment pipelines with experience in the following technologies: Source Version Control (e.g., Git, Subversion, TFS, Bitbucket etc.), containerization technologies (e.g., Docker) and their associated orchestration engines (Kubernetes/Openshift/Rancher/Swarm, Jenkins CI/CD, Octopus etc. Advanced knowledge designing and implementing secure serverless API & Data Integration projects on the cloud using some of the popular services for AWS (e.g., S3, DynamoDB, RDS, Lambda, Cognito, Data Pipeline, API Gateway etc.) and Azure (e.g., Blob, CosmosDB, SQL databases, Functions, Active Directory, Data Factory, API Management) Excellent knowledge of automated testing frameworks and tools for API & Data Integration projects (e.g., Mockito, Selenium, Apache JMeter, Flood.IO, BlazeMeter, SILKPerformer, Apigee, JMeter, JBehave, Postman etc.)    If this sounds like your sort of opportunity, then please apply and we can have a confidential conversation.    We look forward to hearing from you."
6,Senior Analyst Data Engineer,https://www.seek.com.au/job/57413172?type=standout,NAB,"
Opportunity for a Developer to join the Test Data Management team
Showcase your exceptional experience in Big Data and Data Engineering
At NAB, we are committed to flexible working 

A career that gives you more
Your career at NAB is about more than money, it's about serving our customers well and helping our communities prosper.
We have an opportunity for a Senior Analyst Engineer to join the Test Data Management (TDM) team. This team leads the TDM design as well as oversees the build, implementation and transition of TDM changes to TDM Operations.
About the role 
As a Senior Analyst Engineer, you will be responsible for supporting various service offerings related to the TDM Asset, primarily focussed on building, maintaining and supporting Big Data delivery automation pipelines utilising & promoting best DevOps practices. This role is both strategic and operational to ensure that technical solutions enable operational excellence, are secure, reliable, scalable, cost optimized and maintainable. 
What you’ll be doing 
Your role will include but not limited to: 

Creation and maintenance of delivery pipeline tooling. Including build/deploy/CI/infrastructure scripts, monitoring, logging 
Setting up automated environment provisioning that will setup secure cloud and on premise  
Supporting the infrastructure and application layer, both in Production and non-Production environments 
Supporting the build team (Dev and Test) to be self-sustained through training and troubleshooting 
Continually learning and researching best practices and tooling for Big Data delivery 

What you’ll bring 

Demonstrated experience in application development
Proven background in deploying and managing Big Data solutions 
Experience in designed and implemented CI/CD pipelines 
Strong working knowledge of test automation principles 
Demonstrated experience establishing environments in the cloud preferably AWS, and/or Azure
Working knowledge of Cloud (AWS) environments 
Strong hand-on experience on Hadoop & Docker
Relevant tertiary qualification in related discipline

What we can offer 
From education and volunteer leave to learning benefits and banking discounts, we offer access to a wide range of employee benefits. You can learn more about these at http://www.nab.com.au/about-us/careers/working-at-nab/benefits 
We embrace diversity of thought, style and working arrangement to ensure our workforce is representative of the community that we service. 
Have a chat to us about how our support of workplace flexibility can work for you. 
NAB, invested in you
At NAB, we believe success comes from our people. We're committed to supporting your talent and skills through your career, as you help us build a culture that affects change for our customers - and for the community too.
To be eligible to apply, you must have Australian or New Zealand citizenship or permanent residency status.
Please note candidate screening and interviews may be conducted prior to the closing date of the job advert."
7,Senior Data Analyst,https://www.seek.com.au/job/57377134?type=standout,Halcyon Knights Pty Ltd,"Data Analyst (Contract)The CompanyJoin a Big 4 Bank with all the benefits of working with a Bank.The roleThe purpose of the role is to provide detailed analysis and investigative methods to identify suspicious activity. You will be a key member of the Fraud Prevention and Detection team and will be able to proactively problem solve and identify solutions to detect and prevent fraud. You will support the delivery of the strategic and operational plans across all aspects of the portfolio including:
Analysis and modelling of data;Solution development and design;Research and benchmarking;Insight and Intelligence;Data management and quality; andProcess and service governance.
Your day to day will include:
Optimise detection system performance proactively through development of rules and models to effectively target fraudulent activity;Collecting, analyzing and modelling data to develop and enhance detection scenario’s;Manage day-to-day operational concerns relating to performance, capability, service quality and customer experience;Interact with colleagues and stakeholders to ensure alignment, and leverage these relationships to improve overall capability; andProvide powerful visual and written insights through the use of data analysis to support decision making.
Your skills:
Around 1 - 2 years experience working as a Data Analyst working with large data sets & big dataGood experience using SQL Exposure to database and application programming (SQL Server, Teradata, Oracle, SAS, etc).Experience with any major programming language will be highly regarded (Python, R, SAS)Exposure to a big data environments
Other requirements:
Must be Australian / NZ Citizen or PRTertiary qualification requirement
Salary: Ideally $400 - $500 a day incl super (may be higher for the right candidate)Contract Length: 12 month contract with the view to extend / make permanent thereafterLocation: Melbourne CBD Location (we offer WFH flexibility)Does this role suit you?If you’re interested in this role, submit your resume using ‘apply now’ (no need for a cover letter!). or for a confidential discussion call Johnson Do on 0410 454 167 or email johnsond@halcyonknights.com.au#SCR-johnson-do"
8,Senior Analyst Data Engineer ,https://www.seek.com.au/job/57413188?type=standout,NAB,"About the role:
As a Senior Analyst Data Engineer for the Platform Operation team, you will be responsible for providing critical thinking and a high degree of technical innovation and attention to detail while being recognized as a trusted advisor to the team and stakeholders. The characteristics include being versatile, displaying leadership qualities and enthusiasm to take on new problems across the operations team, ensuring the Platform runs smoothly.
What you will be doing…
In this role you will have varying degrees of analysis, development, documentation, testing and support responsibilities and providing critical support to Production Services. You will be: 

Supporting enterprise applications
Applying pro-actively & perform hands-on design and implementation of best practice CI/CD
Taking ownership and accountability for production service, including incident & problem investigation, root cause determination and resolution
Production Support – the role requires the successful applicant to be on support for NRP and NDC – (business hours)
Developing and contributing to software verification plans and quality assurance procedures
Documenting and maintaining software functionality
Troubleshooting, debugging, and upgrading existing systems, including participating in DR test
Complying with industry standards and regulatory requirements
Coaching & mentoring of other Service Team members

What you’ll bring:

Proven experience in application development and operation support roles
Software Delivery technical skills such as CI/CD, Automated Deployments, Automated Testing, Build Servers, Software/Source Code Configuration Management
Knowledge of core AWS data services such as: S3, RDS, Redshift, DynamoDB, EMR,
Nice to have experience in supporting the following applications in an enterprise environment: PowerBI, Thoughtspot, Amazon Redshift, Powercenter
Platform automation tools experience like DB Management, AWS, Jenkins, or GITHUB
Knowledge of SQL and ETLs
Desired knowledge or experience with NAB Data Hub (NDH)
Proven ability to use relevant data analytics approaches and tools to problem-solve and trouble-shoot.
Experience in Incident and Problem Management

What we can offer 
From education and volunteer leave to learning benefits and banking discounts, we offer access to a wide range of employee benefits. You can learn more about these at http://www.nab.com.au/about-us/careers/working-at-nab/benefits 
We embrace diversity of thought, style and working arrangement to ensure our workforce is representative of the community that we service. 
Have a chat to us about how our support of workplace flexibility can work for you. 
NAB, invested in you
At NAB, we believe success comes from our people. We're committed to supporting your talent and skills through your career, as you help us build a culture that affects change for our customers - and for the community too.
To be eligible to apply, you must have Australian or New Zealand citizenship or permanent residency status.
Please note candidate screening and interviews may be conducted prior to the closing date of the job advert
**Please note unsolicited CVs from agencies will not be accepted.
To help keep our community safe, candidates are required to comply with vaccine requirements outlined in state based public health orders"
9,Graduate Data Coder,https://www.seek.com.au/job/57368154?type=standout,IRI,"IRI is powered by people
We’re a fast paced, tech driven and people focused business. Innovation and entrepreneurism are part of our core DNA. We like to create, and we like to make things happen. Our team is diverse and is made up of Insight and Industry Consulting Analysts, Data Scientists, Product Managers, Solution Architects and Software Engineers. 
As an organisation we’re leading the charge as the specialist provider of data-driven, insight and consulting solutions for FMCG retailers and manufacturers. 
We power over 500+ leading Australian businesses with a number of services and solutions including;
        Client consulting services for the retail, grocery, liquor, tobacco and pharmaceutical sectors        Performance data processing and solutions for the FMCG sector        Consumer shopper, loyalty and analytics programs        Software development and cloud-based reporting platforms 
So, why IRI?
We’re progressive, inclusive and people focused. We seek to create a down to earth culture which balances work and home life and enables our team to be the best that it can be. Our people are important to us and we offer a number of fantastic benefits including;
       Flexible working with the hours you work and where you work them       Employee training and continuous development programs       Women in leadership accelerated development opportunities       5 weeks annual leave and holiday buy back scheme       Birthday leave        Summer half days        IRI Me Days       Paid parental leave       Free onsite gym and swimming pool
Key responsibilities:
You will support the Data Works team loading and maintaining high quality data for our clients on time and in full. Also, you will manage expectations of internal stakeholders and build good quality working relationships with our client insights team who will extract data from the categories you manage.
       Load and maintain database        Assign meta data such as brand and product details        Oversee the data validation process       Ensure data is provided to stakeholders accurately and on time        Research product categories to acquire general knowledge for the categories you manage       Investigate any errors in coding or data and provide resolution
We’re looking for:
       Tertiary qualification in business, mathematics, data analytics or similar       Strong attention to detail        High level of accuracy        Excellent communication skills, both verbal and written        Intermediate MS Excel skills       Database management experience (desirable)       SQL experience (desirable)       Python experience (desirable)
Interested? 
We would LOVE to hear from you. Please apply online with your CV. 
Please note, we can only consider Australian/NZ citizens or permanent residents. "
