,Name,Link,Advertiser,Description
0,Cybersecurity Analyst with Project Coordinator/Management,https://www.dice.com/jobs/detail/5c9720a5cf20bc9c66561fce9d447027?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520analyst%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=550205cf-5be3-4758-b184-91f148080abb,Strategic Systems Inc,"
this is a 100% Remote positionTitle: Cybersecurity Analyst with Project Coordinator/Management Location: Cleveland, OH / 100% RemoteDuration: 6 months Contract Description: -Cybersecurity Analyst-Collect and analyze third-party and as applicable fourth-party vendors risk posture in Client recently acquired facilities Skills, Knowledge and Abilities Good communication skills, schedule meetings, develop agenda, lead calls to cover all planned agenda items, and capture notes and follow-up items Conduct interviews and information finding calls with subject matter experts Good writing skills, collect information about systems and vendors over email Needs good time management skills and ability to effect change across areas of little control Collect data from survey, interview and repository and enter it into systems as required Develop and maintain databases, data systems – reorganizing data in a readable format  Perform analysis to assess quality and meaning of data Assign numerical value to essential business functions so business performance can be assessed and compared over periods of time. Prepare reports and presentations for management Work with local subject matter experts, cyber engineers, and management leaders to identify process improvement opportunities, propose system modifications, and devise data governance strategies.  Prepare weekly progress report ToolsUnderstanding of benchmarking and  baselining (Excel, database, lookup and merge, etc..)Understanding of using standing rating system (risk scoring)   Project management Communication Skills Strong Excel Skills General IT and Cybersecurity Knowledge Initiative
"
1,Senior Cybersecurity Analyst - SIEM SME,https://www.dice.com/jobs/detail/940e2bd0f2b086a80039146fedaba869?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520analyst%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=550205cf-5be3-4758-b184-91f148080abb,QED National,"
A leading NYC academic medical center is looking for a Senior Cybersecurity Analyst  - SIEM SME for a contract to hire role in NYC. Please note: This position will require onsite work.Minimum QualificationsBachelor's degree with a focus in Information Security, Computer Science or Computer EngineeringDemonstrated experience managing a SIEM within an enterprise-level information security programFamiliarity with data lakes or big data technologies and integrations is desired Knowledge & Experience3+ years of experience installing, configuring, and using Splunk for an enterprise environmentExpert knowledge in using logging platforms for diagnostics, forensics, and threat detection3+ years of recent operational experience in Security Operations Centers or Incident Response team3+ years in threat intelligence tools (Anomali), Endpoint Security tools (i.e. Crowdstrike, Cylance)Understanding of the TCP/IP networking stack and network technologies.Experience with tools such as Proofpoint, Domain Tools, VirusTotal, Wireshark, Snort, NMAP.Excellent technical knowledge of Linux and Windows operating systems and scripting languages - PHP, Python, Perl, BashKnowledge of data lake technologies such as Hadoop Familiarity with technologies such as VPN, Active Directory, Virtualization Platforms, Cloud PlatformsAbility to correlate technical information from threat intelligence sources and other disparate security systems to draw conclusions about incidents.Strong understanding of industry security best practices and standards.Experience with building and using security platformsPersonal AttributesHighly self motivated and self directedAble to solve issues independently under tight timelinesProven analytical and problem-solving abilities.  Able to think out of the box.Ability to effectively prioritize and execute multiple tasks in a high-pressure environment.Good written, oral, and interpersonal communication skills.Ability to conduct research into IT security issues and products as required.Ability to present ideas in business-friendly and non-technical language.Keen attention to detail.Team-oriented and skilled in working within a collaborative environment.Preferred QualificationsCISSPSplunk Enterprise Certified AdminSplunk Enterprise Security Certified AdminExperience with SIEM, Anomali, Proofpoint, Crowdstrike, CylanceResponsibilitiesServe as the subject matter expert for security monitoring and visibility and lead support person for the team's SIEM platformDefine, maintain and continuously improve the technical roadmap and architecture for the SIEM platformResearch and develop detection, monitoring, and automated response capabilities and use cases to improve operationsPerform event correlation using information gathered from a variety of sources within the enterprise to gain situational awareness and determine the effectiveness of an observed attacks.Responsible for identifying and onboarding of log sources to help with monitoring, detection, and response.Assist in the construction of correlation alerts in response to new or observed threats within the enterpriseUse cyber defense tools for continual monitoring and analysis of system activity to identify malicious activity.Provide first level and on-call support to analyze and triage potential incidents.Assist with projects that focus on enhancing detection and incident response capabilities and other improvements to the technologies used by the team.Support, administer, and fine tune other in-place security solutions for efficient and appropriate operations.The Senior Analyst will be a key member of the IT Security team responsible for performing critical functions within the Cyber Threat and Incident Response discipline.The main function is to use techniques and SIEM tools to create useful intelligence to detect threats in the environment.  The Senior Analyst is expected to be fully aware of the enterprise's security goals as established by its stated policies, procedures, and guidelines and to actively work towards upholding those goals.About us: QED National is a leading IT consulting, solutions, and staff augmentation firm, serving both the public and private sectors for over 29 years. Headquartered in midtown Manhattan, QED National's team is comprised of the brightest minds in the industry with the skills to solve the most complex technological problems.
"
2,CyberSecurity Analyst,https://www.dice.com/jobs/detail/23aebf6900cb76f7cab689ed34aa0b67?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520analyst%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=550205cf-5be3-4758-b184-91f148080abb,"GlobalLogic, Inc.","
Job Description5-10 years of experience within a SOC (Security Operations Center), as a Cybersecurity Analyst, Cloud Platform engineer, Cyber Security Engineer, or equivalent experienceAbility to learn complex Cloud Security functionsExperience in Linux, Windows, and Macintosh operating systemsUnderstanding enterprise-level networkingStrong incident response backgroundFamiliarity with SIEM, NIDS/NIPS, vulnerability scanning, centrally managed endpoint protection, and network threat huntingStrong understanding of Cloud Security conceptsEducation requirements may be substituted with SOC or cyber related experience on a scale of 4 years equal to a Bachelor’s, 2 years being equal to an Associate’s, or 1 year for each cyber related certification in Sec+, MCSA, RHEL, CEH, Splunk Core Certified User, AWS Security, or higherWorking knowledge of NIST (National Institute of Standards and Technology) 800-171 or related cybersecurity frameworksStrong writing skillsAbility to translate highly technical concepts to non-technical individuals Preferred QualificationsCyber related certifications such as CompTIA CySA+, Sec+, CISSP, CHFI, Splunk Certified Power User, AWS certs, Google Cloud Platform certsExperience in digital forensicsFamiliarity with AWSFamiliarity with SDLCWorking experience within a DevOps environment Education: Bachelor’s degree in IT, Information Security, Cyber Security, Computer Science, Computer Engineering, or a related discipline
"
3,Cybersecurity Analyst I,https://www.dice.com/jobs/detail/4e9185c637e66593d5d73c97e7a1409d?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520analyst%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=550205cf-5be3-4758-b184-91f148080abb,Alliant Energy,"
Posting Details Alliant Energy has an outstanding opportunity for a Cybersecurity Analyst I to join the team in Madison, WI, or Cedar Rapids. In this role you will participate in researching, evaluating, designing, documenting, testing, monitoring, and maintaining the cybersecurity enablement and risk management program. Works closely with other IT departments to complete risk assessments and develop mitigation strategiesExcellent communication skills, both verbal and written, with the ability to work in both a team environment and on self-directed tasks are vital.This position offers a blend of working from home, and in the  Cedar Rapids, IA  or  Madison, WI  office on average 1-2 days per week. The successful candidate must reside in either Iowa  or WisconsinAlliant Energy will not provide sponsorship for an employment visa (e.g., H-1B visa) now or in the future for this position.This position may be filled at a higher level depending upon candidate qualifications.  Job Responsibilities Acts as cybersecurity resource for small to medium sized initiatives by explaining current security requirements, developing risk mitigation plans, and vetting security mitigationsParticipates in strategic planning by reviewing proposed solutions and bringing forward areas that need addressingWorks on multi-functional teams and collaborates successfully with IT and business resources to provide resulting secure applications that support the business needs.Supports cybersecurity awareness within the organization by explaining the current standards and recommending topical stories to be brought to the attention of the users  Job Qualifications Required QualificationsExposure to security development lifecycle (SDL) processes for internally developed applications, including the web-based and Internet facing components.Exposure or working knowledge of IT security aspects of operating systems, Active Directory, database (SQL) access, LDAP, Microsoft SharePoint, web server configurations, and networks, server administration, data networking, firewall administration, and/or applications development.Experience with information risk management.Experience managing cybersecurity related projects.Preferred QualificationsAssociate's Degree - in information technology.Knowledge, Skills, and AbilitiesDemonstrated ability to use computer software programs (e.g., e-mail, word processing, spreadsheet, and project management).Ability to work effectively in a diverse work environment.Our Values: It's not just what we do; it's how we do it.Live Safety. Everyone. Always | Make Things Better | Care For Others | Do The Right Thing | Act For Tomorrow | Think Beyond. Be BoldApplications will be accepted until a qualified pool of candidates is received.Energize your future and apply today at www.alliantenergy.com/careers.Alliant Energy is committed to and proud to be an Equal Opportunity Employer. We do not discriminate based on race, religion, color, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.All candidates selected for employment with Alliant Energy will be required to successfully complete a drug screen and background check.Disclaimer: The above information on this description has been crafted to indicate the general nature and level of work performed by employees within this classification. It is not crafted to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to this job.
		"
4,Cybersecurity Analyst (with Reporting),https://www.dice.com/jobs/detail/469eb119c743f321ee4208a346f5a021?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520analyst%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=550205cf-5be3-4758-b184-91f148080abb,Absolute Information Technologies Inc.,"
      Title   Cybersecurity Analyst (with Reporting)     Number of Openings   1     Location   Washington, DC     Job Type   Contract     Contract Length   6 months+     Hours Per Week   40     Job Description   Immediate long term contract opportunity for a Cybersecurity Analyst to help with Business Intelligence (BI) development as well as Cybersecurity analysis. We are seeking someone with a technical background and good exposure to the Cybersecurity functions and environment.  Responsibilities & Qualifications:  Cybersecurity Analysis (40%) - Collaborate with central vulnerability tooling teams to contribute to program maturation in support of vulnerability management activities - Provide information security consultation for aspects of information security compliance policy, risk management, and remediation - Collaborate and consult with peers, colleagues, and mid-level to more experienced managers to resolve issues and achieve goals - Coordinate with vendors on third party to leverage product reporting capabilities. - Work closely with leadership, infrastructure, product development, and DevOps team members to assess risk, develop options, and implement solutions - Interact with Technical teams on threat attack vectors, risks and related analysis details  Reporting (40%) - Interact with business users and management to gather reporting requirements for security metrics. - Work on data processes and reporting projects from beginning to the end - Design data process automation and optimization - Business Intelligent report design and development in Power BI - Using REST API to fetch data from security vendor tools using python or other such scripting.  Documentation (20%) - Technical writing/editing, to create or review/edit highly technical security documentation, to include cybersecurity and technical risk related documentation.     Required Skills   Qualifications: - 5+ years of Information Security Analysis experience, or equivalent demonstrated through one or a combination of the following: work experience, training - 1+ year of risk scoring such as CVSS, CVE and related schema and scoring concepts - 3+ years of experience orchestrating risk and control-related resolutions across a diverse set of departments - 3+ years of hands on Reporting and dashboards using any of the enterprise reporting tools such as PowerBI - 2+ year of scripting and automation experience. - Well versed with DAX Queries, Metadata model, Dashboards, Power BI Services, Publishing of reports/ Security Analytics - Knowledge of security information and event management (SIEM) tools - Knowledge of common networking ports and protocols, application security, defense-in-depth, and common security elements - Knowledge of Linux, Windows, and Active Directory administration - Experience in technical writing/editing, to create or review/edit highly technical security documentation, to include cybersecurity and technical risk related documentation. - Preferable if any security certifications.     Additional Comments    Position transition to perm: NO Position: Security - Mid Security Qty: 1 Candidate Submission Limit Per Supplier: 1 Looking for candidates with technical background and good exposure to the Cybersecurity functions and environment.     Work Environment   Home based, DC once they return to the office      
"
5,Cybersecurity Analyst,https://www.dice.com/jobs/detail/1fb7f5007981807c64892d9f6a46eb22?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520analyst%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=550205cf-5be3-4758-b184-91f148080abb,Robert Half,"
Description Cybersecurity Sr. Analyst - ONSITE/Hybrid - $40-45/hr - ContractOne of Robert Half's Fortune 100 Medical Device clients is hiring a Cybersecurity Sr. Analyst for a remote role Apply today!Responsibilities:Contribute to the development of a risk-based cyber security program which meets regulatory requirements and aligns with industry leading information security practices. 5+ Perform threat identification and mitigation activities using industry leading security controls and tools sets.Support the advancement of the Company's cyber threat and vulnerability management program to ensure consistent identification, analysis, response, and monitoring of cyber security threats, events, and vulnerabilities. Assess threats to the business and deploy countermeasures for those threats.Guide business units, application development teams, and third-party vendors to achieve program requirements while enabling the business.Apply technical knowledge to protect the Company against cyber threats (e.g., knowledge of firewalls, intrusion detection and prevention systems, data loss prevention solutions, endpoint protections, log aggregation technology and other leading-edge security technologies).Participate in cross-team coordination to achieve defined security goals as well as meet technical requirements in support of detailed implementation plans for security projects.Contribute subject matter expertise on security projects to ensure the timely, on budget, and effective implementation of cyber security improvements that are operationally supported with validation methods in place to measure effectiveness.Perform assessment of cyber security incidents to identify the root cause, respond, and recover the environment.Support management in the development of strategies, policy and standards to protect company information and technology assets.   Requirements Requirements:5+ years of experience of information security disciplines (Applications, Data, and Networks) with focus on security operations.BA Degree preferred Experience with enterprise IT SecurityCISSP, CISA or CISM certification is a plus.Strong domain expertise, implementation and/or integration skills in following areas: IAM, SIEM, IDS/IPS, SOC, Threat Intelligence, Cloud Security, Encryption & Key Management. • In-depth TCP/IP (and related protocols: ICMP, UDP, ARP, etc.) knowledgeVulnerability management experienceNetworks & Application security assessment experience • Incident response experience is mustPreferred experience- Open Source security tools (e.g. nmap, tcpdump, sysinternals suite, backtrack, etc.)OS Hardening experience - Windows and Unix/LinuxExperience in auditing Firewalls/Routers, DNS, FTP, WINS, etc.Knowledge of Shell Scripting: Perl, Bash, PowerShellMalware analysis and remediation experienceExcellent Analytical Skills & Attention to detailStrategic Thinking, Positive attitude and commitment to excellenceSelf-Starter; independent and displays high level of initiativeExcellent verbal and written communication skills ISO 27001/2, SOC 2, HITRUST and FedRAMP Information Security standard and the ISO 22301 Business Continuity Standard preferred  Technology Doesn't Change the World, People Do.®Robert Half is the world's first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.Robert Half puts you in the best position to succeed by advocating on your behalf and promoting you to employers. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity - even on the go. Download the Robert Half app and get 1-tap apply, instant notifications for AI-matched jobs, and more.Questions? Call your local office at Robert Half will consider qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance. All applicants applying for U.S. job openings must be authorized to work in the United States. Benefits are available to temporary professionals. Visit https://roberthalf.gobenefits.net/ for more information.© 2022 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking ""Apply Now,"" you're agreeing to Robert Half's Terms of Use.
		"
6,Cybersecurity Analyst,https://www.dice.com/jobs/detail/2251e432b6532491f0ea208c1ae5af99?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520analyst%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=550205cf-5be3-4758-b184-91f148080abb,Excite IT Partners,"
Cybersecurity AnalystRemoteAre you a Cybersecurity Analyst looking for a new opportunity? We’re looking to move quickly so apply NOW!QUALIFICATIONSAt Excite, we want you to succeed. We want to help you reach your goals and find a satisfying and challenging work environment. For the Cybersecurity Analyst position, you should meet the following criteria:At least 3 years of relevant work experiencePrevious experience in a product owner role, preferredMust have product owner certifications (e.g. Certified Scrum Product Owner, SAFe Product Owner Certification)Previous experience in Threat & Vulnerability Management, preferredPrevious experience with SAST/DAST/IAST tooling, preferredPrevious experience with Azure DevOps and Microsoft Azure, preferredPrevious experience with continuous integration and delivery tooling (CI/CD), preferredJOINING THE TEAMExcite understands that employees are the cornerstone to our success. We are proud to offer the following benefits:Competitive compensationHealth, Vision, Dental planLife and long-term disability401k plan with designated company matchWeekly paySince 2010, Excite Health Partners has been a growing leader in the Healthcare consulting and staffing industry. We are committed to the development of the HIT industry, which is why we ensure our employees are educated, prepared and confident. We understand our employees are the backbone of our company, so we work to find the best fit position for each of our unique professionals.
"
7,Cybersecurity Analyst,https://www.dice.com/jobs/detail/37446023e25cf375e2892be98d7ff56e?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520analyst%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=550205cf-5be3-4758-b184-91f148080abb,"Pro Search, Inc.","
A long time ProSearch client is looking for a Cybersecurity Analyst to develop and maintain a high-level design plan for the overall IT infrastructure and cybersecurity architecture for our client and their affiliates. This individual will provide technical consulting across the organization, develop and maintain security risk reduction, and business continuity plans related to IT systems. RESPONSIBILITIES:Plan cybersecurity systems by evaluating network and security technologiesProvide security and architectural consulting expertise, direction, and assistance to IT Analysts, IT Consultants, and outsourced vendorsDevelop and document an in-depth knowledge of existing IT and security architecture/infrastructureDevelop and manage a security risk management plan in collaboration with outsourced infrastructure vendors and affiliate counterpartsDevelop, document, communicate, and enforce a technology standards policy Design, develop, and oversee cybersecurity infrastructure and policyConduct system security and vulnerability analyses and risk assessments, study architecture/platform, identify integration issues, and prepare cost estimatesImplement and administer Intrusion Detection Systems (IDS)Verify security systems with custom test scriptsMonitor and ensure compliance with standards, policies, and procedures and conduct incident response analysesAssess and upgrade security systemsPrepare system security reports REQUIREMENTS:6+ years experience in a client-focused IT support roleExpertise and experience with cybersecurity and voice/data networking environmentsExpertise and experience with client computing, server, operating systems, Active Directory (AD), etc.Expertise and experience with Windows and UNIX operating system environmentsKnowledge of applicable cybersecurity and data privacy practices, regulations, and lawsKnowledge of NIST Cybersecurity Framework, NERC Critical Infrastructure Protection, PCI, CIS Critical Controls, and/or other relevant standardsExcellent technical architecture and support documentation skillsExcellent communication skills Why ProSearch?Health Benefits401K and ESOP EligibilityContractor Social EventsNetworked with companies including startups, small, medium, and large throughout Maine and across the country!Whether you’re looking for your next consulting assignment or want to stay “in the know” with new opportunities, join our network and maximize your potential for landing that next exciting assignment. Let’s Get to Work! ProSearch was established in Portland, Maine in 1994 to provide companies with a full range of search, staffing, and contracting services, specializing in the functional areas of information technology, accounting and finance, sales and marketing, customer service, human resource and office support utilizing a consultative approach. ProSearch strives to develop true partnerships with client companies and candidates to fully understand and satisfy their employment needs.ProSearch is an Equal Opportunity/Affirmative Action Employer. As such, it is our policy to follow a concept of non-discrimination in the hiring and promotion of employees without regard to their race, religion, sex, age, color, national origin or veteran, or handicapped status. 
"
8,Cybersecurity Analyst Senior,https://www.dice.com/jobs/detail/8f19f99f582cb84df5cf492f8fe0f0cf?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520analyst%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=550205cf-5be3-4758-b184-91f148080abb,"Electronic Consulting Services, Inc (ECS Federal)","
			ECS is seeking a Cybersecurity Analyst Senior to work in our Orlando, FL office.  Job Description:   Establish and manage certification standards and processes required during the acquisition life-cycle for system hardening in a virtual environment.  Perform technical coordination across Army PEOs/PMs cyber integrators for lessons learned, technical issues and potential solutions.  Support oversight of penetration testing, vulnerability analyses, and vulnerability assessments in support of acquisition programs across all phases of the acquisition lifecycle.  Serve as the team/program Information Assurance and Risk Management Framework lead.  Develop and field of a repository capturing known vulnerabilities, tools, exploits and best practices for cybersecurity engineering. Support the development of processes that produce quarterly feedback on cybersecurity protection trends.  Assist the government's Information Assurance Manager (IAM), in program development, management, and maintenance of training and testing systems.  Assist in resolving critical information security issues, short and long term solution daily, in the following areas: - Certification & Accreditation, Tracking, Detection and Monitoring, Modeling and Simulation and Security Documentation. Collect documentation from Information Assurance program reviews to help facilitate proper decision making. Recommend solutions and critical program decisions to the IAM based on finding, information, and analysis. Provide security engineering support to the IAM for the lifecycle system development to include participation in Integrated Product Team meetings, technical review of Department of Defense Risk Management Framework (RMF) documentation, and execution of system pre-scans. Assist in drafting of Information Security Plans, Configuration Management Plans, and Contingency Plans   Required Skills:    Active TS/SCI Clearance  Security + CE minimum Knowledge of Army cyber testing processes/procedures Knowledge of Risk Management Framework and eMASS Knowledge of DoD Acquisition processes/procedures   ECS is an equal opportunity employer and does not discriminate or allow discrimination on the basis of race, color, religion, gender, age, national origin, citizenship, disability, veteran status or any other classification protected by federal, state, or local law. ECS promotes affirmative action for minorities, women, disabled persons, and veterans.  ECS is a leading mid-sized provider of technology services to the United States Federal Government. We are focused on people, values and purpose. Every day, our 3000+ employees focus on providing their technical talent to support the Federal Agencies and Departments of the US Government to serve, protect and defend the American People.
		"
9,Senior Cybersecurity Analyst,https://www.dice.com/jobs/detail/21c0a704042d3dd058ac440f1f044e33?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520analyst%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=550205cf-5be3-4758-b184-91f148080abb,SAIC,"
			Job ID: 2208095 Location:  WASHINGTON , DC , US Date Posted: 2022-05-31Category: Defense/IntelSubcategory: Policy AnalystSchedule: Full-timeShift: Day JobTravel: Yes, 10 % of the TimeMinimum Clearance Required: SecretClearance Level Must Be Able to Obtain: TS/SCIPotential for Remote Work: NoDescription   SAIC is actively seeking a Senior Principal Cybersecurity Analyst to join our Military Training team in support of the Office of the Assistant Secretary of Defense/ Readiness (OASD(R)) customer.   Note: Work is onsite at the Pentagon in Washington D.C.   Job Duties:    Work under the OASD(R)'s Office of Military Training Director in the Force Education & Training (FE&T) office in support of Cybersecurity Policy, Analysis and Training.   Support the Director by providing cybersecurity expertise and drafting statements, testimony, responses, briefings, and talking points to communicate DoD policies, programs, and positions related to cybersecurity policy for diverse external audiences, including Congress, media, military and veteran support organizations, and the public.   Develop memorandums, information papers, talking points, and briefings for senior DoD leaders that communicate policies, positions, program information, requirements, and requests for action. Responsibilities will include both quick response and longer term assignments.   Draft policy documents related to cybersecurity in a variety of formats, to include memorandums and instructions. Navigate the DoD issuance process and internal OUSD(P&R) processes for coordination and publication. Coordinate with DoD-wide programs to address cybersecurity policy requirements, including military training, intelligence, electronic warfare, war gaming and simulations.   Review, research, analyze, and communicate the potential impacts of proposed legislation on DoD policies, programs, and positions related to the cybersecurity readiness of Service members and families. Develop recurring and special interest reports to Congress that communicate DoD policies, programs, and positions.   Work with other DoD interests and other government and non-governmental interests to provide the most comprehensive cybersecurity preparedness opportunities to the Services.   Policy Development. Draft policy documents in a variety of formats.   Congressional and Legislative Affairs. Perform tasks including researching, analyzing proposed legislation, and preparing responses to Congressional inquiries and requirements.   Travel limited to about 10%.   Qualifications   Required Education and Experience:    Bachelor's degree and 18 years relevant work; four (4) years of experience in lieu of degree.    Required Security Clearance:    Have an active secret clearance with the ability to obtain a TS/SCI Clearance.    Required Skills or Experiences:    Experience working in the Pentagon (military or civilian)   Experience as a Pentagon staff/action officer (military or civilian)   Experience working in cybersecurity of intelligence related areas.   Experience reviewing, responding, and routing policy and directives through staffing and service approval.   Experience creating and staffing DoD Forms, Directives and Instructions Staffing processes, DoDI Strong communication and writing skills.   Excellent writing skills, communication skills and attention to detail.   Ability to work in a fast-paced environment and balancing priorities.   Work independently on customer site under general direction from management.   Represent the organization in direct communication with customers .   Covid Policy: SAIC does not require COVID-19 vaccinations or boosters. Customer site vaccination requirements must be followed when work is performed at a customer site.SAIC® is a premier Fortune 500® technology integrator driving our nation's technology transformation. Our robust portfolio of offerings across the defense, space, civilian, and intelligence markets includes secure high-end solutions in engineering, digital, artificial intelligence, and mission solutions. Using our expertise and understanding of existing and emerging technologies, we integrate the best components from our own portfolio and our partner ecosystem to deliver innovative, effective, and efficient solutions that are critical to achieving our customers' missions.We are more than 26,500 strong; driven by mission, united by purpose, and inspired by opportunities. SAIC is an Equal Opportunity Employer, fostering a respectful work culture based on diversity, equity, and inclusion that values all contributors. Headquartered in Reston, Virginia, SAIC has annual revenues of approximately $7.1 billion. For more information, visit saic.com .<![CDATA[SAIC is a premier technology integrator providing full life cycle services and solutions in the technical, engineering, intelligence, and enterprise information technology markets. SAIC is Redefining Ingenuity through its deep customer and domain knowledge to enable the delivery of systems engineering and integration offerings for large, complex projects. SAIC's approximately 15,000 employees are driven by integrity and mission focus to serve customers in the U.S. federal government. Headquartered in Reston, Virginia, SAIC has annual revenues of approximately $4.5 billion. For more information, visit saic.com. For information on the benefits SAIC offers, see <a href='http://www.mysaicbenefits.com/en/Joining-SAIC' target='_new' rel=""nofollow"" >My SAIC Benefits.
		"
