,Name,Link,Advertiser,Description
0,"
                            Security Engineer, Infrastructure Protection - Sydney
                                New listing
",https://jobsearch.gov.au/Job/View/Details/2303224789?context=c7ccf500-a1e8-400d-94a3-0f2e7b209073,https://careers.google.com/jobs/results/109743506735407814/,"
Google Australia pty Ltd

Opening Date: 24th June 2022
Closing Date: 24th July 2022

Apply via the Google Careers page: https://careers.google.com/jobs/results/109743506735407814/

JOB DESCRIPTION
There's no such thing as a ""safe system"" - only safer systems. Our Security team works to create and maintain the safest operating environment for Google's users and developers. As a Security Engineer, you help protect network boundaries, keep computer systems and network devices hardened against attacks and provide security services to protect highly sensitive data like passwords and customer information. Security Engineers work directly with network equipment and actively monitor our systems for attacks and intrusions. You also work with software engineers to proactively identify and fix security flaws and vulnerabilities.

You use your industry experience to own and drive the resolution of complex security incidents, policy questions and technical security issues.

The Infrastructure Protection Security team is a global Engineering team that helps design, build, and use infrastructure securely at scale. Security Engineers work on a broad set of efforts focusing on scaling and automating security infrastructure and processes. We contribute to open source security software, conduct applied research, and implement novel technologies and architecture to work with enterprise security across a diversity of computing platforms such as mobile and cloud. Examples include establishing and enforcing perimeters to protect all of Google’s environments, defending a diverse set of clients and servers in difficult environments, from common operating systems to emerging software and hardware platforms, and evolving authentication, access infrastructure, and policy to simplify user experience and keep Google safe. Applicants must have a right to work in Australia as Google is currently unable to sponsor a visa for this position.
Qualifications

JOB RESPONSIBILITIES
Work on next generation platform security designs and projects
Build security tools and processes using Python or Go for critical infrastructure protection, monitoring and remediation
Sharpen common operating systems used at Google
Drive enterprise focused security improvements to Google products and services
Assess risk within the context of real threats faced by Google platforms

MINIMUM QUALIFICATIONS
Bachelor's degree in Computer Science or a related technical field, or equivalent practical experience.
3 years of relevant work experience in security.
Coding experience in one or more general purpose languages.

PREFERRED QUALIFICATIONS
Experience with network protocols and secure network design.
Experience in the development of security tools, automation, or frameworks.
Experience with attacks and mitigation methods.
Experience in operating system internals and hardening (e.g. Windows, Linux, OS X, Android).
Experience in authentication and access control, and applied cryptography and security protocols.
"
1,"
                            Security Guard
                        ",https://jobsearch.gov.au/Job/View/Details/2303187433?context=c7ccf500-a1e8-400d-94a3-0f2e7b209073,-,"
Security Guards required for a well established company on the Sunshine Coast. Duties include but are not limited to mobile patrols where you will be checking doors, windows and gates of numerous premises each night, alarm responses as well as static guard work. Applicant must have a current security licence, be well presented and reliable. If you would like to be valued member and work well in team environment please apply.
"
2,"
                            ICT Security Specialist
                        ",https://jobsearch.gov.au/Job/View/Details/2303180213?context=c7ccf500-a1e8-400d-94a3-0f2e7b209073,http://www.coolbananasservices.com.au,"
COOL BANANAS SERVICES PTY LTD (‘’Cool Bananas’’) is a managed services business that specialises in providing ICT support to the education sector, primarily based on a long-term contract with the Department of Education and Training, we are looking for a self-motivated ICT security specialist to join our team of ICT Technicians and Engineers. 

Major duties include
Accountable for planning, addressing, and initialising the learning management systems and managing disaster recovery strategies.
Configuring Virtual Private Network (VPN) access, remote learning modules, remotely communication methods between staff, students, and parents.
Coordinating with security vendors and suppliers to initiate strategies to keep the ICT system current in relation to both hardware and software. 
Setting up and maintaining security applications while applying security patches when required for both server and client ends. 
Setting up, configuring, maintaining, and troubleshooting servers running a server-based network operating system including user set-up and administration, domain configuration, profiles and policies, directories, security, Dynamic Host Configuration Protocol (DHCP), Domain Name Service (DNS), and remote access following the Department’s guidelines.
Monitoring the network for any performance changes using network monitoring tools and enhancing network performance when required.
Provide service support while analysing and troubleshooting server-related software and hardware defects, including works station and communication systems in the school.
Regularly monitoring the prevailing networks to determine the future network requirements and recommend improvements in the existing infrastructure.
Implement and manage documentation, instructions, procedures, record-keeping and operational methods, and system logs relevant to the networks.


Skills required 
•	Extensive experience with ASA /Checkpoint Firewalls, Cisco IPS, Application scanning, WAF
•	Strong knowledge of sub netting, ipv4, firewalls, routing, packet filtering 
•	Extremely strong technical ability in layer 2-7 IP, TCP, UDP protocols 
•	Desired industry / Vendor certifications: CISSP, CCNP, CCSA
•	Experience with Network service protocols – DNS, DHCP, TACACS, NTP, SNMP, 
•	SSL, TLS
•	Checkpoint VSX environment experience 


Required Qualification 
•	Bachelor of Information and Communication Technology 
•	At least 2 years recent relevant work experience 

Position throughout Victoria
"
3,"
                            SAP Basis & Security Administrator
                        ",https://jobsearch.gov.au/Job/View/Details/2303143381?context=c7ccf500-a1e8-400d-94a3-0f2e7b209073,https://www.atlamgroup.com/job/sap-basis-security-administrator/,"
About the role As our SAP Basis & Security Administrator you will be an active member of the SAP Basis team, responsible for the complete life cycle management of all InfraBuild SAP environments from a technical administrative perspective. You’ll take a lead position in the team for SAP Security, overseeing user access role development and assignment, risk assessments, Segregation of Duties, audit requirements, etc. As well as this you’ll administer a broad range of SAP Products, with system interactions and interfacing across on-premise, Azure Cloud, and the SAP Business Technology Platform. About your experience We are looking for someone with a proactive mindset, a strong desire to succeed and a passion for continuous improvement. You’ll have an understanding of Infrastructure and service deliverables and differences between on-premise, a cloud provider such as Azure, and the SAP Business Technology platform. You will also have: • Bachelor's Degree in IT or similar discipline • Proven…

...Please follow the Website URL for the full details.
"
4,"
                            Cyber Security Analyst
                        ",https://jobsearch.gov.au/Job/View/Details/2303146662?context=c7ccf500-a1e8-400d-94a3-0f2e7b209073,https://www.randstad.com.au/,"
 Leading Utilities organisation is currently seeking a Security Analyst to join their growing team for a permanent role.  This is a diverse role that will look at all aspects of security, including security monitoring / assessments and ensuring security compliance  
   
 You will also be required to perform the following: 
   
This position will be responsible for the following key tasks* Performing a range of systems security related activities including proactive monitoring, reactive support, and documentation of security incidents to support the IT Team and ensure configuration management standards are applied* Monitoring the approach and compliance of security administration processes and security access through assessing metrics and data to identify unauthorised activity and prevent breaches occurring* Generating reports for IT administrators and business managers to evaluate the efficacy of the security policies in place and support continuous improvement security initiatives* Conducting security assessments through vulnerability testing and risk analysis to minimise the risk of security breaches* Analysing security breaches and other security related incidents to identify root causes and ensure systems changes are identified and assessed while escalating potential breaches to the IT Risk & Compliance Manager
 Maintaining and updating Internal Cybersecurity systems such as reporting platforms, firewalls and other associated systems - and documentation and polices required * Work with internal and external key stake holders to ensure compliance is maintained with cybersecurity policies* Create, distribute, and manage user awareness training programmes linked to cybersecurity.*  Provide input into the risk management programme ensuring that Information technology systems Disaster Recovery plans include elements linked to cybersecurity.*  Assume responsibility for the security of critical business systems, networks, and data, and ensures that all security policies and processes are complied with.* Develop and implement security standards, processes and procedures, and guidelines for the enterprise* Ensure and monitor security compliance with industry and government rules and regulations* Coordinate with technology and business groups to assess, implement, and monitor IT-related security risks/hazards*  Ensures security compliance and meets all service level agreement requirements* Create an information security awareness program to ensure staff members across the organisation can identify and understand Cybersecurity risks 
   
 To be successful in this position you will be an experienced Security Analyst who has solid experience in conducting security assessments, monitoring and troubleshooting security issues, and have an awareness of security governance and compliances.  Excellent communication and stakeholder engagement skills are a must Apply Now by using the link or email leonie.woodfine@randstad.com.au  

At Randstad, we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. We actively encourage applications from any background.Please click here to apply. "
5,"
                            Research Postdoctoral Fellow Cyber Security (CRC)
                        ",https://jobsearch.gov.au/Job/View/Details/2303146616?context=c7ccf500-a1e8-400d-94a3-0f2e7b209073,-,"
 

Establish research in cyber security in Australia
Work with leading companies and government agencies within CSCRC

The Role 

Fixed Term (up to 12 months), Full Time
Level B - $100,476 to $119,121 pa (plus 17% superannuation)
Bathurst or Wagga Wagga

Funded by the Cyber Security Cooperative Research Centre (CSCRC) you will work closely with the CSCRC to develop and engage in high-quality, impactful research projects that contribute to cyber security in Australia and are supported by the CSCRC.The focus will be to apply software engineering, machine learning and/or cyber security expertise in real-life scenarios including cyber security for agriculture through various relevant tasks such as agriculture asset management, data collection and visualisation, virtual CISO development, malware detection, ransomware detection, vulnerability detection, intrusion detection, threat hunting, authentication, cryptography, cyber security disaster recovery, data trustworthiness, privacy-preserving data sharing/flow, and privacy-preserving federated learning.  To be successful you will have: 

A PhD relevant to the computing discipline, computer science, information technology or related areas in cybersecurity, machine learning or software engineering with strong programming expertise.
Excellent research track record in cyber security, machine learning and/or software development as demonstrated by publications in top-tier journals and conferences.
Demonstrated capabilities to conduct research in the area of cyber security, machine learning, software engineering or related technical areas and implementation of such research and/or a record of research capacity to make an autonomous contribution.
A demonstrated ability to effectively liaise with academic colleagues and administrative staff, and work as a member of a team.

About Us The Faculty of Business, Justice and Behavioural Sciences covers a diverse range of disciplines and is comprised of 6 Schools, 2 Centres and CSU Engineering - the School of Management and Marketing, School of Accounting and Finance, School of Computing and Mathematics, School of Policing Studies, Australian Graduate School of Policing and Security, School of Psychology, Centre for Law and Justice, Centre for Customs and Excise Studies and CSU Engineering.Charles Sturt University (Charles Sturt) is member of the consortium which has been successful in establishing $140M Cyber Security Cooperative Research Centre (CSCRC). The Cyber Security CRC consists of 23 participants including leading companies such as Optus, CISCO, TSS Cyber and Tata Consulting and crucial government agencies such as the Australian Signals Directorate and the Australian Federal Police. State governments including from NSW to WA are also members of this industry led consortia.  Further Information  Additional information is available in the Position Description or by contacting:Zahid Islam | Professor of Computer Science | zislam@csu.edu.au | Ph: 02 6338 4214  Closing Date: 11 pm, 21 July 2022Please click here to apply. "
6,"
                            Licensed Security Officer
                        ",https://jobsearch.gov.au/Job/View/Details/2303123856?context=c7ccf500-a1e8-400d-94a3-0f2e7b209073,http://ngareemployment.com.au/,"
Security Officer Licensed - Sunshine Coast

We are currently seeking expressions of interest for licensed security guards for an upcoming contract in the Sunshine Coast region.

 You will be provided with: 
 
	 Full support right throughout the application process 
	 Competitive salary 
	 An exciting new career 
	 Endless opportunities 

 Key Responsibilities : 
 
	 Ensuring the safety of staff, clients and visitors 
	 Provide excellent customer service 
	 Communicate calmly and clearly with key stakeholders 
	 Maintain a high level of security onsite 

 We are looking for candidates with the following attributes:- 

	 People skills 
	 Good communication skills 
	 Positive and enthusiastic attitude 
	 Hold a current QLD driver licence 
	 Hold a current QLD security licence 
	 Have the ability to pass a medical and Drug and Alcohol exam 
 
 Award: Security Services Industry Award 2020 

 Rate will be determined on experience. 

 If you possess all of the above, we would like to hear from you! 

 If you would like to speak to us for more information, please feel free to contact us on (07) 3638-0253.
"
7,"
                            SAP Basis & Security Administrator
                        ",https://jobsearch.gov.au/Job/View/Details/2303089440?context=c7ccf500-a1e8-400d-94a3-0f2e7b209073,https://www.infrabuild.com/,"
About the role
As our SAP Basis & Security Administrator you will be an active member of the SAP Basis team, responsible for the complete life cycle management of all InfraBuild SAP environments from a technical administrative perspective.

You’ll take a lead position in the team for SAP Security, overseeing user access role development and assignment, risk assessments, Segregation of Duties, audit requirements, etc. As well as this you’ll administer a broad range of SAP Products, with system interactions and interfacing across on-premise, Azure Cloud, and the SAP Business Technology Platform.

About your experience
We are looking for someone with a proactive mindset, a strong desire to succeed and a passion for continuous improvement. 
You’ll have an understanding of Infrastructure and service deliverables and differences between on-premise, a cloud provider such as Azure, and the SAP Business Technology platform.

You will also have:
•	Bachelor's Degree in IT or similar discipline
•	Proven experience in Basis/ Security Administration
•	Strong technical competence across a range of SAP Products, and relevant databases e.g. HANA, Oracle
•	Experience with Security tools such as GRC and IDM.
•	Understanding of the Fiori Launchpad and its Tiles, Catalogues, Groups, etc.
•	Intermediate Unix and Linux skills

About our team 
At InfraBuild we are building futures through sustainable steel. We are Australia’s leading vertically-integrated Electric Arc Furnace steel recycling, manufacturing and distribution business. We provide solutions for commercial and residential construction, large scale and nation-building infrastructure, our primary producers, mining and rural sectors. With our rich history spanning more than 100 years we have entered an exciting new chapter, each day we help build and enable a stronger and more sustainable Australia, for a changing world.

Next Steps
Across our different business units, we offer career opportunities for people who share our drive, passion and ambition. From apprentices and graduates to experienced professionals, we are committed to offering fulfilling careers and the chance to grow as our business grows. We would love you to be part of our journey.

We are a 2022 Circle Back Initiative Employer – we commit to respond to every applicant.
"
8,"
                            Systems Administrator - Applications and Security
                        ",https://jobsearch.gov.au/Job/View/Details/2303118741?context=c7ccf500-a1e8-400d-94a3-0f2e7b209073,https://www.choice.com.au/,"
Applications and security specialist with strong customer service skills needed for a digitally focused NFP with an ethical purpose.

- Know your way around ERP, CRM and Google Suite?
- Have you worked in online media or consumer focused organisations?
- Enjoy coaching others to get the most out of their technology?

CHOICE has played a unique role in Australia’s consumer landscape since 1959.   

As a not for profit our activities are intended to benefit not only CHOICE members but also the wider public in pursuit of fair, just and safe markets.  

We campaign, test and review services, and provide digital tools and content to help consumers make better informed decisions.

About the position

Working closely with the IT Operations Lead you will deliver continuous security improvement across the applications portfolio supporting day to day operations of the business as well as providing support in progressing a number of change projects across our systems and platforms..

* Provide daily technical support and problem resolution (configuration & debug) for IT systems and business applications
* Manage and keep up to date IT Applications and Services portfolio through CHOICE asset management system
* Work with users across a broad range of areas within CHOICE to understand and assess business requirements and workflows to identify functional enhancements
* Maintain technical documentation and operational procedures, end user documentation, server maintenance testing procedures and build formal training on adapting new services and applications.
* Patch and upgrade critical IT business systems as defined by IT Services patch schedule and procedures.
* Liaise with application vendors, suppliers and service providers, ongoing management of contractual obligations and licensing management
* Work with internal stakeholders to conduct risk assessments of ICT systems and applications.
* Provide support to IT Operations Lead to deliver variety of exciting IT Projects
* Be part of on-call IT roster to respond to escalated critical IT emergencies.
* Provide recommendation to IT Operations Lead and management on software security applications and needs
* Monitor contractual obligations, performance delivery and service agreements
* Assist other IT team members with troubleshooting and service support during upgrades from a security standpoint
* Provide subject matter expertise on security network
* Survey the market for trends and determine network needs of the business

You will have the opportunity to work on a breadth and variety of company-wide upgrade and enhancement projects that will have a positive impact on CHOICE staff and members. 

About you

You have at least 2 years relevant experience and acquired knowledge in a variety of application technologies as well as practical experience translating it in a user-friendly way to colleagues with varying levels of technical understanding.

* Solid understanding of IT infrastructure fundamentals - servers, networks, security
* Strong technical experience and knowledge in supporting critical business systems and providing 1st and 2nd level technical support in medium sized organisations for both on premise and remote users.
* Previous experience working with any cybersecurity frameworks such as NIST, SOC 2 or CIS
* Prior experience in application support i.e Google suite, SaaS technologies, CRM systems, ERP, Atlassian
* Working knowledge with basic cloud services in Azure, AWS or both
* Previous experience with supporting data warehouse platforms such as Redshift, Tableau and Matilion is a plus
* Experienced in preparing user awareness training and documentation, conducting trainings through presentations
* Possess Bachelor degree in Computer Science and relevant qualifications in IT
* Possess Industry certification in the cloud technologies - Azure or AWS
* Passionate about new technologies,  self-studying towards obtaining IT certifications

What sets you apart is your critical thinking skills and willingness to learn and cross-skill in collaboration with others.

About CHOICE

We value diversity in our teams and work hard to ensure our people feel they belong at CHOICE. We embrace flexible working aligned to individual needs, and support our teams to work collaboratively wherever they are located.  This particularly role requires the successful candidate to be based in our Marrickville office for 2 days per week. 

CHOICE uses a range of techniques to assess whether you’re the right person for the job, and we’re more than happy to meet your needs should you require adjustments regarding access or support. We encourage you to let us know during the application process so we can work with you on this, and your personal information will be kept confidential.
"
9,"
                            Cyber Security Analyst
                        ",https://jobsearch.gov.au/Job/View/Details/2303047607?context=c7ccf500-a1e8-400d-94a3-0f2e7b209073,https://www.xnetit.com.au,"
•	Cyber Security Analyst
•	Permanent full-time opportunity, Sydney NSW
•	Salary relative to experience, and ranges from $70,000 to $80,000 

Are you a Cyber Security Analyst with a keen interest in broadening your experience? 

Our Company is looking for a Cyber Security Analyst that will act as a technical expert to identify, mitigate, and respond to threats against the security, confidentiality, and integrity of client and corporate systems, networks, and data. The Security Analyst is responsible for monitoring existing controls, analysing network and system activity, and working with administrators to create, maintain, and enforce controls and business continuity processes. This position interfaces company wide as well as partnering with internal and external resources to address and communicate any security issues.

Responsibilities
•	Protect data and information systems against unauthorized access, modification, or destruction
•	Maintain and monitor data security
•	Manage network, intrusion detection and prevention systems
•	Respond to and analyse security incidents
•	Prepare status reports on security matters to develop security risk analysis scenarios and response procedures.
•	Responsible for the tracking, monitoring and resolution of security incident tickets.
•	Audit and report on user accounts and access permissions
•	Provides direct support to the business and IT staff for security related issues.
•	Recommend and implement appropriate cyber security tools and countermeasures
•	Assist in the development and documentation of security procedures and business continuity plans

Qualifications & Skills

•	2-3 years of related work experience with a bachelor’s degree or an Advanced Degree (e.g. Masters, MBA, JD, MD, or PhD) in a computer science or related field.
•	Security qualification such as CompTIA Security+, CISMP, CISSP, CISM an advantage, but not essential
•	Familiarity with security threats involving devices, networks, and systems as well as solutions that prevent, detect, and respond to those threats.
•	Proven experience in Security Incident Response, IAM, SIEMs.
•	Familiarity with current cyber security technologies such as firewalls, proxies, network and host-based intrusion prevention, data loss prevention, security information/event management, endpoint security, anti-virus/anti-malware, etc.
•	In-depth understanding of ICT Security, specifically Vulnerability Management of ICT systems
•	Ability to read and write basic reporting scripts (PowerShell).
•	Understanding of Cyber security policies, procedures and good knowledge on ISO27001, NIST or similar frameworks.


Could this be the role for you? Apply now through the link or send your CV to thushara@xnetit.com.au to start your journey with XnetIT. 
For more details on the role, or other roles we have available please call 0414 580 944.

About Xnet IT

Providing a range of IT support and services among many IT companies in Australia, XnetIT will help you succeed in your transformation to this digitalised world. We know that understanding the right mix of IT is crucial in this transformation, hence we work closely with our valued clients to deliver the most affordable end-to-end ICT management services & business it support services that are flexible to adapt changing business conditions and meet its existing needs.
"
