,Name,Link,Advertiser,Description
0,Senior Consultant - Cyber Security,https://www.seek.com.au/job/57550982?type=promoted,RSM,"Employer Value Proposition (EVP)
Looking to work for a multinational and well-known organisation, but don't want to get lost in the crowd? As a mid-tier firm, RSM has the perfect balance of providing exposure to a variety of clients and services, without overlooking an employee's career objectives and individual areas of interest. RSM offers the combined benefits of a big firm including extensive networks, training and career opportunities - within a highly supportive, people-oriented workplace. This combination provides a great environment to build skills and confidence. We help our people achieve to their best. RSM prides themselves on hiring and retaining employees by providing flexible work arrangements, regular and dedicated mentorship from senior management, and opportunities for future learning and training.
The technology team is a specialist team under the wider Risk Advisory Services cohort. You will be working closely with others within this specialist field, gaining exposure to numerous cyber security, information security and privacy related services. You will be provided with the opportunity to expand your knowledge and skillset with the dedicated support and guidance from both subject matter experts, as well as senior management.
Position Summary
Successful candidates will be responsible for effectively delivering engagements/projects and managing junior staff. You will be skilled and experienced at scoping, planning, delivery and reporting of IT general control reviews and keen to learn more about cyber security, information security and privacy related services.
Key Responsibilities:

Provide client management with guidance on IT risk management, particularly on application, database, operating system and network infrastructure controls. Help identify improvement opportunities for clients and write reports for clients with recommendations for identified findings.
Perform technology risk assessments, assess the effectiveness of processes/controls and make recommendations to improve the technology control environment.
Ensure completion of each assignment to a high-quality standard, within budget and on or before deadlines, while controlling the progress of other assignments.
Co-ordinate the engagement, liaise with client, mentor and coach the team, and ensure IT audit methodology compliance.
Work closely with other Risk Consulting and External Audit team members in delivery of reviews.
Assist partners and managers in business development activities.

 
Education Requirements:
 Essential

Tertiary qualification in Information Technology or Computer Science

 Desirable

Professional certification such as CISA, or other relevant IT certifications

Demonstrated Experience & Attributes

Minimum 3 years' experience in IT audit, internal controls or risk management.
Experience performing IT general controls, technology risk assessments, testing or auditing against technology standards or governance frameworks.
Knowledge of IT processes, project management, applications, databases, operating systems and network infrastructure to apply better practice guidance and identify opportunities for improvement.
Outstanding interpersonal and communications skills, able to communicate effectively in verbal and written format with technical and non-technical audiences.
Experience managing a client portfolio, able to provide first class service in response to client demands.
Strong attention to detail and prioritising skills, able to produce high quality work autonomously and as part of a team.
Interested in developing skills further and working on engagements related to cybersecurity or information security standards or governance frameworks.

How To Apply
To apply, please click on the Apply Now button, complete our online application form and upload your CV and cover letter."
1,Cyber Operations and Information Security Manager ,https://www.seek.com.au/job/57473399?type=promoted,Specsavers Support Office,"What we can offer youAt Specsavers we promise to make you feel good, cared for and smart. Being Great Place to Work accredited for the last two years, this is a great opportunity to join us as we continue our path to not just be great but be the BEST place to work!We are well known for valuing our people and providing a supportive, driven and inclusive culture. Beyond that, we also have a range of different benefits within the support office, that include:Quarterly Bonus Scheme Two free pairs of glassesOn site free parkingBirthday leave, Volunteer leave, Paid Parental leaveHealth & Wellbeing programsFully funded Social Club – provides a wide range of activities throughout the year. The role & teamAs the Cyber Operations and Security Manager you will join our Global Threat, Vulnerability and Response (TVR) team and you will be responsible for the provision of Information & Operational Security Services for Specsavers within the APAC region. Reporting directly into the Head of Information Security (who is based in the UK) you will be responsible for the day-to-day monitoring, response, and management of key security systems such as intrusion detection, network behavioural analysis, and vulnerability management as well as day to day information security management and interaction with the business and IT teams.Forming part of the wider strategic vulnerability management program you will focus on the reduction of technology and information risk to Specsavers. It requires a broad knowledge across all aspects of these services, i.e. technology, process and governance.  It also requires an ability to balance a hands-on approach to incident management where necessary.  The skills we are looking forExtensive experience in a Cyber Operations environment Very Strong knowledge of configuration management, change control/problem management and leading risk assessments Deep understanding of Security Tooling including: SIEM (we use Splunk)Vulnerability Management Email Gateways (we use Proofpoint)Endpoint Protection (we use Cortex XDR)Firewalls (we use Palo Alto and Cisco Meraki)Ability to maintain composure and continue to function effectively under pressureExperience providing direction, leadership and mentoring as required to other team membersWell versed with Microsoft 365  Predominately standard business hours however there will be regular weekly calls to the UK outside standard hours (usually evenings) About UsAt Specsavers we believe a diverse, inclusive and flexible culture enables our people to bring their whole selves to work and be proud of doing so. When it comes to flexibility, we understand that one size doesn't fit all. Our flexible working at Specsavers enables us to work in ways that support our lifestyle to help us balance our career with the other important things in life.Creating a great place to work for our people is pinnacle to us and along with our Behaviours is at the core of everything we do, ensuring our people feel good, cared for and smart. We like to think it’s a fun and positive place to work – why not have a look for yourself https://join.specsavers.com/au/department/support-office/  Applicants for the role are required to have current working rights as per, relevant government legislation."
2,Junior Cyber Security Analyst,https://www.seek.com.au/job/57504753?type=standout,Harvey Nash,"Are you currently working for an MSP as a level 2 IT support and looking to make a break into cyber security? Are you looking to take that next step into the career of your dreams? This organisation is currently looking to bring on a fast learner with a passion for cyber, with minimum 12 months experience in IT support to join their cyber team. In order to be considered you must have the following:  Minimum 12 months experience in IT support preferably for an MSP Degree qualified in IT with a module in Cyber Security OR TAFE course in Cyber Security (highly regarded) Passion for cyber and technology Driven individual looking to learn and develop within their career   About the role: You will be trained by some of the most experienced people within the team, into a SOC Analyst / Junior Cyber Security Expert. You will learn some of the following technologies:  AlienVault Carbon Black CyberArk Okta ProofPoint Fortinet Alsid Darktrace LogRhytum Zscaler Rapid 7 Tenable  Openings like this don’t happen often! If you’re hungry to get into a security role, please apply now or send your CV to Laura or Amaleen!amaleen.hassan@harveynash.com.aulaura.robinson@harveynash.com.auOnly successful candidates will be contacted."
3,Security Analyst,https://www.seek.com.au/job/57556616?type=standard,Finite IT Recruitment Solutions,"The role & responsibilities :Support the Coordinator, Security and Analytics to undertake preventative measures to emerging security threats, focused on advancing information security through advanced analytics to uncover unknown risks.Assists with security assessments through vulnerability testing and risk analysisMonitors network traffic to detect potential threats and then responding to these threats promptly.Aids in the prevention activities through the collection, analysis, and reporting of data. Proficiency with the following products :MS oFFICE 365MS Defender ATP/ MS Defender for cloudMS AzureMS Sentinel or similar SIEMSignal Sciences or similar Web application FirewallEnterprise firewall like Meraki/Cisco "
4,Security Analyst,https://www.seek.com.au/job/57536170?type=standard,Tesserent,"About UsAt Tesserent (ASX:TNT) we're passionate about cybersecurity! Tesserent has achieved significant growth through its success as a full-service cybersecurity provider. As Australia’s largest ASX-listed (TNT) Cybersecurity provider we partner with clients from all industries and all levels of government. Every employee is handpicked to fit our culture, ideals, and common goal of becoming the sovereign cybersecurity provider of choice for the protection of Australia and New Zealand’s digital assets. We understand that you have a life outside of the business, so we do everything to make work-life enjoyable and rewarding. The Role You will be joining the largest listed Cyber Security organisation in Australia to become a part of our leading Security Operations Centre. As a SOC Analyst you will be detecting, analysing and responding to security threats, in order to protect our clients’ critical information systems.Responsibilities:Being part of a 24x7 security operations and threat detection teamMonitoring security threats and vulnerability alerts, which includes audit and intrusion detection system logs for system and network anomaliesInvestigating and/or escalating security violations, attempts to gain unauthorised access, virus infections that may affect the network or other events affecting cyber securityManaging service requests to ensure contracted service levels are met, and escalating any issues impacting SLAs to ManagementUndertaking shift hand-over, providing security guidance, support and escalation activities for our clientsAbility to work autonomously to complete critical and operational tasks Skills and Experience:Good understanding of security principles and technologies (security alerting, security protocols, threat and vulnerability management, incident and event management)Strong technical understanding of the security landscape (attack vectors, tools, best practices for attack detection and mitigation)SIEM technologies monitoring and reporting experienceKnowledge and experience with the MITRE ATT&CK frameworkUnderstanding of security Service Operations processes (Incident and Event Management, Incident Isolation, Classification, and Escalation)Hands-on experience with security technologies (Rapid 7, Splunk, Chronicle, Crowdstrike, Sentinel)Experience with reviewing and analysing event data from various security devices and enterprise applications such as MDR, EDR and XDR technologies Qualifications:Tertiary degree in computer science or 3+ years in a related IT field.Any of the following qualifications are highly regarded:Security vendor certifications – Rapid 7, Splunk, Chronicle, Crowdstrike, SentinelCompTIA Security+Any other relevant information/cyber security certifications.  "
5,Cyber Security Analyst,https://www.seek.com.au/job/57447383?type=standard,Randstad Technologies,"Leading Utilities organisation is currently seeking a Security Analyst to join their growing team for a permanent role. This is a diverse role that will look at all aspects of security, including security monitoring / assessments and ensuring security compliance  You will also be required to perform the following:  This position will be responsible for the following key tasks* Performing a range of systems security related activities including proactive monitoring, reactive support, and documentation of security incidents to support the IT Team and ensure configuration management standards are applied* Monitoring the approach and compliance of security administration processes and security access through assessing metrics and data to identify unauthorised activity and prevent breaches occurring* Generating reports for IT administrators and business managers to evaluate the efficacy of the security policies in place and support continuous improvement security initiatives* Conducting security assessments through vulnerability testing and risk analysis to minimise the risk of security breaches* Analysing security breaches and other security related incidents to identify root causes and ensure systems changes are identified and assessed while escalating potential breaches to the IT Risk & Compliance Manager Maintaining and updating Internal Cybersecurity systems such as reporting platforms, firewalls and other associated systems - and documentation and polices required * Work with internal and external key stake holders to ensure compliance is maintained with cybersecurity policies* Create, distribute, and manage user awareness training programmes linked to cybersecurity.* Provide input into the risk management programme ensuring that Information technology systems Disaster Recovery plans include elements linked to cybersecurity.* Assume responsibility for the security of critical business systems, networks, and data, and ensures that all security policies and processes are complied with.* Develop and implement security standards, processes and procedures, and guidelines for the enterprise* Ensure and monitor security compliance with industry and government rules and regulations* Coordinate with technology and business groups to assess, implement, and monitor IT-related security risks/hazards* Ensures security compliance and meets all service level agreement requirements* Create an information security awareness program to ensure staff members across the organisation can identify and understand Cybersecurity risks To be successful in this position you will be an experienced Security Analyst who has solid experience in conducting security assessments, monitoring and troubleshooting security issues, and have an awareness of security governance and compliances. Excellent communication and stakeholder engagement skills are a must Apply Now by using the link or email leonie.woodfine@randstad.com.au At Randstad, we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. We actively encourage applications from any background."
6,Cyber Security Analyst,https://www.seek.com.au/job/57488171?type=standout,Digital61,"About Us:Digital61 provides delivery excellence for our customers. As such, we are looking for team members who are committed to quality, are outcome focused, are naturally inquisitive and have a growth mindset.  Our company is committed to helping you broaden your skills and achieving industry certifications in your chosen technical specialty.The Role:The Cyber Security Analyst is responsible for monitoring customer SIEM incidents and alerts, as well as managing and performing minor configuration of security monitoring tools. They prioritise alerts or issues and perform initial triage to confirm a real security incident is taking place.   Essential Skills  Experience with SIEM products as a user or administrator. Experience in Security Incident Handling and Response. Knowledge of network architecture concepts including topology, protocols, components, and principles. Experience in contributing to SIEM use cases and/or rules. Understanding of the requirements of network security monitoring. Must possess strong verbal and written communication skills. Understanding of Windows and Unix/Linux logging. Familiarity with the MITRE ATT&CK Framework. Essential Qualifications:Diploma/Certificate/Degree in Information Technology (Security preferred) ORRelevant industry certifications Related Experience: Experience working as a security analyst or working in a cyber security operations centre Experience working with standard operating systems (Windows, Unix) Hands-on experience with one or more SIEM systems (ArcSight, Splunk, Sentinel, Qradar, Sumologic etc.) and Security Orchestration, Automation, and Response (SOAR) technologies. Understanding of TCP/IP and networking concepts (OSI Model) Knowledge of IT security controls (Network IPS, Vulnerability Scanning, Endpoint Protection, Firewalls, Cloud Access Security Brokers) Azure Cloud services Some of the areas you can expect to be accountable for include but are not limited to:Monitor client networks and endpoints for security alerts relating to compromise or intrusion.Threat hunting to proactively search for malicious activities, combining known attacker intelligence, indicators of compromise and advanced analytics. Undertake cloud security health and vulnerability assessments.Handling incidents as per defined service level metrics.Triage and provide initial investigation into security alerts from the SIEM platforms.Conducting processes/procedures in accordance with runbooks for security alerts. Contribute to quality assurance on all use case outputs including rule viability and supporting documentation. As our clients are primarily government, you will need to be an Australian Citizen who holds an minimum Baseline security clearance or the ability to obtain. This role will be based in Canberra. Digital61 welcomes applicants from all backgrounds. We support diverse perspectives and innovative thinking which is critical to our success. We support flexible working arrangements to accommodate for individual circumstances.Due to the high volume of applications expected, only those who reach the next stage of the process will be contacted. If you would like specific feedback on why your application didn’t make it past the initial review process, please send us an email.Digital61 does not accept or appreciate unsolicited calls or applications from recruitment agencies. "
7,Junior Security Analyst,https://www.seek.com.au/job/57457835?type=standout,Transgrid,"Company description:Transgrid operates and manages the major high voltage electricity transmission network in NSW and the ACT, connecting generators, distributors and major end users. Our core role is to connect electricity consumers to a safe, secure and reliable network through efficient maintenance, proficient operation of assets and prudent investment. Our network is the backbone of the NEM, enabling energy trading between Australia's three largest states along the east coast and supporting the competitive wholesale electricity marketJob description: Great opportunity for career development and growth Corporate Services/Information Security/Cyber Security Based in Sydney - Eastern Creek      The Opportunity   This is an exciting opportunity for Junior Security Analyst to join the Cyber Security Assurance team in Sydney - Eastern Creek.  Reporting to the Cyber Assurance Manager this position will be responsible for the assurance of security systems designed to maintain Transgrid's security profile both on the Internet and internally. The person applying for this role will have a focus on the maintenance and establishment of the security assurance practice within Transgrid, a keen interest in the use of security tools, their application and a willingness to learn from existing team members.   We are after someone who will assist Transgrid in taking our Cyber Security implementation to the next level.      As the Junior Security Analyst you will:    Assist in the development and application of security controls and realising the control benefits Assist in the development and maintaining of documentation supporting the security practice Respond to security related requests and incidents on a daily basis Respond to client queries in regards to the application of security policies and procedure within Transgrid Monitor the security systems for security events Participate in the conducting of Security and Risk Assessments as required Perform and respond with the other team members to security audits Analyse Security breaches to Root cause, identify gaps or the need for additional controls Participate in lessons learnt exercise on security issues Work with our business partners to ensure a consistent approach to the operation and maintenance of secure architectures. Operationalise security tools through the maintenance of procedural documentation, monitoring of alerting mechanisms and participation in impact assessments        Skills & Experience   What we expect from you:    Tertiary qualifications at degree level in an appropriate discipline, or equivalent industry relevant experience Good exposure to the handling of security related incidents to root cause A minimum of 1 year in a security related role Good interpersonal skills with the ability to explain security concepts to system users and stakeholders Effective verbal and written communication skills A willingness to take on low level tasks with enthusiasm and due diligence Demonstrated ability in the production of documentation using accepted standards and notations Demonstrated background in the technical aspect of managing security tools including firewalls, vulnerability scanners, a/v products and security logging tools. Appropriate current or recent qualifications from SANS, ISACA, ITIL and Vendor certifications Understanding of the principles underlying the operation of an ISMS and good knowledge of ISO27000 practices and controls. Understanding of Risk management practices with the ability to participate in Risk assessments and maintain Risk registers Preferably awareness of SABSA, ISO31000 Risk Management and related Risk frameworks Must have existing Permeant Residency or  Australian Citizenship      Recognition & Reward   Some of our benefits include:  14 weeks Parental Leave (includes adoption) 2 weeks Other Parent Leave Structured leadership and development programs Hybrid working environment and flexible work arrangements available Annual picnic day (additional day off) Health and Wellbeing Programs Salary sacrifice and novated leasing options  Access to sports and social clubs    In return for your hard work, we have numerous other benefits and initiatives to support you personally and professionally including but not limited to private health insurance discount, motor vehicle lease plan, career development support, study assistance program and workplace flexibility.   To view our Privacy Statement and how we handle personal and sensitive information click here.   Applications close on Wednesday, 6th July 2022    Our vacancy close dates may be subject to change, we will assess applications as they are received and interviewing may commence earlier than closing date. We do not accept agency introductions as Transgrid operates a direct sourcing model. "
8,Cyber Security Analyst (CSA),https://www.seek.com.au/job/57488091?type=standout,WSP Australia Pty Limited,"The Opportunity: The Cyber Security Analyst (CSA) is responsible for assisting with the day-to-day operations of securing WSP’s various information systems. Reporting to the Information Security Manager, the CSA is tasked with providing technical expertise in all areas of network, system, and application security. The CSA will be part of the Information Security and Compliance group and will be responsible for assisting with the governance and compliance of WSP’s IT information security and related activities, ensuring that high levels of information security controls, risk analysis and mitigation are implemented and maintained.  Proactively monitor the environment to detect and implement steps to mitigate cyber-attacks before they occurProvides technical expertise regarding security-related concepts to operational teams within the Information Technology Department and the businessReview, investigate, and respond to real-time alerts within the environmentReview real-time and historical reports for security and/or compliance violationMonitor online security-related resources for new and emerging cyber threatsAssesses new security technologies to determine potential value for the enterpriseAssist with PEN testing and vulnerability assessments of WSP’s systems and networksManage systems owned by the Information Security TeamYour new colleagues:We promote a highly connected team culture and positive working environment. We strive to be a diverse, supportive team aiming to be the best we can be, by encouraging you to bring your whole self to work. We welcome to the table all perspectives, strengths, skills, creeds, and genders because we know that diverse ideas breed extraordinary results. Your new colleagues understand the need for on-the-job training, mentoring and leadership to help bring out the best in you.  What we’ll love about you: 3 to 5 year’s of experience in a security analyst or related positionTechnical knowledge of enterprise-class technologies such as firewalls, proxies, routers, switches, wireless access points, VPNs, SIEM, Anti-virus Software, IPS/IDS and desktop and server operating systemsThorough understanding of Microsoft’s enterprise technology platform, including Azure, Active Directory, SQL, Office365, and the Windows server and desktop operating systemsWorking experience with the following technology vendors and products: ServiceNow, Tenable I.O Vulnerability Scanner, Intune, Zscaler and DefenderStrong writing skills, as well as the ability to articulate security-related concepts to a broad range of technical and non-technical staffWorking experience with creating, implementing, and managing a threat hunting program within a corporate environmentDemonstrated experience implementing and/or enforcing security and compliance frameworks such as ISO27001Be a proficient problem-solver that is able to work autonomouslyWhat you'll love about us:At WSP we provide a diverse and inclusive work environment and offer many personal and professional development opportunities that are aimed to help you deliver your best self to the role whilst managing your personal life in balance. We have been recognised for the second consecutive year as a Great Place to Work® with year-on-year increases in employee engagement.Some of the many benefits we offer our employees include: Flexible working hours and working from homeGlobal mobilityParental leave & purchased additional annual leaveCorporate employee discounts and offersSalary continuance insuranceWellness at work & social clubWorkplace giving /volunteeringEmployee reward & recognition programProfessional and technical development opportunitiesAbout us:   WSP is one of the world's leading engineering professional services consulting firms, bringing together approximately 4,300 talented people across 14 offices in Australia. We are technical experts who design and provide strategic advice on sustainable solutions, and future ready [link removed] engineering projects that will help societies grow for lifetimes to come. wsp.com/au   WSP supports a diverse and inclusive work environment as well as equal employment opportunities. We encourage Aboriginal and Torres Strait Islanders and people of culturally diverse backgrounds to apply.Please note we will not be engaging the services of recruitment agencies for this role."
9,Cyber Security Testing Analyst,https://www.seek.com.au/job/57478268?type=standout,Bank of Queensland,"About the Role
An exciting opportunity to join BOQ Group (which includes Bank of Queensland, ME Bank and Virgin Money Australia) has arrived! As a Cyber Security Testing Analyst, you will be joining BOQ Group during our transformation journey to become the digital bank of the future. This permanent role will enable you to add significant value to our organisation by maintaining and improving detection and response to vulnerabilities, where you will further be able to make a difference with integrity and empathy. With exciting projects currently underway, you will be a key contributor to unique business development and change across BOQ Group.
You will join a high performing team maintaining and continuously improving BOQ Group’s capability in detecting and responding to cyber vulnerabilities in a timely manner. Working with a diverse range of stakeholders to identify and solve security problems, you will actively review and define requirements for information security solutions.
This role is heavily centred around vulnerabilities, where you will assist in the analysis and remediation of findings discovered during scheduled internal and third-party vulnerability scans and penetration tests. This includes participating in vulnerability management groups providing in depth knowledge of emerging/trending threats. Furthermore, you will have the opportunity to work on improvements for security services, including the continuous enhancement of existing methodology material and supporting assets
This is a challenging and exciting role with a wide range of technical development opportunities and a variety of training to assist in your career development. BOQ Group has invested heavily in cutting-edge security tools to respond to the dynamic global threat landscape and support our business' long-term objectives. This includes Primary Qualys and many other cloud-native technologies.
About you
As a collaborative Cyber Security Testing Analyst, you must be able to work as part of a team and under limited supervision, inhibiting a can-do attitude, good communication and the drive to learn within our supportive environment. 
You will have sound experience in working with cyber vulnerabilities, such as how to assess and analyse them, further understanding the methodology and framework. Experience in pen testing also required where you will preferably have a CompTIA certification.

About Us
BOQ is one of Australia’s leading regional banks and provides a genuine alternative for Australian financial services customers and employees. Our purpose is to create prosperity for our customers, shareholders and people through empathy, integrity and by making a difference. Our ambition is to be known as the bold challenger bank; with multi-brands that are digitally enabled with a personal touch.
BOQ is passionate about providing opportunities for you to develop your career as we continuously adapt and deliver in a transformational and collaborative environment with a strong focus on community.
BOQ’s Inclusion vision is to foster a workspace that values and leverages difference and creates new possibilities, a place where our people feel confident to bring their best selves to work every day. We embrace difference and believe that our workforce should reflect the customers and communities that we serve.
In 2021 BOQ Group was awarded a Workplace Gender Equality Agency (WGEA) Employer of Choice for Gender Equality citation.
Our Benefits
• Flexible working arrangements
• Discounted financial products
• Salary sacrificing options
• Paid parental leave with no minimum
• Paid volunteer days
• Purchase annual leave
• BUPA Corporate Plan
• Employee Assistance Program (EAP)
• A ‘zero tolerance’ to Domestic and Family Violence (DFV) with active support for employees experiencing DFV
• Accessible work support through various practices, systems, office adjustments
• Gym, shopping, technology and travel offers
• 5 employee diversity network groups focusing on; First Nations Reconciliation Council, EPIC (LGBTIQA+), Multicultural, Gender and Early Career.
How to Apply
To apply for this role please follow the links or apply via our Careers Page.
The Bank of Queensland is committed to diversity and an inclusive workforce. Aboriginal and Torres Strait Islander People are encouraged to apply.
If you are successful for a role with the Bank of Queensland, it is a condition of employment that background screening is completed to ensure that the Bank complies with its obligations under the Anti-Money Laundering and Counter Terrorism Financing Act. These checks may include, but are not limited to: identity, verification, reference checks, criminal background checks, immigration checks, verification of academic qualifications, bankruptcy checks.
"
