,Name,Link,Advertiser,Description
0,Cybersecurity Consultant,https://www.dice.com/jobs/detail/85c5f27d1399974553666c3f24908e0e?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520consultant%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=e492f683-b3af-4ea5-ab39-484e5493d47b,Apex Systems,"
			Apex Systems is a world class technology services business that incorporates industry insights and experience to deliver solutions that fulfill our clients' digital visions.\ \ \ \ Apex has an opportunity for a Remote Cybersecurity Consultant. Here are the details: \ \ \ \ Position: Cybersecurity Consultant\ \ Location: Remote\ \ Rate: Negotiable based on experience \ \ Duration: 6 Months + extension\ \ \ \ Position Description:\ \ \ \ \ \ Our client is currently seeking a Cybersecurity Consultant to join their growing team. As a Consultant you will be a member of our internally facing, corporate Cybersecurity Consulting organization with responsibility for contributing significant security experience and technical skillset across a variety of projects and engagements. As a consultant you will be considered a security and technical expert and will assist in the development and communication of authoritative security-focused policies, standards, guidelines and control requirements. This role interacts with all levels of the organization, particularly within the organization.\ \ \ \ Years of Experience - At least 10+ Years of Security/Cybersecurity experience\ \ \ \ \ \ Day-to-Day Responsibilities \ \ \ \ \ \ \ Participate as a Security Consultant on various projects & initiatives across Dell providing security guidance & direction while ensuring adherence to Dell's security policies & standards\ \ \ Define security requirements while engaging directly with stakeholders within the organization's various Business Units and the Information Technology organizations to ensure products, services and solutions are designed to adhere to those requirements across various environments\ \ \ Consult with internal, technical and business teams to provide security guidance and/or solutions to minimize security risks and guide internal customers in the development and implementation of security controls for their environments\ \ \ Assist with the development, maintenance and communication of security policies and procedures as a subject-matter or domain expert\ \ \ Investigate complex, and sometimes historic practices/solutions to determine gaps and needed improvements and facilitate migration to a preferred state\ \ \ Develop and maintain comprehensive documentation of engagements performed and risks and/or issues identified\ \ \ \ \ \ Requirements\ \ \ \ \ \ \ 10+ years of experience in areas information security/cybersecurity with foundational knowledge of general application, cloud and network security concepts\ \ \ Strong knowledge and understanding of information security practices and policies, including Information security frameworks, standards, and best practices\ \ \ Experience with Threat Modelling\ \ \ Foundational knowledge of risk management principles including identifying risks and solutions/remediation for minimizing\ \ \ Ability to communicate complex and technical issues to diverse audiences, orally and in writing, in an easily understood, authoritative and actionable manner\ \ \ \ \ \ Desirable Requirements \ \ \ \ \ \ \ Knowledge of audit standards, as well as knowledge of regulatory requirements and frameworks such as NIST 800-53, NIST Cyber, ISO 27001, ISO 27002, EU GDPR, PCI and Cyber Essentials framework\ \ \ Bachelor's degree in Computer Science, Information Systems, or a related field\ \ \ Information Security Certification(s) - e.g., CISSP, CISM, or CCSP\ \ \ \ \ \ Additional Benefits:\ \ \ \ For this opportunity, you will also be eligible for benefits through Apex for the contract period, 401K, medical/health benefits options, a W2 hourly rate, weekly pay, and direct deposit!\ \ \ \  \ \ \ \ Apex is an Equal Employment Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at  or .\ \ \ \  \ \ \ \  \ \ \ \  \ \ \ \  \ \ \ \ \ \ \ \  \ \ \ \  \ \ \ \  \ \ \ \ EEO Employer\ \ \ \ Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at  or .
		"
1,Senior Cybersecurity Consultant,https://www.dice.com/jobs/detail/4118d693e71436f6eb2e5b052213ac04?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520consultant%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=e492f683-b3af-4ea5-ab39-484e5493d47b,Go2Group Inc.,"
**Targeting Chicago, IL local candidates ideally. Role will be 100% remote for the foreseeable future. No C2C and sponsorship - only seeking candidates able to work full-time on , etc. please** Wouldn't you like to work for a rapidly growing, award-winning, successful technology consulting firm? A company with nearly 40% growth year-over-year, consistently ranked one of the best companies to work for in numerous cities nationwide, and a pioneering outlook on consulting. Think you're ready to take your career to the next level? If so, please apply! Key Note: Candidates must be located in and/or near the following cities: Chicago, Dallas, Los Angeles, Minneapolis, New York, San Francisco, Seattle, or Washington D.C/Virginia. We are looking to hire a Senior Consultant and/or Manager to join our Technology – Cybersecurity Practice and provide critical advisory, due diligence, and/or risk/compliance solutions for our clients. As a primary focus, the Sr. consultant will deliver our Cybersecurity Advisory for Private Equity (CAPE) offering, a package of services/assets that identifies and remediates cybersecurity/IT gaps across a PE firm’s entire portfolio of companies. The consultant will often collaborate within a cross-functional team of 3-8+ consultants, working to provide ongoing resiliency and maturity assessments, guidance, and recommendations tailored for each industry client or portfolio company’s key cybersecurity risks. This is a rewarding opportunity to join a high-growth, employee-owned firm and play a pivotal role in assessing and improving the security posture of enterprise environments across a variety of industries. Responsibilities:Provide strategic cybersecurity advisory, tech due diligence, risk assessment, and compliance consulting services for enterprise clients, ranging from policy definition to implementation and adoptionActively deliver our Cybersecurity Advisory for Private Equity offering – to provide ongoing visibility into cybersecurity practices and risks across a private equity firm’s portfolioImplement policies and best practices that allow PE firms and portfolio companies to understand, identify, and withstand critical attack vectorsConduct gap analysis and due diligence on security controls and technologies, implementing compliance and privacy framework, industry standards, and best practices to address shortcomingsPerform assessments and audits, identify risks, highlight vulnerabilities, and determine a client’s ability to protect against attacks, detect active threats, and respond/recover from incidentsUtilize our homegrown proprietary software, along with other common tools to threat hunt for indicators of compromise (IoC) and provide visibility into past and current incidentsManage client relationships and meet with key stakeholders to determine business/functional requirementsPromote thought leadership in emerging cybersecurity technologies and best practices through activities like blogs, white papers, attending industry events, Center of Excellence contributions, etc. Qualifications:Bachelor’s degree in relevant field preferred, or equivalent experience requiredConsulting firm/industry experience preferred3-6+ years of professional IT experience focused on cybersecurityExperience working with cybersecurity compliance (PCI, HIPAA) or privacy (GDPR, CCPA) frameworks and/or performing risk assessment work (NIST, due diligence, IT auditing) to align with best practicesPreference for technical background in common cybersecurity competencies, such as SIEM, IAM, IDS/IPS, DLP, incident response, threat hunting, Microsoft 365 security, Azure/AWS cloud security, SOAR, etc.Ability to convey complex cybersecurity concepts to technical and non-technical audiences, including executivesExperience delivering end-to-end solutions – strategy, design, development, testing, training, and implementationUnderstanding of high-level application, database, and network security principles for risk identification, mitigation, and analysisStrong sense of urgency with the ability to deliver solutions in fast-paced, dynamic environmentsExcellent critical thinking, leadership, communication, and project management skillsExperience working within a collaborative, cross-functional, team-based environmentWillingness to travel for out of town client engagements – COVID-19 permitting
"
2,Cybersecurity Consultant,https://www.dice.com/jobs/detail/efb1cda26e799029e54ddf6477d4ec94?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520consultant%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=e492f683-b3af-4ea5-ab39-484e5493d47b,Deloitte,"
			Are you looking to elevate your cyber career? Your technical skills? Your opportunity for growth? Deloitte's Government and Public Services Cyber Practice (GPS Cyber Practice) is the place for you! Our GPS Cyber Practice helps organizations create a cyber minded culture and become stronger, faster, and more innovative. You will become part of a team that advises, implements, and manages solutions across five verticals: Strategy, Defense and Response; Identity; Infrastructure; Data; and Application Security. Our dynamic team offers opportunities to work with cutting-edge cyber security tools and grow both vertically and horizontally at an accelerated rate. Join our cyber team and elevate your career.Work you'll do Implement risk management programs for our federal clients by utilizing NIST, RMF, and FISMA compliance frameworks. Enhance cyber awareness with clients and project teams. Work alongside federal clients to help them mitigate risk with the use of continuous monitoring and incident response. Establish security controls to ensure protection of client systems. Implement cutting edge security tools for our federal clients.  The teamDeloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of more than 15,000 professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise. At Deloitte, we believe cyber is about starting things-not stopping them-and enabling the freedom to create a more secure future. Cyber Strategy, Defense and Response (SDR) focuses on helping federal clients design and implement transformational enterprise security programs with an emphasis on defending against, recovering from, and mitigating major cyberattacks. If you're seeking a career that increases cyber awareness, utilizes risk management programs, and develops strategies for cyber defense and response, then the Cyber SDR offering at Deloitte is for you.Qualifications Required:  Bachelor's degree required Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future Must be able to obtain and maintain the required clearance for this role  Ability to travel 0-25%, on average, based on the work you do and the clients and industries/sectors you serve Experience working with RMF and NIST 800-53Experience implementing RMF framework and infrastructureExperience handling security control assessmentsExperience in continuous monitoring Experience working with cyber security tools Experience with cyber awareness (e.g., phishing emails, cyber trainings) Preferred: Prior professional services or federal consulting experience Certifications (e.g., CompTIA Security+, CEH, CISSP) 
"
3,Cybersecurity Consultant,https://www.dice.com/jobs/detail/6466a9e8a724575cee1e5f8b33a0cc57?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520consultant%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=e492f683-b3af-4ea5-ab39-484e5493d47b,Deloitte,"
			Are you looking to elevate your cyber career? Your technical skills? Your opportunity for growth? Deloitte's Government and Public Services Cyber Practice (GPS Cyber Practice) is the place for you! Our GPS Cyber Practice helps organizations create a cyber minded culture and become stronger, faster, and more innovative. You will become part of a team that advises, implements, and manages solutions across five verticals: Strategy, Defense and Response; Identity; Infrastructure; Data; and Application Security. Our dynamic team offers opportunities to work with cutting-edge cyber security tools and grow both vertically and horizontally at an accelerated rate. Join our cyber team and elevate your career. Work you'll do   Support clients with data protection, IoT, and overarching cloud capabilities.   Implement core and cloud infrastructure security to manage risks and exposure.   Perform cyber reconnaissance to illuminate a potential attack surface area.   Provide threat and vulnerability management to federal clients and teams.   Analyze tactical network architectures and topologies to assess security risks.   The team Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of more than 15,000 professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promiseAt Deloitte, we believe cyber is about starting things-not stopping them-and enabling the freedom to create a more secure future. Cyber Infrastructure is focused on rethinking how security is integrated across modernized infrastructure as cyber threats become more complex. If you're seeking a career implementing, architecting, and-in select cases-handling next generation controls to manage security risks and exposure, then the Cyber Infrastructure team at Deloitte is for you.Qualifications  Required:   Bachelor's degree required   Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future   Must be able to obtain and maintain the required clearance for this role   Ability to travel 0-25%, on average, based on the work you do and the clients and industries/sectors you serve   Experience using cyber reconnaissance to support a federal client   Experience working with cloud infrastructure   Experience utilizing software asset management   Preferred:  Prior professional services or federal consulting experience   Previous Security Operations Center experience   Experience in mobile and endpoint security   Certifications (e.g., CompTIA Security+, CEH, CISSP)  Experience working with Security Cloud Architects, Azure, AWS, CyberArk, Platform As A Service (PAAS), Network security Management; Fore Scout, Tanium, Tenable  Experience in Full Stack and/or Backend Developing  Experience in Application Security  Experience testing  Experience in DevOps  Experience with IBM DataPower 
"
4,Cyber Security Consultant,https://www.dice.com/jobs/detail/efd7c4113bfa293dcd8073b6fe42aa03?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520consultant%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=e492f683-b3af-4ea5-ab39-484e5493d47b,Kforce Technology Staffing,"
			RESPONSIBILITIES:Kforce has a client that is seeking a full-time Cybersecurity Engineer to remotely support our enterprise technology client based in Austin, TX. Responsibilities:* In this role, the Cyber Security Consultant will provide technical leadership and defines best practices for cloud-based system and application security during the design and implementation * Design and develop security architectures for cloud and cloud/hybrid-based systems * Oversee the design, implementation, and administration of one or more security solutions (e.g., Data Loss Prevention, Cloud Access Security Brokers (CASB), Azure Information Protection, Hardware Security Modules, McAfee MVISION, Multifactor Authentication, Conditional Access, Single Sign On/Federation, Web Application Security, MCAS, Right Management Services and Azure Information Protection, mail transfer (Exchange, M365) etc.) * Work with a great deal of independence, and proactively identify complex problems and implement solutions to those problems * The Cyber Security Consultant will assist with the planning and scoping of Cybersecurity Engineering, Operations, and Identity & Access Management engagements * Be a member of a highly motivated team, driven to innovate and deliver capabilities in an agile fashion * Support user life cycle processes including, but not limited to, on-boarding and off-boarding of all types of user accounts * The Cyber Security Consultant will support IAM Password Management processes and processing of system access requestsREQUIREMENTS:* Bachelor's degree in Computer Science, Management of Information Systems, Cybersecurity, Information Assurance, or a related field; or equivalent experience * Industry-standard cybersecurity certification from ISC(2), SANS, or similar* 12+ years of information security experience; 4+ years in Identity and Access Management or similar roles * Strong knowledge and understanding of Federal compliance requirements, including DFARS ITAR, NIST 800-171, and CMMC Level 3 * Strong knowledge and understanding of information security practices and policies, including information security frameworks, standards, and best practices * Strong knowledge of risk management standards including identifying risks and solutions/remediations for minimizing * Ability to drive highly complex, cybersecurity initiatives * Ability to develop more complex security operations standards and procedures applicable to complex, technical environments * Experience building and architecting on Cloud-based Platforms * Understanding of the entire ecosystem of Endpoint Security including well-rounded understanding of the information security domains and their inter-relations * Proficiency in at least one high level programming language (TypeScript, Java, Python, PowerShell, etc.)* Applicants must be fully authorized to work in the U.S. without sponsorshipKforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
		"
5,Lead Cyber Security Consultant,https://www.dice.com/jobs/detail/616beaea4c893dfefc10406ee863265c?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520consultant%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=e492f683-b3af-4ea5-ab39-484e5493d47b,"BM Associates, Inc.","
Mandatory Qualifications:· Over 5 years of experience managing multiple medium to large complex projects· Demonstrated experience in developing project approach, plans and schedules· Proven track record in leading, organizing, and coordinating multiple work activities simultaneously.· Proven track record in delivery of on-time, on-budget projects with a high degree of user satisfaction and quality.· Proven track record implementing varying principles and techniques of project management, including the ability to develop and track complex project plans, manage risks, manage scope, and manage resources.· Experience in managing project financials (budgeting, forecasting, tracking and reconciliation)· Proven track record of managing complex relationships among customers and stakeholders on projects which has significant executive oversight. · Knowledge of product development principles· Proven track record of building coalitions among various stakeholders· Experienced at establishing and maintaining effective working relationships.· Experienced with the principles of full life cycle systems design, development, and deployment.· Experienced with providing clear goals, responsibilities, and providing measurable performance and feedback.· Excellent analytical capabilities and the ability to breakdown complex ideas into manageable pieces.· Ability to identify and evaluate alternative solutions, costs and benefits· Excellent written and verbal communication skills, with both technical and non-technical audiences, including creating and presenting executive summaries to steering committees and other executive level leadership.· Experience managing technical projects, including conflict resolution, issue escalations, status reporting and resource management.· Excellent oral, written, analytical and communication skills with the ability to lead a technical discussion to both technical and non-technical staff.· Excellent presentation skills for both technical and non-technical audiences, including creating and presenting executive summaries to management and technical committees.· Excellent analytical, verbal and conflict resolution skills· Experienced with MS Office applications including Word, Excel, Project, and Visio. Desirable Qualifications:· Recent experience within government agencies or public bodies with projects of a similar type.· Experience with NIST security framework and standards (NIST 800-53)· Experience as a cyber security subject matter expert· Experience with local, state or Federal IT Projects· Subject domain knowledge/experience/expertise in the following areas:o Cloud services, SaaS, PaaS and IaaS (AWS, Azure and/or GCP)o Application development (n-tier application and client/server system design)o System security policies and procedureso Web-based application deploymento Networking concepts: routing, switching, security, remote access, proxyo Cloud security· Samples of relevant published work are desired such as technical implementation plans, architectural as-built documentation, test plans, scope of work, project summary sheets, high level network diagrams, etc.· Certified project manager (PMP) with agile/scrum training and certification· Certification in CISSP is plus
"
6,Senior Cyber Security Consultant- Compliance (Remote- Anywhere in the U.S.),https://www.dice.com/jobs/detail/1a76fc92295392612563399e2917ef8d?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520consultant%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=e492f683-b3af-4ea5-ab39-484e5493d47b,GuidePoint Security,"
			GuidePoint Security provides trusted cybersecurity expertise, solutions and services that help organizations make better decisions and minimize risk. By taking a three-tiered, holistic approach for evaluating security posture and ecosystems, GuidePoint enables some of the nation's top organizations, such as Fortune 500 companies and U.S. government agencies, to identify threats, optimize resources and integrate best-fit solutions that mitigate risk.Position Duties  Deliver world-class assessment and advisory services across multiple Compliance offerings while ensuring customer satisfaction (25% travel to U.S. locations is required). Work effectively as a team member on large engagements. Remain current on technical knowledge and industry developments and incorporate into service delivery. Achieve and maintain relevant information security and audit certifications. Contribute to practice and offering development. Provide presales support for Compliance opportunities when requested. Publish content and/or perform speaking engagements to demonstrate thought leadership. Demonstrate GuidePoint's Core Values at all times:  Take Charge and Complete Our Mission Challenge Ourselves and Have Fun Doing It Wow Them No Jerks    Minimum Position Requirements  Bachelor's degree in Information Technology, Information Security, or related field. At least three (3) years of operational experience performing hands-on technical implementation of at least one of the following standards:  CIS Controls CMMC GDPR HIPAA HITRUST ISO 27001/27002 NIST SP 800-53 or any derivative (NIST CSF, NIST 800-171, DFARS, etc.) PCI DSS SOC 2   At least five (5) years of consulting experience performing information security consulting services for clients based on at least one of the standards above. At least two (2) of the following standard industry certifications (more are preferred):  CCSP CISA CISM CISSP GIAC GCCC GIAC GSNA HCISPP HITRUST Certified CSF Practitioner ISO 27001 Lead Auditor ISO 27001 Internal Auditor ISO 27001 Lead Implementer PCI QSA   At least one (1) cloud technical certification (more are preferred) from Amazon (AWS), Microsoft (Azure), or Google (Google Cloud Platform [GCP]). Strong written communication skills for preparing customer deliverables and communicating in written form with customers and colleagues. Strong verbal communications skills, including the ability to clearly articulate, educate on, and discuss general and specific information security and compliance topics with customers and colleagues of all technical and knowledge levels and positions, from line staff to top-level executives and directors. Ability to work with, and manage the relationships and expectations, of customers of varying industries, corporate cultures, styles, and expectations. Drive and passion to grow and mature both the Compliance practice and individually.  Additional Desired Qualifications  Experience implementing and/or consulting on U.S. state-level information security and privacy standards. Experience developing and implementing information security policies and processes. Understanding and working knowledge of risk assessment frameworks and methodologies, and quantitative risk analysis. Conference speaking experience.  Why GuidePoint?GuidePoint Security is a rapidly growing, profitable, privately-held value added reseller that focuses exclusively on Information Security. Since its inception in 2011, GuidePoint has grown to over 600 employees, established strategic partnerships with leading security vendors, and serves as a trusted advisor to more than 2,000 clients. Firmly-defined core values drive all aspects of the business, which have been paramount to the company's success and establishment of an enjoyable workplace atmosphere. At GuidePoint, your colleagues are knowledgeable, skilled, and experienced and will seek to collaborate and provide mentorship and guidance at every opportunity.  This is a unique and rare opportunity to grow your career along with one of the fastest growing companies in the nation.Some added perks....  Remote workforce primarily (U.S. based only, some travel may be required for certain positions) 100% employer-paid medical and dental premiums with generous employer family contributions 11 corporate holidays and a Flexible Time Off (FTO) program Healthy mobile phone and home internet allowance Eligibility for retirement plan after 2 months at open enrollment 
"
7,Cybersecurity Consultant,https://www.dice.com/jobs/detail/8bebd4a75008e32a8f443c10a6e50246?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520consultant%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=e492f683-b3af-4ea5-ab39-484e5493d47b,Deloitte,"
			Are you looking to elevate your cyber career? Your technical skills? Your opportunity for growth? Deloitte's Government and Public Services Cyber Practice (GPS Cyber Practice) is the place for you! Our GPS Cyber Practice helps organizations create a cyber minded culture and become stronger, faster, and more innovative. You will become part of a team that advises, implements, and manages solutions across five verticals: Strategy, Defense and Response; Identity; Infrastructure; Data; and Application Security. Our dynamic team offers opportunities to work with cutting-edge cyber security tools and grow both vertically and horizontally at an accelerated rate. Join our cyber team and elevate your career.Work you'll do Implement risk management programs for our federal clients by utilizing NIST, RMF, and FISMA compliance frameworks. Enhance cyber awareness with clients and project teams. Work alongside federal clients to help them mitigate risk with the use of continuous monitoring and incident response. Establish security controls to ensure protection of client systems. Implement cutting edge security tools for our federal clients. The teamDeloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of more than 15,000 professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise. At Deloitte, we believe cyber is about starting things-not stopping them-and enabling the freedom to create a more secure future. Cyber Strategy, Defense and Response (SDR) focuses on helping federal clients design and implement transformational enterprise security programs with an emphasis on defending against, recovering from, and mitigating major cyberattacks. If you're seeking a career that increases cyber awareness, utilizes risk management programs, and develops strategies for cyber defense and response, then the Cyber SDR offering at Deloitte is for you.Qualifications Required: Bachelor's degree required  Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future.Experience working with RMF and NIST 800-53 Experience working with cyber security tools Experience with cyber awareness (e.g., phishing emails, cyber trainings) Prior experience in cybersecurity strategic planning and IT security policy development/implementationAbility to provide leadership and support across all four phases for the exercise planning cycle (i.e., plan, design, conduct, and assess) to include scheduling, facilitating, and executive briefings.Ability to design, develop, execute, and analyze cybersecurity exercise scenarios that test an incident response team proficiency in each phase of an enterprise incident response plan that includes preparation, detection and analysis, containment, eradication, recovery, and post incident activities. Preferred: Prior professional services or federal consulting experience Certifications (e.g., CompTIA Security+, CEH, CISSP)  How you'll growAt Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.
		"
8,Senior ArcSight Cyber Security Consultant - WORK FROM HOME - DC METRO AREA,https://www.dice.com/jobs/detail/4444f5b30c11dcd682cfb4cd1356ad16?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520consultant%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=e492f683-b3af-4ea5-ab39-484e5493d47b,Micro Focus,"
			Senior ArcSight Cyber Security Consultant - WORK FROM HOME - DC METRO AREAJob Description:Senior ArcSight Cyber Security Consultant - WORK FROM HOME - DC METRO AREA Who we are: Micro Focus is one of the world's largest enterprise software providers, delivering the mission-critical software that keeps the digital world running. We combine pragmatism, discipline, and customer-centric innovation to deliver trusted, proven solutions that customers need in order to succeed in today's rapidly evolving marketplace. Join Micro Focus to become part of this innovation-just like the impact we're having as the official technical partner of Jaguar TCS Racing . We provide world-class software and services to support their push for more points, podiums, and wins--both on and off the track in the fast-changing environment of the ABB FIA Formula E World Championship.ArcSight helps protect enterprises and government agencies by providing complete visibility and critical insights into their IT infrastructure across all users, networks, data centers and applications. The market-leading ArcSight platform enables organizations to proactively safeguard their digital assets, control the risks associated with cyber theft, cyber fraud, and cyber warfare and cyber espionage and comply with corporate and regulatory policy.  About the role: In this role, you will be part of a world class elite global team containing leading Cyber Security consultants, thought leaders and strategists. You will work collaboratively with local ArcSight experts to deliver cutting edge services on client engagements. You will be accountable for deploying ArcSight solutions to satisfy client business requirements and assist government agencies to utilise ArcSight to its full potential.This job isn't just about installing software and making it work; it's about delivering the knowledge to our customers so that they can continue to utilize ArcSight long after you leave client site. An important aspect of this role is understanding cyber security operations and how to utilize ArcSight to perform daily cyber security operations tasks.You can expect to receive world-class training that is only available to Micro Focus consultants.Based in the US and working on leading edge Cyber projects in US; US Citizenship is required.The Senior ArcSight Cyber Security Consultant will: Deliver world-class consulting to some of the largest companies in the worldAssist in design enterprise-scale projects for Micro Focus ArcSight solutions and products; provide expert technical consultingTake customers business requirements and problems, and guide them through to delivered cyber security solutionsDevelop reusable innovative solutions that demonstrate a deep technical knowledge of the products, processes, and the customer environmentEducation and Experience: Deep knowledge of ArcSight, other SIEM technology expertise also helpfulSecurity operations experience such as incident management, intrusion detection, firewall deployment, and security event analysisExperience with security device and general IT installations, configuration and troubleshooting (e.g. Firewall, IDS, etc.)Development of Flex Connector parsers and overridesDevelopment of Use Cases and Activate contentExpertise in UNIX, Linux, and Windows - able to tear down and rebuild a host systemProfessional certifications may include CEH, CISSP, CISM SANS GCIAWillingness and ability to travel as needed to customersIf you want to be part of what's next andfind out more about ouravailable opportunities, visit Micro Focus Careers .#DiceSD#LI-SD1#LI-RemoteJob:ServicesMicro Focus is proud to be an Equal Opportunity Employer. Prospective employees will receive consideration without discrimination because of race, colour, religion, creed, gender, national origin, age, disability, marital or veteran status, sexual orientation, genetic information, citizenship or any other legally protected status
"
9,Cyber Security Consultant,https://www.dice.com/jobs/detail/8ed42cc9103f66233373df94b3ac8f54?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520consultant%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=e492f683-b3af-4ea5-ab39-484e5493d47b,"Baanyan Software Services, Inc.","
Job Role:      Cyber Security ConsultantLocation:      Remote 100%Duration:      12+ monthsJob Description:Good understanding of current Key Management technologies.Knowledge of key management concepts, patterns and practices. Strong diagnostic and problem-solving skills Good understanding of current Key Management technologies and their future direction.General knowledge of Cloud Computing concepts and related security concerns.Knowledge of key management concepts, patterns and practices. - Understanding of cryptographic concepts: symmetric/asymmetric cryptography, secure hash, digital signaturesStrong technical writing skills - Strong diagnostic and problem-solving skillsWorking knowledge of security technologies and associated productsCustomer and business focused - Ability to work effectively as part of a team and ensure successful deliveryResponsibilities:The Senior Level Development Engineer should have 6-10 years of experience and is skilled at implementing and maintaining Key Management solutions within the constraints imposed in highly controlled environments.The Development Engineer is expected to have Hardware Security Module design and implementation skills and possess relevant hands on business and technological service and support experience.The Development Engineer is expected to manage software, hardware, and configurations lifecycles under the direction of the Team Leads and Subject Matter Experts in accordance with established design patterns and procedures.The Development Engineer will help design, develop, and implement system architecture, system integrations and system automations and help coordinate all associated testing and change management activities.The Development Engineer is expected to have a good understanding of the technologies and their usage and should recognize the associated benefits and potential pitfalls.The Engineer should be able to specify practical, cost-effective working solutions that get the best out of the technology with the least amount of effort while minimizing long-term hands-on maintenance.A Development Engineer with a background in scripting and software development is a big plus. Engineers should be comfortable:Working along with other technical staff who are also responsible for other aspects of the systems.Participating in agile teams alongside product managers, solution owners, and leads, and other engineers.Contributing to design and architecture elements and able to make security trade-offs as required.Providing Tier 3 technical support and mentoring junior staff on other teams.Taking responsibility for the quality of the work under their control. Additional Desirable Skills:Software Development (.NET) and/or Scripting (PowerShell / Bash) experienceWindows and Linux administration - Large enterprise IT experienceFamiliarity with DevOps, Agile methods, and Continuous Integration/ Continuous DeliveryFamiliarity with Configuration ManagementChange Management experience including Remedy or similar platform like Service NowExperience with an enterprise SSL/TLS certificate management tool.Experience with certificate-enabled applicationsUnderstanding the certificate and encryption lifecycle.Automation experience integrating various types of systems.Experience with implementing and supporting Thales or Entrust/NCipher encryption Hardware Security Modules (HSMs) in a multi-datacenter environment.
"
