,Name,Link,Advertiser,Description
0,Cybersecurity Engineer,https://www.dice.com/jobs/detail/02624c73974372df90f8faf8c572577a?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520engineer%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=7ebc38e7-1d69-4101-aab5-cfc0616c02f2,QED National,"
A NYS agency located in New York, NY is looking for a Cybersecurity Engineer for a 12+ month contract.  Some onsite work is required throughout the life of the contract, and is likely to increase over time. Local candidates only.  To be considered for this position, the client has advised that upon placement, consultants will be required to wear a mask under certain circumstances, show proof of full vaccination or submit on a weekly basis proof of a negative COVID-19 PCR diagnostic test.  Requirements and skills  Minimum Bachelor's degree in IT related fieldMinimum 7-9 years of IT Security experienceIT Security Certifications including CISSP, CEH, CISA are a plus.Extensive experience performing IT Security assessments and provide solutions to remediate vulnerabilities and improve security posture.Strong analytical skills to analyze requirements and relate to the appropriate design and security controls.Excellent technical knowledge of Windows operating systems and IT SecurityTechnologies including network security appliances, firewalls, identity and access management, anti-malware, automated policy compliance and desktop security tools.Knowledge of server & network infrastructure hardware such as routers, firewalls, VPN, SAN and the associated protocols and concepts.Solid foundation in information technology, including the principles and practices of systems analysis, design, administration and the functions of an Enterprise IT Department.Extensive knowledge using Microsoft Office Suite including Teams, PowerPoint & VisioExcellent written, verbal & communication skills is a must.2-4 years' experience: Ability to meet deadlines, Detail oriented and Planning and Organizing skills4-6 years' experience: IT Security Administration6+ years' experience: Information Security, Network Support, Networking, Oral and Written Communication Skills and TroubleshootingThe candidate must currently live in the New York Metropolitan Area and work onsite in lower Manhattan.Responsibilities  The agency IT Security Department is seeking an IT Professional with experience assessing and mitigating Cybersecurity risks in large agencies or corporations.The consultant shall identify and mitigate risks for applications, networks and systems within IT and OT. Identify gaps by evaluating business operations, documentation, drawings and accessing the system.Conduct system security and vulnerability analyses and tests; assess architecture and provide recommendations and guidance in presentation formats to Senior Management.About us: QED National is a leading IT consulting, solutions and staff augmentation firm, serving both the public and private sectors for over 28 years. Headquartered in midtown Manhattan, QED National's team is comprised of the brightest minds in the industry with the skills to solve the most complex technological problems.  
"
1,Senior Cybersecurity Engineer,https://www.dice.com/jobs/detail/50be68a842cabf1a4eae7dbb75fe64af?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520engineer%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=7ebc38e7-1d69-4101-aab5-cfc0616c02f2,Michael Page International,"
As the Senior Cybersecurity Engineer, you will drive the efficient design implementation, solution selection and operations within the technical environment. You will also identify, evaluate, and mitigate threats and vulnerabilities.Client DetailsThe client is one of the largest media and entertainment firms in the world, and is dedicated to creating an inclusive and collaborative work environment.DescriptionSupport and engineer full life cycle security solutionsAdvise management on security enhancementsDevelop security controls for agile deploymentsSupport and sustain Incident Response ProcessesProvide strategic planning for security best practices and cost managementProfileYou have 5+ years of cybersecurity experienceYou have 3+ years of experience working in high traffic and public facing environmentsYou have high level hands-on security engineering experienceYou have experience with vulnerability management and mitigationYou are able to work in-person in ManhattanJob OfferBase Salary ranging from $165,000-$175,00010% Annual BonusUnlimited PTOCompetitive Insurance and BenefitsInclusive and collaborative work environmentClick Apply to have your resume consideredMPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.
"
2,Cybersecurity Engineer,https://www.dice.com/jobs/detail/b7cebae475316875971ff69126e10afe?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520engineer%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=7ebc38e7-1d69-4101-aab5-cfc0616c02f2,"Zachary Piper Solutions, LLC","
			Zachary Piper Solutions is seeking a Cybersecurity Engineer to join a long-term DoD project located in Cary, NC through hybrid work. The Cybersecurity Engineer will provide security support for one of our nation's largest defense entities. Responsibilities of the Cybersecurity Engineer include:  •   Complete proactive searches throughout the network to detect host and network-based intrusions, and isolate them •   Analyze security controls to ensure that compliance requirements are met •   Interact with government customers and personnel to deliver timely and effective services •   Assess and design solutions for resolving network vulnerabilities Qualifications for the Cybersecurity Engineer include:  •   2-5+ years of experience in a cybersecurity or related fields, such as a SIEM, security operations center (SOC), or incident response team •   Experience utilizing the following is preferred: Tanium Software, ArcSight, ACASS, EMASS, FORESCOUT, or Palo-Alto •   Preferred: experience working with Army endpoint Security Solutions (AESS) or Host Based Security System (HBSS) •   Security+, CCNA, or CEH required  •   Must hold Active Secret Clearance Compensation for the Cybersecurity Engineer include:  •   Salary Range: $85,000 - $95,000 **depending on experience**  • Full Benefits: Cigna Medical/Dental/Vision, 401k with match via ADP Retirement, Holidays, Paid Time Off (PTO), etc. Keywords:  federal, government, intelligence, defense, security, clearance, technical, remote, hybrid, remotely, work from home, wfh, contract, dod, department of defense, it, information technology, ccna, cisco certified network associate, ccna-security, ccna security, cary, nc, north Carolina, fort bragg, ft bragg, bragg, ft. bragg, Fayetteville, military, army, veteran, reserve, reserves, navy, air force, air-force, coast guard, usaf, uscg, usm, usn, marine, marines, marine corp, marine corps, usmc, government, defense, department of, remote, hybrid, remotely, work from home, wfh, contract, secret clearance, secret, clearance, technical, sec+, sec +, security +, security+, sec plus, security plus, benefits, soc, security operations center, security, operations, center, palo alto, paloalto, cisco, cisco asa, bluecoat, ceh, certified ethical hacker, payload, analysis, payload analysis, health/alert monitoring, hm/am, hm am, health monitoring, alert monitoring, health, alert, siem, security information and event management, cisco ise, ise, fire power, firepower, forescout, fore scout, event, packet capture, packet, capture, pcap, p cap, cybersecurity, cyber, cyber security, engineer, intrusion, intrusions, compliance, vulnerability, vulnerabilities, incident response, incident, incidents, Tanium, acass, emass, aess, hbss, army endpoint security solutions, host based security systems
		"
3,Cybersecurity Engineer,https://www.dice.com/jobs/detail/e288397e2c45b1e10f4b070394876fd9?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520engineer%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=7ebc38e7-1d69-4101-aab5-cfc0616c02f2,Yoh - A Day & Zimmerman Company,"
			Cyber Security Engineer Direct Hire Downtown Dallas, TX (Hybrid) Vaccine is required.  The Cyber Security Engineer will analyze, assess, plan, and deploy security measures to help protect the organization from security breaches and attacks to its data, computer networks, personnel, and systems. You will work closely with other cyber team members to reduce our overall attack surface by employing the appropriate technologies and processes to prevent, detect and manage cyber threats. The Cybersecurity Engineer will identify, monitor, assess, and counter the threats posed by cyber actors against our information systems. You will provide strategic assessment, tactical analysis, and recommendations for risk reduction operations, including 3rd party vendors utilized by the organization. This role will be a technical escalation resource for the analysts within the cyber team to provide additional support and guidance on troubleshooting and analysis of potential security incidents. As a senior member of the cyber team, you will assist in the mentoring and growth of the junior team members to help build their overall security knowledge and skills.Ensure a world-class cyber defense program by working closely with other technical, incident management, legal, compliance, and cyber personnel to develop a deeper understanding of the intent, objectives, and activity of cyber threat actors Implement cybersecurity processes and procedures to ensure cybersecurity threats are mitigated Participate as a core member of the incident response team Appropriately inform and advise management on incidents and incident prevention Develop policies and/or advocates for changes in policy that support organizational cyberspace initiatives or required changes/enhancements Document processes related to cybersecurity Perform risk assessments to identify risk, recommend and implement risk reduction measures Provide leadership, training, and mentoring to junior team members Work collaboratively with cyber, technical teams, and business functions Lead implementation efforts for various security technology improvements and initiatives Static and dynamic threat analysis Applies knowledge of data, information, processes, organizational interactions, skills, and analytical expertise, as well as systems, networks, and information exchange capabilities to manage acquisition programs Lead and maintain data governance, data protection, and data lifecycle Executes duties governing hardware, software, and information system acquisition programs and other program management policies  Requirements: Bachelor of Science in Computer Science, System/Computer Engineering, Cyber-Security, or Information Security is preferred. Five (5) years of cyber work experience may be substituted in lieu of a Bachelor's Degree. 5+ Years of Information Security/Cyber Security experience within enterprise-level organizations. Excellent organizational, communication, and interpersonal skills Customer service and quality-focused with proven process improvement skills Strong understanding of cyber threat landscape, vulnerability management, and NIST CSF Innovative problem solving, research, and analytical skills Ability to multi-task and prioritize work effectively Strong understanding of data security, data classification, and data loss prevention Highly motivated self-starter Strong sense of ownership and driven to manage tasks to completion Related certifications: Security+, Network+, CEH, CISM, or CISSP a plus  #CB-SPG #Mon-SPG #Dice-SPG #IND-SPGYoh, a Day & Zimmermann company, is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. Visit  https://www.yoh.com/applicants-with-disabilities to contact us if you are an individual with a disability and require accommodation in the application process.
		"
4,Cybersecurity Engineer,https://www.dice.com/jobs/detail/2ea3d0807e747e0cecb75f4dc266bb4a?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520engineer%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=7ebc38e7-1d69-4101-aab5-cfc0616c02f2,"Zachary Piper Solutions, LLC","
Zachary Piper Solutions  is currently seeking an Cybersecurity Engineersupporting the Army Reserve National Guard in Cary, NC.Responsibilities for the Cybersecurity Engineer include:The role will support proactive and iterative searches through the network to detect and isolate advance threat(s) Will use available tools to support cyber threat hunts using both automated and manual tools and techniques to identify a compromise before it is detectedInterface with government customers/personnel to deliver timely and effective services.Management oversight of service functions supporting Army National Guard and ensures that new or changed IT services and their supporting infrastructure are adequately approved, validated, and accepted by the government for successful delivery and operationsQualifications for the Cybersecurity Engineer include:5+ years of experience in Cybersecurity and related fieldsExperience using the following is highly preferred: Tanium Software, Arc Sight, HBSS, ACASS, EMASS, FORESCOUT, or Palo-AltoExperience using AESS (Army Endpoint Security Solutions) formerly HBSS (Host Based Security System) is strongly preferredMust have an active Secret ClearanceDoD 8570 CSSP Analyst1 Certification with Certified Ethical Hacker (CEH), Cisco Certified Network Associate Security (CCNA Security), or Cisco Certified Cyber Ops Associate (CCNA Cyber Ops) certification, at minimum.Compensation for the Sr. Cybersecurity Engineer include:$85,000 - $95,000/Yr. based on experience (also have openings include Jr., Mid and Sr.) Full Benefits: Cigna Healthcare, Guardian Dental, VSP Vision, 401k with Voya through ADPPTO and HolidaysKeywords : Army, Army reserves, army national guard, North Carolina , Raleigh, Cary, RMF, NIST, FedRAMP, DISA Cloud Computing Security Requirements Guide, DISA CC SRG, FISMA, ISO, HIPAA, COBIT, HITECH, CISM, CISSP, 800-53 rev. 3, 800-53 rev. 4, 800-37, Security+, CAP, CISA, contingency plans, security assessment plans, SCA, security control assessment, system security plan, SSP, incident response plan, vulnerabilities, vulnerability management, POA&M, plan of action and milestones, artifact, nessus, retina, ACAS, PKI, continuous monitoring, consulting, SA&A, A&A, C&A, certification, accreditation, information assurance, information security, HBSS, ACAS, arcsight, arc sight, eMASS
		"
5,Jr. Cybersecurity Engineer,https://www.dice.com/jobs/detail/ddea544220721e0d49525ac2ba6dab6c?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520engineer%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=7ebc38e7-1d69-4101-aab5-cfc0616c02f2,"Zachary Piper Solutions, LLC","
Zachary Piper Solutions  is currently seeking a Jr. Cybersecurity Engineersupporting the Army Reserve National Guard in Cary, NC.Responsibilities for the Jr. Cybersecurity Engineer include:The role will support proactive and iterative searches through the network to detect and isolate advance threat(s) Will use available tools to support cyber threat hunts using both automated and manual tools and techniques to identify a compromise before it is detectedInterface with government customers/personnel to deliver timely and effective services.Management oversight of service functions supporting Army National Guard and ensures that new or changed IT services and their supporting infrastructure are adequately approved, validated, and accepted by the government for successful delivery and operationsQualifications for the Jr. Cybersecurity Engineer include:1-2+ years of experience in Cybersecurity and related fieldsExperience using the following is highly preferred: Tanium Software, Arc Sight, HBSS, ACASS, EMASS, FORESCOUT, or Palo-AltoExperience using AESS (Army Endpoint Security Solutions) formerly HBSS (Host Based Security System) is strongly preferredMust have an active Secret ClearanceDoD 8570 CSSP Analyst1 Certification with Certified Ethical Hacker (CEH), Cisco Certified Network Associate Security (CCNA Security), or Cisco Certified Cyber Ops Associate (CCNA Cyber Ops) certification, at minimum.Compensation for the Jr. Cybersecurity Engineer include:$70,000 - $75,000/Yr. based on experience (also have openings include Jr., Mid and Sr.) Full Benefits: Cigna Healthcare, Guardian Dental, VSP Vision, 401k with Voya through ADPPTO and HolidaysKeywords : Army, Army reserves, army national guard, North Carlolina, Raleigh, Cary, RMF, NIST, FedRAMP, DISA Cloud Computing Security Requirements Guide, DISA CC SRG, FISMA, ISO, HIPAA, COBIT, HITECH, CISM, CISSP, 800-53 rev. 3, 800-53 rev. 4, 800-37, Security+, CAP, CISA, contingency plans, security assessment plans, SCA, security control assessment, system security plan, SSP, incident response plan, vulnerabilities, vulnerability management, POA&M, plan of action and milestones, artifact, nessus, retina, ACAS, PKI, continuous monitoring, consulting, SA&A, A&A, C&A, certification, accreditation, information assurance, information security, HBSS, ACAS, arcsight, arc sight, eMASS
		"
6,Sr. Cybersecurity Engineer,https://www.dice.com/jobs/detail/31b710d4d8ea95dc6b55b416ff56244a?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520engineer%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=7ebc38e7-1d69-4101-aab5-cfc0616c02f2,"Zachary Piper Solutions, LLC","
Zachary Piper Solutions  is currently seeking a Sr. Cybersecurity Engineersupporting the Army Reserve National Guard in Cary, NC.Responsibilities for the Sr. Cybersecurity Engineer include:The role will support proactive and iterative searches through the network to detect and isolate advance threat(s) Will use available tools to support cyber threat hunts using both automated and manual tools and techniques to identify a compromise before it is detectedInterface with government customers/personnel to deliver timely and effective services.Management oversight of service functions supporting Army National Guard and ensures that new or changed IT services and their supporting infrastructure are adequately approved, validated, and accepted by the government for successful delivery and operationsQualifications for the Sr. Cybersecurity Engineer include:5+ years of experience in Cybersecurity and related fieldsExperience using the following is highly preferred: Tanium Software, Arc Sight, HBSS, ACASS, EMASS, FORESCOUT, or Palo-AltoExperience using AESS (Army Endpoint Security Solutions) formerly HBSS (Host Based Security System) is preferredMust have an active Secret ClearanceDoD 8570 CSSP Analyst1 Certification with Certified Ethical Hacker (CEH), Cisco Certified Network Associate Security (CCNA Security), or Cisco Certified Cyber Ops Associate (CCNA Cyber Ops) certification, at minimum.Compensation for the Sr. Cybersecurity Engineer include:$95,000 - $110,000/Yr. based on experience (also have openings include Jr. and Mid) Full Benefits: Cigna Healthcare, Guardian Dental, VSP Vision, 401k with ADP Retirement PTO and HolidaysKeywords : Army, Army reserves, army national guard, North Carolina , Raleigh, Cary, RMF, NIST, FedRAMP, DISA Cloud Computing Security Requirements Guide, DISA CC SRG, FISMA, ISO, HIPAA, COBIT, HITECH, CISM, CISSP, 800-53 rev. 3, 800-53 rev. 4, 800-37, Security+, CAP, CISA, contingency plans, security assessment plans, SCA, security control assessment, system security plan, SSP, incident response plan, vulnerabilities, vulnerability management, POA&M, plan of action and milestones, artifact, nessus, retina, ACAS, PKI, continuous monitoring, consulting, SA&A, A&A, C&A, certification, accreditation, information assurance, information security, HBSS, ACAS, arcsight, arc sight, eMASS
		"
7,Cybersecurity Engineer,https://www.dice.com/jobs/detail/7e022c4e847f62149c49f01f1231633f?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520engineer%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=7ebc38e7-1d69-4101-aab5-cfc0616c02f2,"Zachary Piper Solutions, LLC","
Zachary Piper Solutions  is currently seeking a Cybersecurity Engineer  to support a government contract  in Washington, DC, and work remotely . This person will be supporting the implementation of the Security Orchestration Automation and Response program ! The Python Engineer will be responsible for creating python scripts to facilitate the implementation of the program.  Qualifications for the  Cybersecurity Engineer  3-5 years of professional experience within a cybersecurity engineering environment  Strong Python background  •   Professional experience with developing system security context, a preliminary system security CONOPS, and defining baseline system security requirements  •   Hands-on experience with Windows/Linux operations to include configuration, maintenance, and management •   Required to have  at least one  of the following certifications: CISSP, CCSP, CCNA, CISSP-ISSAP, CISSP-ISSEP, GIAC, SSCP, Security+ •    Secret Security Clearance  required  Compensation for the  Cybersecurity Engineer  $90,000 to $115,000 Depending on experience.  Medical, dental, vision, PTO, 401k, Holiday pay Keywords: Python, Software engineer, python engineer, cyber security, cybersecurity engineering, security orchestration automation and response, automation script, Cyber Information Security Engineer, cybersecurity design, systems, networks, cybersecurity architecture, architecture, system security, system security engineer, system security CONOPS, CONOPS, security controls, risk management, security reviews, vulnerability scanning tools, SIEM, security information and event management, windows, linux, implementation, configuration, maintenance, management, CCSP, CISSP, CCNA, CISSP-ISSAP, CISSP-ISSEP, GIAC, SSCP, Security +, bachelors degree, bachelor of science, BS, bachelors of computer science, bachelors of engineering science, federal, government, agency, agencies, manager, executive, department of, doj, department of justice, justice, dhs, homeland security, va, veteran affair, veteran affairs, veterans affairs, veterans affair, dos, state, dod, defense, ic, intel, intelligence, intel community, intelligence community, intel agency, intelligence agency, security clearance, clearance, cleared, active, active clearance, public trust, public-trust, publictrust, secret, ts, top secret, topsecret, top-secret, tssci, ts-sci, ts/sci, ts sci, sci, mbi, bi, poly, polygraph, ci, fs, fsp, ci poly, ci polygraph, counterintelligence, counter intelligence, counter-intelligence, full scope, full-scope, full scope poly, full scope polygraph, computer science, bachelor, bachelors, military, army, navy, nav, air force, airforce, air-force, marine, marines, marine corp, marine corps, usmc, usaf, defense, national guard, department of defense, dmv, dc, Washington dc, district of columbia, md, Maryland, virginia, va, northern virginia, nova, Arlington, Alexandria, springfield, mclean, tysons, Fairfax, Vienna, reston, Herndon, ashburn, sterling, Chantilly, Loudoun, centreville, manassas, woodbridge, silver spring, Rockville, bowie, Baltimore, Lanham, Germantown, Bethesda, columbia, Beltsville, remote, work from home, remotely, hybrid, partial remote, partial onsite, onsite, on-site, on site, in office, in-office, permanent, permanently, internal employee, permanent employee, permanent employment, full time, full-time, direct hire, direct-hire, direct placement, direct-placement, internal hiring, corporate
		"
8,Remote :: Cybersecurity Engineer with Azure,https://www.dice.com/jobs/detail/2cc46a9997f0c53b9064e3e1630d9341?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520engineer%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=7ebc38e7-1d69-4101-aab5-cfc0616c02f2,Tekack Consulting LLC,"
Hi,   TekAck have the new role of Remote :: Cybersecurity Engineer with Azure. Please share your resume if that works for you.   Cybersecurity Engineer with Azure  Video interview Remote 6+ months contract     Principal Responsibilities:  Manage endpoint security tools such as Defender, Intune and SIEM across multiple environments, including remote users, and cloud environments. Ensure vulnerability management tools and scans execute effectively, investigate, and resolve issues with the security-delivered tools and services. Work with other Security and Cloud Engineers to integrate security controls across hosts and virtual environments Validate secure configuration and system hardening according to MSI Providing technical security support during security incidents, including responding to escalated incidents, and Security Infrastructure's services delivery Knowledge of O365 Security and Compliance Center  Proven Security administration experience in AWS and Azure cloud across multiple environments, including remote users, regional data centers, and cloud environments. Responsible for the overall implementation and maintenance of information technology security systems and protocols. Design and implement security measures for hardware, software, and network platforms to ensure protection from cyber-attacks and any other possible harmful intrusions that could compromise or damage data and network infrastructure. Assess existing cybersecurity systems and protocols and design and implement upgrades to existing measures as well as implementing new procedures. Constantly conduct risk-assessments of existing network hardware and information delivery systems to prevent and mitigate risk. Possess expert knowledge in cybersecurity standards including NIST and ISO/IEC 27001 ensure that cybersecurity infrastructure meets these established standards and oversees the initiative to ensure that the infrastructure remains in compliance as well as reporting and correcting any issues which may lead to non-compliance. Work as effective communicators with respect to training and information dissemination concerning all aspects of security measures. Directly involved with policy decisions that affect cybersecurity framework and must clearly communicate specific cybersecurity concerns and provide solutions to incorporate effective measures against possible compromise as part of the organization's cybersecurity strategic plan    Other Responsibilities:  Support of Azure, AWS, Microsoft 365, and G-suite services.  Deploy policies, provide security support for, and secure endpoint devices in a distributed network. Document process and procedures for IT and non-IT staff. Complete projects and other duties as assigned.    Education, Experience, Skills and Abilities Requirements:  Passion for problem-solving and analysis. Perseverance to drive a hard problem to the conclusion under minimal supervised guidance.  In depth understanding of cybersecurity frameworks and best practices Knowledge of DevOps  Experience with scripting/programming languages. Experience building and security architecture on AWS Experience building and security architecture on Azure  Experience with Information protection and Data Loss Prevention Policies  Minimum of a Security+ Certification with higher level industry certs preferred  Azure Security Engineer certification preferred      Thanks, - Arun Chauhan  Mobile: +1  Email:     
"
9,Cybersecurity Engineer,https://www.dice.com/jobs/detail/a430ac1c27d99a836ff4304ffb47fccb?searchlink=search%2F%3Fq%3D%2522cybersecurity%2520engineer%2522%26countryCode%3DUS%26radius%3D30%26radiusUnit%3Dmi%26page%3D1%26pageSize%3D100%26language%3Den%26eid%3DS2Q_&searchId=7ebc38e7-1d69-4101-aab5-cfc0616c02f2,MAXAR Technologies,"
Please review the job details below.Maxar is looking for a Cybersecurity Engineer to join our team. This position can be remote. The Maxar Cyber s ecurity team is seeking a Cyber s ecurity Engineer who thinks outside the box and is driven to automate. Life with Us:Maxar is a leading global provider of advanced space technology solutions for commercial and government markets including satellites, Earth imagery, geospatial data, and analytics. As a trusted partner, Maxar provides unmatched end-to-end advanced systems capabilities and integrated solutions expertise to help our customers anticipate and address their most complex mission-critical challenges with confidence.What We Offer:Maxar offers an excellent comprehensive benefits package including medical, dental, life, and short/long-term disability insurance, vacation, and sick leave, 401(k) retirement plan, flexible spending account, and tuition assistance. Maxar is an Equal Opportunity Employer.  What You Will Do Day To Day (with your colleagues):  This person will be responsible for the day-to-day administration, reporting, and management of the technology used to monitor the Maxar environment, including centralized log management/collection tools and alerting systems.  Additionally, the role will be responsible for the deployment , implementation and configuration of new security tools and solutions.  The ideal candidate will place an emphasis on usable security and focus on scaling successfully through automation.   Excellent technical and communications skills are a must.  Engineer, implement, and monitor security measures for the protection of computer systems, networks, enterprise, and cloud platforms     Provide technical support and troubleshooting of SIEM and log architecture     Maintain up/down health status of sensors and data feeds     Identify and address performance issues with SIEM and Log Management platforms  Perform care and tracking updates and maintenance of Security and Log Management tools     Work with Cyber Operations Team to ensure cybersecurity tools tuned and configured to operational standards.    Assist with security incident and event response when needed.  Minimum Requirements:  Minimum of 5 years of experience as a system security engineer or cybersecurity engineer Minimum of 2 years of experience in Linux and Windows administration Minimum of 2 years of experience in firewall administration, e.g., Juniper SRX, Cisco ASA, or Palo Alto Ability and willingness to share on-call responsibilities, work non-standard hours, a bility and willingness to share on-call responsibilities, work non-standard hours, and aid Cybersecurity investigations Preferred Qualifications: Bachelor's degree in Information Security, Computer Science, or other related field(s). Hands on experience with security systems, including firewalls, intrusion detection systems, anti-virus software, SIEM solutions, vulnerability scanning software, authentication systems, log management, and content filtering. Experience and familiarity with a cloud-based environments such as AWS, Azure and Google Cloud Platform. The compensation range for this position is $83,000 to $138,00 annually and dependent on skills and experience.COVID-19 Update:All Maxar U.S. employees and international employees who work in the U.S. and visit Maxar sites must be fully vaccinated for COVID-19 no later than January 18, 2022 , except in cases where legally entitled to an exception. Maxar Technologies  values diversity in the workplace and is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law. 
"
