,Name,Link,Advertiser,Description
0,"
                            Privacy Consultant
                        ",https://jobsearch.gov.au/Job/View/Details/2302442719?context=dc35b37f-f97b-4397-9713-20d7c7c404d8,https://elevenM.com,"
Consultant, Privacy

elevenM is a cyber security and privacy consultancy helping prominent brands, leading agencies and start-ups manage digital risks.
Our clients are top ASX listed blue-chip companies from a variety of sectors who rely on us to ensure they manage the privacy and security of their customer’s information. 

What’s great about elevenM?
•	The leaders at elevenM are industry experts who are passionate about passing on their knowledge. Their vision is to create a different kind of consultancy, one where people can aim high and have fun while balancing work with home life.
•	The strength of our company lies in our culture. We are inspired by innovation and people who think creatively. This gives us the edge and the ability to see solutions that others don’t. 
•	We offer exceptional career development prospects with flexible work and great remuneration. You will be free to operate in a way that allows you to be the best you can be. Opportunity, Security and flexibility at the same time. It’s a perfect mix.

“The work?”
•	Our consultant roles are highly regarded. They enable us to enhance the way that our clients (top ASX listed companies) do business. 
•	Each day will be different and may involve a range of activities such as attending strategic meetings, providing well researched written advice, preparing privacy impact assessments etc. 
•	To gain a more thorough understanding of the type of work you may be involved in, please visit our website: elevenM - Recent Work.

“Your story?”
•	You are experienced in privacy consulting and are able to interpret and provide advice regarding the Australian Privacy Principals (APP).
•	You love writing and you can produce exceptional artefacts including policies, presentations and when required, engaging blogs.
•	You are skilled in managing relationships with stakeholders at all levels and you present to groups with confidence and clarity.
•	You love learning.

“Remuneration and benefits”
•	Flexible working 
•	Bonus scheme
•	Remuneration Range $90,000 to $120,000 (Base)

“What next?”
•	If you have any questions about this role, please don’t hesitate to call Margaret Carter on 
0419 490 771
•	Applications close on Wednesday 29 June 2022
"
1,"
                            Cyber Security Consultant/Architect
                        ",https://jobsearch.gov.au/Job/View/Details/2302673980?context=dc35b37f-f97b-4397-9713-20d7c7c404d8,https://www.vedainfo.com,"
""Vedainfo Australia” is an IT Consulting, Staffing and Professional Services firm servicing Australia's IT professionals and various ICT Clients in Australia with the company corporate office located in USA. Vedainfo has a footprint across continents, with subsidiary companies in UK and India. Vedainfo services clients across the globe from its offices in the United States, Australia, UK and India.

Areas of expertise include:
• IT Staffing, Professional services
• Design, Development, Implementation and Support/Maintenance of ERP systems and Business intelligence
• Internet and Mobile application development.

One of our clients is looking for multiple Senior Software Engineers/Developers across various technologies for Sydney /Melbourne / Brisbane CBD locations working fulltime (a minimum of 40 hours /week). 

Ref# ECSADM151

(Candidates must have full working rights in Australia and should be locally available within Australia). Also 482 visa nomination transfer/sponsor available for deserving candidates.

In order to succeed in these following roles, your resume should demonstrate skills and experience in any one of the following functional areas.
•	Service Now / Salesforce / MuleSoft
•	DataStage/TIBCO/Java/Python/Splunk
•	Micro Services/DevOps/Pega/Cyber Security
 


Role Description for Cyber Security Consultant/Architect:

• Knowledge on Container Security (Aqua),CI/CD Pipeline, DevOps (Bamboo/Jenkins).
• Knowledge of different Security tools like Crowdstrike, BladeLogic, Qualys, MFA Strategic solutions like (Secure-Auth),PAM (CyberArk) and Backup (Commvault or other backup solutions)
• Knowledge of different cloud solutions and custom platforms like AWS (AMP, PCF), MS Azure.
• Able to understand the network architecture of different business apps presented by different Product Owners and should be able to prompt right questions from E8 (Essential Eight) Perspective.
• Able to define technical patterns for non-standard solutions
• Understanding of E8 Programme (ACSC maturity model)
• Able to update and prepare confluence pages with technical solutions by working with multiple internal teams
• Good communication and presentation skills""

 
 

To be considered for the role click the 'apply' button or for more information about this and other opportunities please contact Junaid on 0240 675 454 Ext 101 or email: junaid vedainfo.com and quote the job reference number as Ref# ECSADM151.

Vedainfo are committed to offering equal opportunities to all and the creation of a diverse workforce and welcomes applications from Indigenous Australians, people from diverse cultural and linguistic backgrounds and people living with a disability. If you require an adjustment to the recruitment process, please contact me on the above contact details.
"
2,"
                            *Management Consultant*
                        ",https://jobsearch.gov.au/Job/View/Details/2303213443?context=dc35b37f-f97b-4397-9713-20d7c7c404d8,https://www.accenture.com/au-en,"
This role can be located in Melbourne, Sydney, Canberra, Brisbane or Perth.

Management Consulting – Workforce Optimisation and Change Management
Brisbane, Melbourne, Sydney, ACT

Seeking new skills for the future.

Workforce optimisation & change consultants integrate business performance considerations with workforce management. They should be able provide knowledge and experience related to the skills, structures, tools and support mechanisms needed to manage change and to foster an environment conducive to sustaining that change.

As a Management Consulting professional with Accenture, you'll help clients to solve their most critical business problems in delivering better solutions and driving more effective ways of working. You’ll create the strategies and plans that define how data and technology should support and inform an organisation's overall business strategy, offering your insight to drive change within the organisation.

You will be exposed to various types of projects across topics and industries. You’ll be responsible for gathering data, analysing problems, discovering insights, formulating hypotheses, delivering recommendations and driving the changes for clients. And from day one, you will have the chance to interact with senior client stakeholders. You'll build an extraordinary career by using your expertise to help governments and other public service organisations become more effective, efficient, and engaged.

A professional at this position level within Accenture has the following responsibilities:
•	Developing workforce optimisation and change management strategies and plans, including work management plans, to deliver the required business outcomes on time and in budget
•	Planning, developing and delivering all change management activities required to support successful implementation of a project or program of work
•	Working closely with senior stakeholders to ensure the change program is pragmatic and achieves the desired outcomes
•	Developing business readiness approaches/plans and measuring outcomes from readiness activities
•	Developing, implementing, and evaluating business transition activities
•	Supporting the development and implementation of project deployment activities, including training and performance support activities
•	Assessing the effectiveness of Change Management initiatives implemented and providing direction/action plans as required
•	Identifying and growing client opportunities – with existing and/or new clients
•	Bringing new ideas, innovation and/or thought leadership to clients
•	Developing strong ongoing business relationships with clients
•	Proactively managing client and Accenture work requirements

Preferred Skills:
•	Workforce optimisation and change management planning, design, and implementation including:
•	Change Support Networks
•	Learning and Performance support
•	Communications and stakeholder engagement
•	Culture and behaviour change
•	Business readiness
•	Strategic and operational change measurement
•	Leadership support program development and support
•	Experience in Project Management such as work planning, status reporting, issue / risk management, and estimating

Basic Qualifications (must be specific and measurable):
•	Bachelor's Degree
•	Change Management experience from a consulting background
•	Experience working successfully with senior stakeholders
•	Willingness to travel, as project work is conducted on client premises
•	Demonstrated ability to lead medium to large teams
•	Experience with Public Service organisations at a local, state or federal government level is highly desirable

Location and Level:
We are recruiting across levels i.e. Experienced Consultants & Managers for Melbourne, Sydney, Brisbane and ACT

Essential Requirement:
For ACT candidates - Eligibility for an Australian Government Security Clearance is mandatory (must be an Australian Citizen) and current Baseline security clearance would be highly advantageous

About Accenture:
Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. Our 514,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com.
At Accenture, our philosophy is anchored in recognising that our people are multi-dimensional. We take an intersectional human approach to create a work environment where all people feel like they can bring their authentic selves to work, every day.
We believe that equality drives innovation. Our commitment to accelerating equality starts at the top with our board and CEO and extends across every part of the company. This comes to life when our people own the equality agenda, making it part of their jobs – every decision, every day – and feel free to speak up and to act.
We do not tolerate discrimination because of differences, such as age, ability, ethnicity, gender, gender identity or expression, religion, or sexual orientation. We want a workplace that is inclusive and diverse to that end we are setting bold goals and taking comprehensive action. To achieve these goals, we collect infomation that allows us to track the effectiveness of our Inclusion and Diversity programs.
Learn how Accenture protects your personal data and know your rights in relation to your personal data. Read more about our Privacy Statement.
Valentina Couzios is the Recruiter managing this role. As the team experience high volumes of applications, we appreciate your patience to allow for a fair and timely process. #accessibility

Equal Employment Opportunity Statement:
At Accenture, our philosophy is anchored in recognising that our people are multi-dimensional. We take an intersectional human approach to create a work environment where all people feel like they can bring their authentic selves to work, every day.
We believe that equality drives innovation. Our commitment to accelerating equality starts at the top with our board and CEO and extends across every part of the company. This comes to life when our people own the equality agenda, making it part of their jobs – every decision, every day – and feel free to speak up and to act.
We do not tolerate discrimination because of differences, such as age, ability, ethnicity, gender, gender identity or expression, religion, or sexual orientation. We want a workplace that is inclusive and diverse to that end we are setting bold goals and taking comprehensive action. To achieve these goals, we collect information that allows us to track the effectiveness of our Inclusion and Diversity programs.

To apply for this role, please use the following link: 
https://accenture.wd3.myworkdayjobs.com/AccentureCareers/job/Brisbane/XMLNAME--Workforce-Experience-and-Change-Management-_00969879-1
"
3,"
                            Security Engineer, Infrastructure Protection - Sydney
                                New listing
",https://jobsearch.gov.au/Job/View/Details/2303224789?context=dc35b37f-f97b-4397-9713-20d7c7c404d8,https://careers.google.com/jobs/results/109743506735407814/,"
Google Australia pty Ltd

Opening Date: 24th June 2022
Closing Date: 24th July 2022

Apply via the Google Careers page: https://careers.google.com/jobs/results/109743506735407814/

JOB DESCRIPTION
There's no such thing as a ""safe system"" - only safer systems. Our Security team works to create and maintain the safest operating environment for Google's users and developers. As a Security Engineer, you help protect network boundaries, keep computer systems and network devices hardened against attacks and provide security services to protect highly sensitive data like passwords and customer information. Security Engineers work directly with network equipment and actively monitor our systems for attacks and intrusions. You also work with software engineers to proactively identify and fix security flaws and vulnerabilities.

You use your industry experience to own and drive the resolution of complex security incidents, policy questions and technical security issues.

The Infrastructure Protection Security team is a global Engineering team that helps design, build, and use infrastructure securely at scale. Security Engineers work on a broad set of efforts focusing on scaling and automating security infrastructure and processes. We contribute to open source security software, conduct applied research, and implement novel technologies and architecture to work with enterprise security across a diversity of computing platforms such as mobile and cloud. Examples include establishing and enforcing perimeters to protect all of Google’s environments, defending a diverse set of clients and servers in difficult environments, from common operating systems to emerging software and hardware platforms, and evolving authentication, access infrastructure, and policy to simplify user experience and keep Google safe. Applicants must have a right to work in Australia as Google is currently unable to sponsor a visa for this position.
Qualifications

JOB RESPONSIBILITIES
Work on next generation platform security designs and projects
Build security tools and processes using Python or Go for critical infrastructure protection, monitoring and remediation
Sharpen common operating systems used at Google
Drive enterprise focused security improvements to Google products and services
Assess risk within the context of real threats faced by Google platforms

MINIMUM QUALIFICATIONS
Bachelor's degree in Computer Science or a related technical field, or equivalent practical experience.
3 years of relevant work experience in security.
Coding experience in one or more general purpose languages.

PREFERRED QUALIFICATIONS
Experience with network protocols and secure network design.
Experience in the development of security tools, automation, or frameworks.
Experience with attacks and mitigation methods.
Experience in operating system internals and hardening (e.g. Windows, Linux, OS X, Android).
Experience in authentication and access control, and applied cryptography and security protocols.
"
4,"
                            Consultant
                                New listing
",https://jobsearch.gov.au/Job/View/Details/2303266152?context=dc35b37f-f97b-4397-9713-20d7c7c404d8,http://www.wppaunz.com,"
Job Type: Full-time 

 Salary : $60,000.00 to $95,000 per year 

 Location:  Office location will be determined dependant on the right applicant, as we have offices based in Sydney, Melbourne, Adelaide, Perth and Brisbane. 

 We are looking for an experienced consultant to join our team on a full-time basis within one of our agencies. 

 Your responsibilities: 

 
	 Build a trusting relationship with the clients you work with, and with the rest of your team 
	 Manage client expectations – keep them in the loop in terms of work in progress, recognise issues early, and pre-empt them. 
	 Understand your client’s business - their organisational structure, culture, and politics. 
	 Contribute to the development of business and marketing plans by understanding the market and consumers. 
	 Understand trends and influences within the client’s market including competitor activity 
	 Lead a mixed discipline agency team in delivering high-quality creative solutions. 
 

 You’ll need relevant qualifications plus a proven track record of managing client relationships at the most senior level. The ideal candidate has a strong strategic point of view and has a passion for outstanding creative work. A great team leader and mentor, you have a meticulous eye for detail and an ability to always be ahead of the game. 

 We’re looking for someone who relates well to a variety of people, builds productive relationships, inspires, encourages, and facilitates co-operation. Plus you’ll manage team resources to maximise productivity and contribution. 

 Who we are looking for? 
• Have between 2 – 8 years’ experience that includes project management, leading people, and handling clients. 
• Have experience in taking briefs, writing proposals, and writing story led research reports. 
• Have experience of working across markets and disciplines. 
• Have good commercial skills, always curious to learn and find new things out about the market, clients, and the way insights can be delivered and actioned. 
• Bright, eager, optimistic, clear attention to detail, solutions-focused, problem solver. 

 You’ll need to be someone who: 
• Demonstrates strong leadership and client engagement skills for both large, strategic and smaller, tactical research programs. 
• Helps to nurture and grow client relationships, ensuring a deep understanding of the client’s business. 
• Manages and coaches junior team members. 
• Has the ability to get under the skin of clients’ business issues, diagnose business questions, co-create briefs with clients. 
• Is willing to go beyond the data to deliver strong insight-led narratives, through workshops and presentations. 
• Can Support proposals and pitches, and work with key leads across our expert areas to ensure the best thinking is leveraged to respond to clients’ business questions. 
This is a role where you will have the opportunity to drive insights and new thinking, work across markets and cultures, and partner with clients around the world 

 WPP AUNZ is the leading marketing communications services group in Australia and New Zealand. No other group comes close to our scale and breadth of capability, comprising of 5,500 people working across more than 80 companies in over 170 offices. We know that the most powerful role we can play is to bring together the best knowledge, thinking and talent to meet our clients’ challenges with bigger, better, and smarter ideas – we call this way of working ‘ Connected Know-How’.
"
5,"
                            Management Consultant
                                New listing
",https://jobsearch.gov.au/Job/View/Details/2303266882?context=dc35b37f-f97b-4397-9713-20d7c7c404d8,http://www.careerlink.com.au,"
Careerlink People Solutions are seeking a skilled Management Consultant to deliver innovative solutions for our client.

About the client:

digitalsalt GmbH is looking for a Management Consultant to help clients to solve their most critical business problems in delivering better solutions on time and driving more effective ways of working. 

You’ll create and implement the strategies and plans to support the clients overall business success, offering your insight to drive change within the organisation.

Key responsibilities:
• Provide business and technology advisory services to clients across various topics within naval shipbuilding projects
• Evaluate the current state of the business processes and technology landscape, define the target state and develop roadmaps for the transition
• Support, define and promote the implementation of technical solutions and proof of concepts
• Design innovative technology solutions for different projects / customers to solve complex business problems
• Drive innovation for our clients by leveraging cross-industry views on technology trends
• Align business and technology strategies to deliver impactful insights and outcomes jointly with client management
• Actively network, manage and influence multiple client and stakeholder relationship groups including senior executives
• Drive business development by identifying key opportunities for business improvement and growth
• Manage medium-large sized teams and/or work efforts at a client
• Manage and mentor junior team members

Skills, experience and qualifications:

• 3-10 years experience in a technology consulting firm and/or within management of large corporate environment and a proven track record
• Profound experience within a maritime defence environment (incl. ASDEFCON procurement rules)
• Knowledge and passion for project management and systems engineering within large scale naval shipbuilding projects
• Profound knowledge of the system engineering standards EIA-632, ISO 15288, ISO 10007 and V-Model XT
• Broad generalist with digital and naval technology skills and knowledge
• Understanding of system architecture principles (incl. German Navy Building Group Code, RAN CMC) and exposure to modern data platforms
• Excellent communication, client facing and consulting skills
• Business sense coupled with analytical and problem solving skills
• Deadline-driven, organised and ability to multi-task
• Master’s degree in natural or engineering sciences
• Flexibility to travel interstate or international as required
• Very good knowledge of German and English, both written and spoken

Job Type: Full-time, Temporary
Salary: $62,000 - $115,000 determined in line with skills and experience
Location: Henderson WA, Australia
"
6,"
                            HR Consultant
                                New listing
",https://jobsearch.gov.au/Job/View/Details/2303266847?context=dc35b37f-f97b-4397-9713-20d7c7c404d8,http://www.robertwalters.com.au,"
Opportunity to join a leading professional services firm in a high profile P&D Consultant role.This leading professional services firm is currently hiring a driven HR professional to join their People and Development team assisting with P&D activity to multiple client groups throughout the firm. The role will report to the head of the P&D team and work in a supportive and high performance environment.
Key Responsibilities:

Lead a variety of cases requiring HR expertise in Employee Relations and Employee Experience Work
Provide People and Development consulting skills on key P&D operations and processes including hiring, transfers and performance management
Partner with leaders and key stakeholders to resolve individual employee issues
Provide coaching to managers on performance management
Collaborate with the wider HR team and leaders across Australia

Key Requirements:

5 years' experience as an HR professional in either the generalist space or HR Advisory capacity
Experience managing and resolving individual ER cases
Demonstrated ability to implement and facilitate capability initiatives that enhance employee experience
Proven coaching, consulting and facilitation skills
Strong communication, relationship management and influencing skills
Strong knowledge of Australian employment legislation
Experience in a national, matrix reporting environment

This role provides the opportunity to join a leading professional services organisation in a high profile role. A competitive salary package will be negotiated for the successful candidate.Aboriginal and Torres Strait Islander Peoples are encouraged to apply. 
To apply please click apply or call Sean Kirk on 02 8289 3235 for a confidential discussion. "
7,"
                            SAP Migration Consultant
                                New listing
",https://jobsearch.gov.au/Job/View/Details/2303266826?context=dc35b37f-f97b-4397-9713-20d7c7c404d8,-,"
SAP Migration Consultant

Natuvion is looking to hire experienced software engineers or developers for the position of ‘SAP Migration Consultant’ in Sydney. There are multiple positions available for full-time work.
Join the Natuvion Team - We stand for experience and innovation as an SAP Solution Provider and as an INC5000 ranked organisation we are one of the fastest growing European IT consulting companies with our headquarters located in Walldorf/Germany. As an SAP Gold and Co-Innovation Partner, we have extensive know-how in SAP® software projects and a profound understanding of processes across industry boundaries.
We support our customers with innovative, technologically leading processes and tailor-made solutions in the areas of Migrations, Transformation and Data Governance.

Your Tasks:
•	Software engineering and implementation of SAP and non-SAP migration and conversion projects
•	Writing code, Conducting Data Migrations, Carve-Outs or Deletions
•	Configuration and further development of SAP standard migration tools and Natuvion's own migration suite (Data Conversion Server DCS and SAP LTMC)
•	Conducting and leading workshops, working with Agile methodologies
•	Professional and technical co-ordination of our customer projects

Your Profile:
•	Bachelor’s degree in the field of business informatics or computer science or equivalent employment experience
•	Minimum of 2 years’ experience as a software engineer, developer or programmer
•	Programming knowledge ABAP and a very good technical understanding
•	SAP Migration experience and hands-on experience using ETL tools
•	Good knowledge of SAP data structure and business processes
•	Willing to upskill in the latest technology
•	Excellent coding skills
•	Experience in TDD and BDD

What We Offer:
•	Attractive and transparent remuneration models
•	Independent work and the opportunity to learn in expert teams
•	Personal development and participation in a vibrant expert community for the mutual sharing of knowledge and the development of solutions, as well as participation in training courses and certification programs.
•	A respectful employee-first culture, flat hierarchies, short communication channels and an open-door policy
•	A collegial working environment and regular joint company events (workshops, social events, community activities)
"
8,"
                            Sales Consultant B2B
                                New listing
",https://jobsearch.gov.au/Job/View/Details/2303220991?context=dc35b37f-f97b-4397-9713-20d7c7c404d8,http://www.superiorpeople.com.au,"
Our client is a shared workspace provider, offering flexible office space, coworking, virtual offices, meeting rooms and corporate venue hire to the local business community. 

 They are now seeking a B2B Sales Consultant to join their high performing Sales and Marketing team. The role will suit an enthusiastic Sales Professional interested in commercial real estate, who is ready to elevate their career to the next level. This role will provide you with the ongoing opportunity to grow your sales, leasing, communications and negotiation skills. 

 If you thrive under pressure to close deals and enjoy nurturing long term relationships with clients, this is the role for you! 

 EMPLOYEE BENEFITS INCLUDE 

 
	 Enjoy a world-class office space; 
	 A supportive and energetic team environment; 
	 Opportunity to increase your earnings with commissions; 
	 Free use of the on-site gym, showers & change rooms; 
	 Onsite cafe discount; 
	 Nearby public transport; 
	 Be part of a growing business; 
	 and career progression opportunities. 
 

 RESPONSIBILITIES OF THE MEMBERSHIPS SALES CONSULTANT INCLUDE 

 
	 Qualify and tour leads in order to sell  memberships and achieve optimal occupancy. 
	 Efficiently respond to new leads, qualify leads and book tours. 
	 Actively prospect new leads. 
	 Understand customer requirements and generate attractive proposals. 
	 Follow up, negotiate and close deals for memberships and services, including private office leasing, dedicated desk memberships, coworking and virtual office memberships. 
	 Maintain records in the CRM system in order to capture all communications, efficiently follow up and move prospects and leads through the pipeline. 
	 Meet monthly targets and personal KPIs. 
	 Maintain ongoing relationships with your clients to ensure members receive value from their memberships and identify opportunities to upsell. 
	 Efficiently attend to renewals, expansion, or relocations. 
 

 THE SUCCESSFUL CANDIDATE WILL HAVE THE FOLLOWING EXPERIENCE 

 
	 2+ Years B2B sales experience; 
	 Strong written and verbal communication skills 
	 Ability to put together attractive membership proposals; 
	 Negotiate deals and prepare agreements; 
	 Strong initiative and problem-solving skills; 
	 Ability to work both independently and as part of a team; 
	 Organised and pays attention to detail; 
	 Efficient administration skills; 
	 Experience maintaining CRM records; 
	 Commercial real estate would be highly regarded. 
 

   

 If you do not meet the selection criteria or have the necessary experience, please do not apply, or your application can be reported back to your provider, which could impact any benefits you may be currently receiving.
"
9,"
                            Senior Technical Consultant
                                New listing
",https://jobsearch.gov.au/Job/View/Details/2303267074?context=dc35b37f-f97b-4397-9713-20d7c7c404d8,https://www.temenos.com/,"
THE ROLE
The Senior Technical Consultant is responsible for providing technical support and expertise advice throughout all technical stages of TEMENOS products implementation projects. The Senior Technical Consultant focuses especially on more complex technical issues with little or no direct supervision and provides guidance and coaching to less experienced Technical Consultants.
 
OPPORTUNITIES
•	You will focus on more complex technical problems and\or development, generally without day-to-day supervision or direction. Provide guidance and advice to less experienced consultants in case of complex technical issues during the development (e.g. configuration of TEMENOS products and local developments).Has strong proficiency in the tools, systems and procedures that are used to accomplish the job.
•	You will help identify, define, and coordinate any development activities that may occur during the development of TEMENOS products, such as additional specific functionality, interfacing to external systems or conversion programs to be built.
•	You will deploy necessary enhancements and validate technical setup and conduct necessary testing to ensure user acceptance and quality of the solution delivered.
•	You will provide clear and concise technical documentation for internal and external use.
•	You will provide regular update and feedback to the Project Manager on development, potential delays and resources needs adjustments in order to achieve project goals.
•	You will coordinate with the TEMENOS support analyst groups to ensure that the production problems encountered by the client are understood and resolved.
•	You will supervise, if and when needed, over specific technical parts of the implementation plan.
•	You will perform such other duties, functions and services, consistent with status or vocational ability, as may from time to time be required.
 
REQUIREMENTS
•	Educational & Proficiency level: Professional with a minimum of five years of experience in software technical consultancy, ideally in a financial or mortgages environment.
•	Required Technical knowledge: ASP.NET MVC\WebAPI. C#, SQL Server, Angular JS 1.x
•	Desirable knowledge: BizTalk 2006+, Classic ASP, VB, Angular 8+
•	Other: Analytical, organized, team player, and able to work in a multicultural environment.
"
