,Name,Link,Advertiser,Description
0,Head of Marketing and Digital (Part Time Remote),https://www.seek.com.au/job/57477005?type=promoted,Gridware,"About the RoleReport directly to the CEO of our high growth cybersecurity practice to support our growth trajectory in the cybersecurity industry.Gridware is fast growing cybersecurity firm that offers a variety of services aimed to assist organisations prevent or recover from cyber attacks. We have assisted some of Australia's biggest brands in testing the resilience of their security and implementing best practice controls to improve their security postures. Join our team as a senior executive to lead a broad range of marketing initiatives, with a focus on sales strategy, lead pipeline, marketing collateral, social media and third party management. This is a Part Time role (fully remote available) and is perfect for a marketing executive with at least 7-8 years of experience in a B2B sales environment, perfect for those returning to work or require more flexibility, with the opportunity to build a team over time.If this role sounds like it suits your skills, we want to hear from you today!On OfferHigh growth firm means you will play a pivotal role in the company's successPart-time opportunity with flexible work culture, opportunity to move to full-time in futureExciting opportunity to work in pivotal industry that makes a positive impact to businesses and communitiesKey ResponsibilitiesWork with sales team and management to develop marketing strategy that supports our growth and sales targetsDevelop general, channel and product related content marketing strategyDrive and optimise organic and paid lead campaigns, including SEMCapture, maintain and analyse our customer data and pipeline portfolio, including maintaining and reporting from our sales CRM (Hubspot)Develop and maintain an EDM campaign to various customer segmentsDevelop and manage publication of industry insights on Linkedin and websiteManage third parties including growth consultants, SEO and content writersOptimising landing pages (Wordpress) and customer funnelsIdentify and coordinate submissions for relevant industry awardsCombine various analytics (CRM, Google Analytics, SEMRush etc) to map customer/lead journey and prepare regular reporting for managementAbout youMinimum 7-8 years of marketing experiencePassionate about joining a growing team and firmCuriosity and interest in cybersecurityDegree or qualification in marketing fieldDemonstrable experience leading and managing SEO/SEM, marketing database (Hubspot), email, social media and advertising campaignsHighly creative with experience directing design of collateral, web pages and proposalsStrong analytical skill and data-driven thinkingUp-to-date with the latest trends and best practices in online marketing and measurement"
1,"CONSULTANT, NETWORKS AND SECURITY SERVICES",https://www.seek.com.au/job/57460199?type=promoted,Rockwell Automation,"Position Summary   The Network and Security Consultant shall Interface with our valued clients to develop secure network solutions. Will participate in Assessments, Audits, Design, and deployment projects in Network, Security and Virtualization. These Projects will be specific to enabling a connected enterprise / IT-OT convergence / Industry 4.0 by connecting the Industrial Internet of Things. Will need good understanding and experience of networking and security concepts for the OT side.   Potential candidates should have:   Minimum Qualifications / skill sets: Bachelor’s Degree in Electrical Engineering, Industrial Engineering, Computer Science or Information Technology or related technology driven degree with minimum 5 years of work experience. If no degree, 15+ years of experience in Manufacturing Control Systems, Network Engineering, and Industrial Security Controls.  Hands-on experience configuring IT/OT equipment (Cisco ASA, Cisco Switches, Firewalls, Virtual Server Environments, Anti-Virus Software, Continuous Threat Detection). Previous experience working as part of a large, multi-disciplinary team completing full project life-cycle implementations.  Cisco / VMWare / Cybersecurity related certifications (CCNA, CCNP, VCP, GISSP, IEC 62443) Travel Requirements - Flexibility for travel 25% - 75% is required and can include both domestic and international trips.   Job RequirementsExperience in design and deploying security controls for an Industrial Network. These can include system management hardening, device hardening, end point security, perimeter security, disaster recovery, threat detection and monitoring as examples.  Understanding of NIST 800-82, NERC-CIP, IEC-62443 Standards Solid technical skills with EtherNet/IP or other Ethernet based networks, specifically around assessment, design and implementation of complex systems.  Strong commercial skills, ability to handle multiple projects, communication skills, ability to diagnose automation problems and interact with teams, clients and vendors. Familiarity with a variety of security and/or networking concepts, practices, and procedures, to include manufacturing and enterprise network convergence, network protocols, communication optimization, application effects on system performance and human exploitation techniques on the manufacturing network.  Experience in developing and deploying solutions in a virtual environment.   Desirable: Experience in Network Architecture, PLC, Networking and SCADA design/programming including data extraction and data analysis.  Exposure to PLC programming packages (Rockwell or comparable platforms) is desirable.  Design, implement and support customer’s converged business and manufacturing/industrial systems and user needs in parallel with their overall business strategies.  Write detailed documentation that could include user needs, system specifications, observed issues with remediation recommendations or implementation requirements in order to develop or modify manufacturing infrastructure.Design, recommend, and implement system security changes.  Design customer secure manufacturing architecture and provides vision, problem anticipation, and problem solving ability to customers.  "
2,Cybersecurity Consultant (Operational Technology),https://www.seek.com.au/job/57271921?type=standout,GHD Pty Ltd,"As our Cybersecurity Consultant Operational Technology, you will be responsible for the development and delivery of client solutions within operational technology (OT), how it integrates with IT, and will provide significant contributions towards growth and development of a Cybersecurity and Risk business. An opportunity to learn and quickly advance your career to the next level. You will:Be part of delivering complex (OT and IT) cybersecurity and risk consulting client engagements that will include governance, risk, compliance and architecture reviewsBe fluent in reviewing, recommending and implementing technical security controls, architectures and suitable technologies within operational technology (OT) environmentsAssist in driving growth of the Cybersecurity and Risk practice through client and internal relationships, building solutions, and leading proposal developmentContributes towards the achievement of revenue, utilisation and productivity targetsParticipate and speak at select industry conferences, shows and exhibitionsWhat you will bring to the team:3-6 years’ experience within OT cybersecurity and risk delivery and management for organisations, especially around critical infrastructuresDegree qualification in information technology, security or engineering disciplines preferred IT/OT certifications such as CISSP, CRISC, CISM, IEC62443, GSEC, GICSP or equivalent highly regardedVendor certifications such as CCNP, MCSA, MCSP and NSE or equivalent highly regardedSound understanding of global cybersecurity standards and Australian critical infrastructure security frameworksProject management experience and ability to meet deadlinesClient-centric, with a passion for engaging with key clients. Interested? Apply now.GHD is committed to providing Equal Employment Opportunities and invites applications from all nationalities, genders, and cultural backgrounds, including Aboriginal and Torres Strait Islander peoples.Enquiries: davin.grikis@ghd.com - Talent Acquisition Business Partner#LI-DG1"
3,Cybersecurity Consultant (Operational Technology),https://www.seek.com.au/job/57271672?type=standout,GHD Pty Ltd,"As our Cybersecurity Consultant Operational Technology, you will be responsible for the development and delivery of client solutions within operational technology (OT), how it integrates with IT, and will provide significant contributions towards growth and development of a Cybersecurity and Risk business. An opportunity to learn and quickly advance your career to the next level. You will:Be part of delivering complex (OT and IT) cybersecurity and risk consulting client engagements that will include governance, risk, compliance and architecture reviewsBe fluent in reviewing, recommending and implementing technical security controls, architectures and suitable technologies within operational technology (OT) environmentsAssist in driving growth of the Cybersecurity and Risk practice through client and internal relationships, building solutions, and leading proposal developmentContributes towards the achievement of revenue, utilisation and productivity targetsParticipate and speak at select industry conferences, shows and exhibitionsWhat you will bring to the team:3-6 years’ experience within OT cybersecurity and risk delivery and management for organisations, especially around critical infrastructuresDegree qualification in information technology, security or engineering disciplines preferred IT/OT certifications such as CISSP, CRISC, CISM, IEC62443, GSEC, GICSP or equivalent highly regardedVendor certifications such as CCNP, MCSA, MCSP and NSE or equivalent highly regardedSound understanding of global cybersecurity standards and Australian critical infrastructure security frameworksProject management experience and ability to meet deadlinesClient-centric, with a passion for engaging with key clients. Interested? Apply now.GHD is committed to providing Equal Employment Opportunities and invites applications from all nationalities, genders, and cultural backgrounds, including Aboriginal and Torres Strait Islander peoples.Enquiries: davin.grikis@ghd.com - Talent Acquisition Business Partner#LI-DG1"
4,Cybersecurity Consultant (Operational Technology),https://www.seek.com.au/job/57267246?type=standout,GHD Pty Ltd,"As our Cybersecurity Consultant Operational Technology, you will be responsible for the development and delivery of client solutions within operational technology (OT), how it integrates with IT, and will provide significant contributions towards growth and development of a Cybersecurity and Risk business. An opportunity to learn and quickly advance your career to the next level. You will:Be part of delivering complex (OT and IT) cybersecurity and risk consulting client engagements that will include governance, risk, compliance and architecture reviewsBe fluent in reviewing, recommending and implementing technical security controls, architectures and suitable technologies within operational technology (OT) environmentsAssist in driving growth of the Cybersecurity and Risk practice through client and internal relationships, building solutions, and leading proposal developmentContributes towards the achievement of revenue, utilisation and productivity targetsParticipate and speak at select industry conferences, shows and exhibitionsWhat you will bring to the team:3-6 years’ experience within OT cybersecurity and risk delivery and management for organisations, especially around critical infrastructuresDegree qualification in information technology, security or engineering disciplines preferred IT/OT certifications such as CISSP, CRISC, CISM, IEC62443, GSEC, GICSP or equivalent highly regardedVendor certifications such as CCNP, MCSA, MCSP and NSE or equivalent highly regardedSound understanding of global cybersecurity standards and Australian critical infrastructure security frameworksProject management experience and ability to meet deadlinesClient-centric, with a passion for engaging with key clients. Interested? Apply now.GHD is committed to providing Equal Employment Opportunities and invites applications from all nationalities, genders, and cultural backgrounds, including Aboriginal and Torres Strait Islander peoples.Enquiries: davin.grikis@ghd.com - Talent Acquisition Business Partner#LI-DG1"
5,Cybersecurity Consultant (Operational Technology),https://www.seek.com.au/job/57267202?type=standout,GHD Pty Ltd,"As our Cybersecurity Consultant Operational Technology, you will be responsible for the development and delivery of client solutions within operational technology (OT), how it integrates with IT, and will provide significant contributions towards growth and development of a Cybersecurity and Risk business. An opportunity to learn and quickly advance your career to the next level. You will:
Be part of delivering complex (OT and IT) cybersecurity and risk consulting client engagements that will include governance, risk, compliance and architecture reviews
Be fluent in reviewing, recommending and implementing technical security controls, architectures and suitable technologies within operational technology (OT) environments
Assist in driving growth of the Cybersecurity and Risk practice through client and internal relationships, building solutions, and leading proposal development
Contributes towards the achievement of revenue, utilisation and productivity targets
Participate and speak at select industry conferences, shows and exhibitions

What you will bring to the team:
3-6 years’ experience within OT cybersecurity and risk delivery and management for organisations, especially around critical infrastructures
Degree qualification in information technology, security or engineering disciplines preferred 
IT/OT certifications such as CISSP, CRISC, CISM, IEC62443, GSEC, GICSP or equivalent highly regarded
Vendor certifications such as CCNP, MCSA, MCSP and NSE or equivalent highly regarded
Sound understanding of global cybersecurity standards and Australian critical infrastructure security frameworks
Project management experience and ability to meet deadlines
Client-centric, with a passion for engaging with key clients. 

Interested? Apply now.
GHD is committed to providing Equal Employment Opportunities and invites applications from all nationalities, genders, and cultural backgrounds, including Aboriginal and Torres Strait Islander peoples.
Enquiries: davin.grikis@ghd.com - Talent Acquisition Business Partner
#LI-DG1
CAP5
"
6,Cybersecurity Consultant (Operational Technology),https://www.seek.com.au/job/57263173?type=standout,GHD Pty Ltd,"As our Cybersecurity Consultant Operational Technology, you will be responsible for the development and delivery of client solutions within operational technology (OT), how it integrates with IT, and will provide significant contributions towards growth and development of a Cybersecurity and Risk business. An opportunity to learn and quickly advance your career to the next level. You will:
Be part of delivering complex (OT and IT) cybersecurity and risk consulting client engagements that will include governance, risk, compliance and architecture reviews
Be fluent in reviewing, recommending and implementing technical security controls, architectures and suitable technologies within operational technology (OT) environments
Assist in driving growth of the Cybersecurity and Risk practice through client and internal relationships, building solutions, and leading proposal development
Contributes towards the achievement of revenue, utilisation and productivity targets
Participate and speak at select industry conferences, shows and exhibitions

What you will bring to the team:
3-6 years’ experience within OT cybersecurity and risk delivery and management for organisations, especially around critical infrastructures
Degree qualification in information technology, security or engineering disciplines preferred 
IT/OT certifications such as CISSP, CRISC, CISM, IEC62443, GSEC, GICSP or equivalent highly regarded
Vendor certifications such as CCNP, MCSA, MCSP and NSE or equivalent highly regarded
Sound understanding of global cybersecurity standards and Australian critical infrastructure security frameworks
Project management experience and ability to meet deadlines
Client-centric, with a passion for engaging with key clients. 

Interested? Apply now.
GHD is committed to providing Equal Employment Opportunities and invites applications from all nationalities, genders, and cultural backgrounds, including Aboriginal and Torres Strait Islander peoples.
Enquiries: davin.grikis@ghd.com - Talent Acquisition Business Partner
#LI-DG1
CAP5
"
7,Cybersecurity Recruitment Consultant ,https://www.seek.com.au/job/57224572?type=standout,Slade Group,"At Synchro Partners, we are specialist Cybersecurity and Technology recruiters.

Since launching in 2021 as part of the well-established Slade Group, we are already working with some of Australia’s leading organisations and have quickly built a reputation of delivering high-quality recruitment services – we are knowledgeable and undertake a partnership approach with our valued clients.
Synchro Partners is growing fast, and we’re looking for an experienced Technology Recruiter to come on-board and help our Practice Lead, Jim Morris spear-head the rapidly growing Cybersecurity market in Australia.
This role is candidate-focused, with responsibilities including (but not limited to):

Running resourcing campaigns for specialist Cybersecurity roles and assignments
Screening and interviewing candidates via phone, video conferencing or face-to-face
Aligning candidates' skills, experience and aspirations with suitable career opportunities
Conducting market research within specific Cybersecurity sectors
Attending industry events and seminars
Generating, preparing and formatting documents – CVs/résumés, employment/client contracts etc.

Ideally, you will have at least a year of experience working in recruitment/resourcing or have a strong interest in learning/moving into recruiting within Cybersecurity. You are organised, learning-orientated and enjoy working alongside a driven and motivated team.
Our leadership team have proven industry track records, and we are passionate about nurturing potential and helping all of our team members develop the skills that will enable them to be successful in the recruitment industry. We’ll provide structured training and mentoring, and will work together with you to develop a clear, transparent pathway for your career progression.
Synchro Partners values teamwork, collaboration, ambition, social responsibility and hard work – we reward our team with very competitive remuneration packages (salary, commission and rewards)
Join a growing, high-performing organisation with an inclusive, supportive team environment and a strong sense of purpose.
 
"
8,Cybersecurity Business Analysts (Multiple Roles),https://www.seek.com.au/job/57464130?type=standard,Q1 Professional Services,"Q1 has been working with ASX top 20 and global consulting organisations for over 17 years. One of our key clients, a big four bank with global reach and Sydney based, are looking for a large number of security experienced Business Analysts to support them in their security transformation. These are amazing opportunities in that they have a new senior leadership team, and a wide program of fantastic projects that you will be supporting.These 5 business analyst roles are:  Application control BA A technical BA - e.g. gap analysis, end to end process, etc. SailPoint /CyberArk BA Network BA with knowledge of Akami and DDOS. Active Directory BA   Please include your daily rate expectations, potential starting date, and which BA role you are applying for, in your application.If you are ready to make a real difference, in one of the best organisations in Australia, please reach out."
9,Head of Marketing and Digital (Part Time Remote),https://www.seek.com.au/job/57477005?type=standout,Gridware,"About the RoleReport directly to the CEO of our high growth cybersecurity practice to support our growth trajectory in the cybersecurity industry.Gridware is fast growing cybersecurity firm that offers a variety of services aimed to assist organisations prevent or recover from cyber attacks. We have assisted some of Australia's biggest brands in testing the resilience of their security and implementing best practice controls to improve their security postures. Join our team as a senior executive to lead a broad range of marketing initiatives, with a focus on sales strategy, lead pipeline, marketing collateral, social media and third party management. This is a Part Time role (fully remote available) and is perfect for a marketing executive with at least 7-8 years of experience in a B2B sales environment, perfect for those returning to work or require more flexibility, with the opportunity to build a team over time.If this role sounds like it suits your skills, we want to hear from you today!On OfferHigh growth firm means you will play a pivotal role in the company's successPart-time opportunity with flexible work culture, opportunity to move to full-time in futureExciting opportunity to work in pivotal industry that makes a positive impact to businesses and communitiesKey ResponsibilitiesWork with sales team and management to develop marketing strategy that supports our growth and sales targetsDevelop general, channel and product related content marketing strategyDrive and optimise organic and paid lead campaigns, including SEMCapture, maintain and analyse our customer data and pipeline portfolio, including maintaining and reporting from our sales CRM (Hubspot)Develop and maintain an EDM campaign to various customer segmentsDevelop and manage publication of industry insights on Linkedin and websiteManage third parties including growth consultants, SEO and content writersOptimising landing pages (Wordpress) and customer funnelsIdentify and coordinate submissions for relevant industry awardsCombine various analytics (CRM, Google Analytics, SEMRush etc) to map customer/lead journey and prepare regular reporting for managementAbout youMinimum 7-8 years of marketing experiencePassionate about joining a growing team and firmCuriosity and interest in cybersecurityDegree or qualification in marketing fieldDemonstrable experience leading and managing SEO/SEM, marketing database (Hubspot), email, social media and advertising campaignsHighly creative with experience directing design of collateral, web pages and proposalsStrong analytical skill and data-driven thinkingUp-to-date with the latest trends and best practices in online marketing and measurement"
