,Name,Link,Advertiser,Description
0,Control Systems Engineer,https://www.seek.com.au/job/57401932?type=promoted,Murrumbidgee Irrigation," Do you want to join a team which supports successful agricultural enterprises by enabling the delivery of water to the nation’s food bowl?  Do you want to develop highly sought-after skills and experience in an industry-leading business? Do you want a combination or office and field based learning activities?  Grow your career with Murrumbidgee Irrigation.  About us Murrumbidgee Irrigation (MI) is one of the largest private irrigation companies in Australia serving over 3,000+ landholdings that is owned by our shareholder customers within an area of 378,000+ hectares. The irrigation water and drainage services we provide have helped create a diverse and highly productive agricultural region known as the Murrumbidgee Irrigation Area (MIA). The MIA is one of the most diverse and productive regions in Australia, forming part of the Murray-Darling Basin. The MIA is home to over 50,000 people with most jobs tied inextricably to the water we supply to farms and industry. We are a dynamic and innovative regional company that employs approximately 150 people at two locations in the MIA - Griffith and Leeton.   We’ve been around for over 100 years, but our job is simple - to deliver water in the best way possible.  About the role MI is seeking a suitability qualified and experienced Control Systems Engineer to join our Information Systems team.  The Control Systems Engineer will take a lead role in the strategic planning, design, and implementation of new operational technology (OT), along with driving continuous improvement existing Automation, SCADA, and Control Systems.  This is exciting and diverse role will oversee various projects and initiatives across the SCADA and operational technology stack, working in an integrated technology and information systems team environment.   What you will bring Qualifications in Electrical, Electronic, Instrumentation or Mechatronic fields, along with extensive experience in radio and wireless networking technology. Extensive experience in SCADA systems design and implementation, including programming of RTU, PLC and HMI equipment, TCP/IP networking and managing cybersecurity in an OT environment. Extensive experience in change and configuration management in areas including SCADA host software design and maintenance, alarm analysis and optimisation, and process review and improvement. Live in or be willing to relocate to the Griffith Area (or its surrounds). Demonstrated ability to manage your own time and an ability to work autonomously. Have excellent teamwork and interpersonal skills. Capacity for analytical thinking and the ability to identify the key elements of complex issues and problems. A ‘can do’ attitude focused on delivering outcomes Commitment to a strong values culture and a preparedness to ‘walk the talk’.  What can we offer you? MI offers: A proactive and inclusive work culture with a focus on safety – ‘nobody gets injured on my watch’.  Values based workforce – Integrity, Customers, Accountability, Respect, Teams an attractive and competitive remuneration, including access to salary packaging for superannuation, novated lease and remoter area housing.  Excellent work-life balance with the opportunity to secure additional annual leave Health and wellness programs, employee assistance program, company paid parental leave Country living at its best with fresh air, cosmopolitan cafes and restaurants, thriving community all in a beautiful place (see www.countrychange.com.au for more info)    If you have a passion for SCADA, Control Systems and Operational Technology and are ready to take on the challenge, APPLY NOW!   For more information about MI, what we do and what we can offer you, please visit www.mirrigation.com.au   For any questions, please contact the Team at MI on (02) 6962 0200 or via email at recruitment@mirrigation.com.au  "
1,Senior Information Technology Engineer - MSP,https://www.seek.com.au/job/57473395?type=promoted,GKM2 Solutions,"GKM2 is a boutique next generation Microsoft Technology Partner and specialist Managed IT Services and Security provider based in Sydney. We were recently ranked in CRN's Fast50 Australia's biggest celebration of IT channel success; https://www.crn.com.au/fast50/presentation-2021/17-gkm2-solutions#viewThe role provides an exciting opportunity for an experienced Senior Systems Engineer to take his/her role to the next level and to lead our small team and be a key contact to our clients. This is primarily a work from home opportunity so a dedicated quiet space is essential, with all ongoing operating expenses such as Internet and Laptop paid for. You must be based in Greater Sydney to be close proximity to our clients.ResponsibilitiesProviding 3rd Level technical resolution to our clients via our ticketing system in relation to desktop, server, network and all related infrastructure issues such as software installations, configuration, maintenance and security either over the phone/remote or onsite.Assisting and taking escalations from our Level 2 Technical Staff.Managing and Training our Level 2 Technical Staff.Microsoft 365 management and support, including but not limited to; Exchange Online, SharePoint Online, Microsoft Teams, OneDrive, Endpoint Manager (Intune), Microsoft Defender for Cloud Apps, Windows Defender for 365 and Endpoint, Enterprise and Mobility, Microsoft 365 E5.Leading technical projects such as new client onboarding, Server Migration Projects (on prem to on prem, on prem to cloud, cloud to cloud), Microsoft 365 and Azure Migrations.Working with Email Security and Backup and Archive Technologies such as AvePoint Cloud Backup and Proofpoint Essentials.Improving our Company's technical standards and processes, including client documentation, clients checklists, and introducing automation to improve efficiencies.You will be a primary contact to all our clients.Qualifications and Experience RequiredPrevious experience in an MSP environment is essential.Minimum 10 years of experience of configuring and supporting desktops, servers and networks (firewalls, switches, routers, wireless access points)Strong working networking knowledge (switching, routing, VLAN, WLAN, WAN, VPN)Strong working knowledge of all aspects of Microsoft 365 and associated services including, Microsoft Identity Management,  Enterprise Mobility and MDM.Strong working knowledge of Microsoft Azure including migrations and new builds.Excellent knowledge of common Antivirus (EDR) and Backup Applications and SolutionsStrong working knowledge of Windows Servers and have worked with and implemented all key server technologies such as Active Directory, DHCP, DNS, File & Print Services, Group Policy, Remote Desktop Services Farm etcStrong working knowledge and understanding of Virtualisation Technologies such as VMware, Hyper-V, Azure Virtual Desktop.Strong PowerShell/VB Scripting and/other scripting languagesStrong working knowledge of Linux OS, Build, Configuration and Administration.Cybersecurity SkillsStrong Analytical and Troubleshooting SkillsHighly Desirable Experience and technical working knowledge ofSophos XG/S Firewalls (firewall rules, NAT rules, SSL, IPSEC tunnels)Sophos Advanced Endpoint SecurityTechnical Certifications MS-100/101 and/or AZ-104Working with either N-Able N-Central/RMM, Datto RMM or similarWorking with ConnectWise Ticketing or similarWorking with Meraki Firewalls, Switching and Wireless Access PointsTelephony VoIP Skills and Microsoft Teams CallingITIL understandingPersonal Attributes RequiredExcellent verbal and written communication skillsWell Presented (Neat and Tidy)Self MotivatedExcellent Customer Service Skills - You will be customer facing!Ability to Work Under PressureEnjoys working with a team and helping othersGKM2 BenefitsWorking with a small organisation that really values their employeesAn easy-going environment and culture (we all enjoy what we do)Company LaptopOngoing TrainingWork from Home / Paid InternetWork with a wide variety of technologies - never gets boring hereLead the Team and work directly with the 2 Co-FoundersPaid Certification ExamsAre you ready to join a boutique well respected MSP? Do you have what it takes to take your career to the next level working on various technologies and platforms? To apply for this role, please include a separate cover letter together with your current resume, and in this letter please include: HashTag #ILoveTechnologyYour favourite DishOne hashtag that best describes youGenuine direct applications only."
2,Cybersecurity Consultant (Operational Technology),https://www.seek.com.au/job/57271672?type=standout,GHD Pty Ltd,"As our Cybersecurity Consultant Operational Technology, you will be responsible for the development and delivery of client solutions within operational technology (OT), how it integrates with IT, and will provide significant contributions towards growth and development of a Cybersecurity and Risk business. An opportunity to learn and quickly advance your career to the next level. You will:Be part of delivering complex (OT and IT) cybersecurity and risk consulting client engagements that will include governance, risk, compliance and architecture reviewsBe fluent in reviewing, recommending and implementing technical security controls, architectures and suitable technologies within operational technology (OT) environmentsAssist in driving growth of the Cybersecurity and Risk practice through client and internal relationships, building solutions, and leading proposal developmentContributes towards the achievement of revenue, utilisation and productivity targetsParticipate and speak at select industry conferences, shows and exhibitionsWhat you will bring to the team:3-6 years’ experience within OT cybersecurity and risk delivery and management for organisations, especially around critical infrastructuresDegree qualification in information technology, security or engineering disciplines preferred IT/OT certifications such as CISSP, CRISC, CISM, IEC62443, GSEC, GICSP or equivalent highly regardedVendor certifications such as CCNP, MCSA, MCSP and NSE or equivalent highly regardedSound understanding of global cybersecurity standards and Australian critical infrastructure security frameworksProject management experience and ability to meet deadlinesClient-centric, with a passion for engaging with key clients. Interested? Apply now.GHD is committed to providing Equal Employment Opportunities and invites applications from all nationalities, genders, and cultural backgrounds, including Aboriginal and Torres Strait Islander peoples.Enquiries: davin.grikis@ghd.com - Talent Acquisition Business Partner#LI-DG1"
3,Cybersecurity Consultant (Operational Technology),https://www.seek.com.au/job/57271921?type=standout,GHD Pty Ltd,"As our Cybersecurity Consultant Operational Technology, you will be responsible for the development and delivery of client solutions within operational technology (OT), how it integrates with IT, and will provide significant contributions towards growth and development of a Cybersecurity and Risk business. An opportunity to learn and quickly advance your career to the next level. You will:Be part of delivering complex (OT and IT) cybersecurity and risk consulting client engagements that will include governance, risk, compliance and architecture reviewsBe fluent in reviewing, recommending and implementing technical security controls, architectures and suitable technologies within operational technology (OT) environmentsAssist in driving growth of the Cybersecurity and Risk practice through client and internal relationships, building solutions, and leading proposal developmentContributes towards the achievement of revenue, utilisation and productivity targetsParticipate and speak at select industry conferences, shows and exhibitionsWhat you will bring to the team:3-6 years’ experience within OT cybersecurity and risk delivery and management for organisations, especially around critical infrastructuresDegree qualification in information technology, security or engineering disciplines preferred IT/OT certifications such as CISSP, CRISC, CISM, IEC62443, GSEC, GICSP or equivalent highly regardedVendor certifications such as CCNP, MCSA, MCSP and NSE or equivalent highly regardedSound understanding of global cybersecurity standards and Australian critical infrastructure security frameworksProject management experience and ability to meet deadlinesClient-centric, with a passion for engaging with key clients. Interested? Apply now.GHD is committed to providing Equal Employment Opportunities and invites applications from all nationalities, genders, and cultural backgrounds, including Aboriginal and Torres Strait Islander peoples.Enquiries: davin.grikis@ghd.com - Talent Acquisition Business Partner#LI-DG1"
4,Cybersecurity Consultant (Operational Technology),https://www.seek.com.au/job/57267246?type=standout,GHD Pty Ltd,"As our Cybersecurity Consultant Operational Technology, you will be responsible for the development and delivery of client solutions within operational technology (OT), how it integrates with IT, and will provide significant contributions towards growth and development of a Cybersecurity and Risk business. An opportunity to learn and quickly advance your career to the next level. You will:Be part of delivering complex (OT and IT) cybersecurity and risk consulting client engagements that will include governance, risk, compliance and architecture reviewsBe fluent in reviewing, recommending and implementing technical security controls, architectures and suitable technologies within operational technology (OT) environmentsAssist in driving growth of the Cybersecurity and Risk practice through client and internal relationships, building solutions, and leading proposal developmentContributes towards the achievement of revenue, utilisation and productivity targetsParticipate and speak at select industry conferences, shows and exhibitionsWhat you will bring to the team:3-6 years’ experience within OT cybersecurity and risk delivery and management for organisations, especially around critical infrastructuresDegree qualification in information technology, security or engineering disciplines preferred IT/OT certifications such as CISSP, CRISC, CISM, IEC62443, GSEC, GICSP or equivalent highly regardedVendor certifications such as CCNP, MCSA, MCSP and NSE or equivalent highly regardedSound understanding of global cybersecurity standards and Australian critical infrastructure security frameworksProject management experience and ability to meet deadlinesClient-centric, with a passion for engaging with key clients. Interested? Apply now.GHD is committed to providing Equal Employment Opportunities and invites applications from all nationalities, genders, and cultural backgrounds, including Aboriginal and Torres Strait Islander peoples.Enquiries: davin.grikis@ghd.com - Talent Acquisition Business Partner#LI-DG1"
5,Cybersecurity Consultant (Operational Technology),https://www.seek.com.au/job/57267202?type=standout,GHD Pty Ltd,"As our Cybersecurity Consultant Operational Technology, you will be responsible for the development and delivery of client solutions within operational technology (OT), how it integrates with IT, and will provide significant contributions towards growth and development of a Cybersecurity and Risk business. An opportunity to learn and quickly advance your career to the next level. You will:
Be part of delivering complex (OT and IT) cybersecurity and risk consulting client engagements that will include governance, risk, compliance and architecture reviews
Be fluent in reviewing, recommending and implementing technical security controls, architectures and suitable technologies within operational technology (OT) environments
Assist in driving growth of the Cybersecurity and Risk practice through client and internal relationships, building solutions, and leading proposal development
Contributes towards the achievement of revenue, utilisation and productivity targets
Participate and speak at select industry conferences, shows and exhibitions

What you will bring to the team:
3-6 years’ experience within OT cybersecurity and risk delivery and management for organisations, especially around critical infrastructures
Degree qualification in information technology, security or engineering disciplines preferred 
IT/OT certifications such as CISSP, CRISC, CISM, IEC62443, GSEC, GICSP or equivalent highly regarded
Vendor certifications such as CCNP, MCSA, MCSP and NSE or equivalent highly regarded
Sound understanding of global cybersecurity standards and Australian critical infrastructure security frameworks
Project management experience and ability to meet deadlines
Client-centric, with a passion for engaging with key clients. 

Interested? Apply now.
GHD is committed to providing Equal Employment Opportunities and invites applications from all nationalities, genders, and cultural backgrounds, including Aboriginal and Torres Strait Islander peoples.
Enquiries: davin.grikis@ghd.com - Talent Acquisition Business Partner
#LI-DG1
CAP5
"
6,Cybersecurity Consultant (Operational Technology),https://www.seek.com.au/job/57263173?type=standout,GHD Pty Ltd,"As our Cybersecurity Consultant Operational Technology, you will be responsible for the development and delivery of client solutions within operational technology (OT), how it integrates with IT, and will provide significant contributions towards growth and development of a Cybersecurity and Risk business. An opportunity to learn and quickly advance your career to the next level. You will:
Be part of delivering complex (OT and IT) cybersecurity and risk consulting client engagements that will include governance, risk, compliance and architecture reviews
Be fluent in reviewing, recommending and implementing technical security controls, architectures and suitable technologies within operational technology (OT) environments
Assist in driving growth of the Cybersecurity and Risk practice through client and internal relationships, building solutions, and leading proposal development
Contributes towards the achievement of revenue, utilisation and productivity targets
Participate and speak at select industry conferences, shows and exhibitions

What you will bring to the team:
3-6 years’ experience within OT cybersecurity and risk delivery and management for organisations, especially around critical infrastructures
Degree qualification in information technology, security or engineering disciplines preferred 
IT/OT certifications such as CISSP, CRISC, CISM, IEC62443, GSEC, GICSP or equivalent highly regarded
Vendor certifications such as CCNP, MCSA, MCSP and NSE or equivalent highly regarded
Sound understanding of global cybersecurity standards and Australian critical infrastructure security frameworks
Project management experience and ability to meet deadlines
Client-centric, with a passion for engaging with key clients. 

Interested? Apply now.
GHD is committed to providing Equal Employment Opportunities and invites applications from all nationalities, genders, and cultural backgrounds, including Aboriginal and Torres Strait Islander peoples.
Enquiries: davin.grikis@ghd.com - Talent Acquisition Business Partner
#LI-DG1
CAP5
"
7,ICT Engineer,https://www.seek.com.au/job/57482877?type=standout,Honeywell Ltd,"At Honeywell, we make a lot of incredible things. But most importantly, we make the future, and are looking for people to join our team global team of future shapers. When you join Honeywell, you become a member of our performance culture comprised of diverse leaders, thinkers, innovators, dreamers, and doers who are changing the future. Our people are committed to each other and to the realisation of our vision through their unique job functions. Our businesses embrace the challenges of innovation so that we define the future. And our global opportunities are endless for you to grow and get recognised for your passion to perform.We are seeking an experienced ICT Engineer to join our Darwin operations. Join a highly skilled team at the forefront of the transformation and delivery of ICT & Cybersecurity solutions and services for Operational Technology (OT) in a fast pace, changing and evolving environment. You will be integral in the design, engineering, configuration, implementation, commissioning and ongoing support/maintenance of ICT infrastructure and OT Applications into Honeywell Building Technologies (HBT) across multiple areas.Key ResponsibilitiesContribute to the design, engineering, configuration, implementation, commissioning, and support/maintenance of ICT infrastructure (Server, Storage, Network, Virtual Platforms etc.) for OT ApplicationsEnsure the global alignment and standardisation of the design, install and service of ICT and Cybersecurity services and technologyDrive and maintain the product support and utilisation of ICT/Cybersecurity servicesWork in collaboration with ICT peers to drive knowledge sharing and facilitate ICT/Cyber growthYou Must HaveTechnical Diploma and/or Tertiary Education in Information Technology/Systems or Computer ScienceAdvanced Certification and/or experience in relevant ICT industry technologies such as CCNP (Cisco), MCSE (Microsoft), VCDP (VMware), CA (Citrix) or similar.Certification and/or experience in relevant Cybersecurity methodologies such as CompTIA+, CISSP, CISM or similarMinimum 5 years’ experience working within the IT industry as a systems, network, storage or managed services engineer.We ValueStrong communication skills (both verbal and written)Individuals that quickly analyse, incorporate and apply new information and concepts.Diverse and global teaming and collaborationAdvanced with systems design, analysis and problem solvingIndividuals who are self-motivated and able to work with little supervision, who consistently take the initiative to get things done.Ability to adapt, multi-task with the ability to manage a variety of complicated tasksExperience with OT and IoT solutionsTeam leadership and resource managementAbout UsThe world is changing. And it’s a familiar story at Honeywell. Our $36 billion business was founded on a legacy of firsts spanning 130 years. We’re building a safer, smarter, and more sustainable world through our technology and software across each of our 930 sites globally. Our impact is seen in every shape and size around the world. Our solutions are felt daily in aerospace, buildings and cities, retail, chemicals and materials, safety, industrial and manufacturing, safety, and supply chains.Discover MoreWe’ve been innovating for more than 100 years and now we’re creating what’s next. There’s a lot more available for you to discover. Our solutions, our case studies, our #futureshapers, and so much more. Learn more at careers.honeywell.com/us/en/If you believe what happens tomorrow is determined by what we do today, you’ll love working at Honeywell.The future is what we make it. So join us and let’s do this together.Honeywell is an Equal Opportunity Employer and we support a diverse workforce. Aboriginal and Torres Strait Islander peoples are encouraged to apply.Finalist 2019 AHRI awards – Best workplace diversity and inclusion program.Qualified applicants will be considered without regard to age, race, creed, colour, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status.For more information on how we process your information in the job application process, please refer to Recruitment Privacy Notice.If a disability prevents you from applying for a job through our website, request assistance here. No other requests will be acknowledged.Copyright © 2020 Honeywell International Inc"
8,Cybersecurity Manager,https://www.seek.com.au/job/57349543?type=standout,Deloitte,"Company description:Deloitte Services Pty LtdJob description:Do you thrive on developing creative and innovative insights to solve complex challenges? Want to work on next-generation, cutting[1]edge products and services that deliver outstanding value and that are global in vision and scope? Work with other experts in your field? Work for a world-class organization that provides an exceptional career experience with an inclusive and collaborative culture? What will your typical day look like?The Cybersecurity Lead will report to the Global Cybersecurity Leader. You will focus on ensuring all business-related software, infrastructure, cloud and Regional Data Center (RDC) migration projects and solutions within Global Technology Services (GTS) and Member Firms include security by design in line with Deloitte Global cybersecurity policies and standards and identified cybersecurity risks. This is achieved with executing the Secure Systems Development Lifecycle (SSDLC) and other risk assessment/analysis processes across GTS and member firms.  Contribute to and execute the Secure Systems Development Lifecycle (SSDLC), including functional and non-functional cybersecurity requirements for all new applications and infrastructure projects. Understands the impact these security controls have on the respective organizations and their ability to effectively deliver client services   Support application and infrastructure GTS and member firm projects migrating to regional data centers (RDC) and cloud environments   Develop business acumen and subject matter expertise based on assigned lines of business, supporting Center of Excellence (CoE) integration and the delivery of world-class customer experience   Perform in-depth vulnerability management analysis and remediation prioritization for Global Digital Application Studios (GDAS) and member firms   Understand design patterns and reference architectures to support cybersecurity solutions and requirements are designed and incorporated into detailed architecture documents   Collaborate with the Global Architecture team for continuous process improvement supporting the transformation to agile methodologies   Contribute to the development and implementation of reporting metrics demonstrating Cybersecurity value and risk reduction across the organization   Integrate threat modelling and attack frameworks such as MITRE into the risk assessment/SSDLC process   Use SSDLC and agile methodologies to identify and incorporate cybersecurity requirements into application development, on[1]prem migrations, cloud-based environments, other technologies such as RPA, containerization, IOT and infrastructure projects   Support review of, and documents new and updated applications and systems from a cybersecurity assessment perspective with a focus on applications, internal RDC migrations, SaaS, Cloud, COTS, and infrastructure implementations as required by the TOM and SSDLC   About the team At Deloitte, we expect results. Incredible—tangible—results. And Deloitte Global professionals play a unique role in delivering those results. We reach across disciplines and borders to serve our global organization. We are the engine of Deloitte. We develop and implement global strategies and provide programs and services that unite our network. In Deloitte Global, everyone has opportunities. We see the importance of your perspective and your ability to create value. We want you to fit in—with an inclusive culture, focus on work-life fit and well-being, and a supportive, connected environment; but we also want you to stand out—with opportunities to have a strategic impact, innovate, and take the risks necessary to make your mark. Enough about us, let's talk about you. You are someone with:   At least 5 years of combined experience in engineering, solution design, and risk assessment in a cybersecurity context   At least 2 years holding a management and leadership role   Proven track record of the following in a highly complex, global organization:   Supporting implementation of security requirements within the systems development lifecycle (SDLC)   Demonstrated knowledge of securing applications and infrastructure systems (secure coding methods, WAF, application gateways, firewalls, servers, virtualized technologies)   Securing cloud-based environments and understanding risks associated with cloud-based solutions hosted in M365, Azure, AWS and GCP     Experience with applying secure application design principles to prevent application specific security defects based on OWASP Top 10 vulnerabilities   Experience with identity management and federation technologies and concepts   Excellent interpersonal and collaborative skills, with ability to communicate technical information, security topics, policies and standards as well as risk-related concepts to technical and nontechnical audiences at various hierarchical levels   Familiarity with network protocols, GWAN and WAN technologies and fundamental networking skills (TCP, IP, IDS/IPS, virtualization, etc.)   Bachelor's degree: degree in computer science, cybersecurity, other technology-related fields, or equivalent education-related experience   Why Deloitte? At Deloitte, we create positively differentiated work experiences that enable our people to feel valued and achieve their full potential. Deloitte Australia opens the door to a career that can cross borders virtually and physically across Asia Pacific to gain experience and access projects beyond Australia's borders. We value difference, and embrace people with diverse backgrounds, experiences, gender identities, abilities and thinking styles. Knowing that people work best in a variety of ways, we are happy to discuss alternative arrangements if the working pattern you are looking for is not specifically indicated.  We're committed to continually building a safe and respectful workplace, where all our people feel appreciated and accepted. Through the creation of endorsed employee-led diversity networks which promote cultural, disability, LGBTI+, Aboriginal and Torres Strait Islander people and gender equality, we're leading the way to shape an environment where everybody can thrive.  We are proud to have been recognised for our efforts in inspiring change and accelerating progress - check out our careers site for recent recognition in this space. Next Steps Sound like the sort of role for you? Apply now. "
9,Azure Cloud Engineer,https://www.seek.com.au/job/57458153?type=standard,GRANITE CONSULTING,Our client is growing their IT team across Australia and is seeking an experienced Cloud Engineer who is passionate about delivering technical troubleshooting for all aspects of computer hardware and software.The Role:  Maintain and optimise the Azure environment  Engage in important and exciting upcoming projects Maintain backup and disaster recovery environments. Provide level 3 technical resolution and share knowledge with the wider team  What we are looking for  Experienced Cloud Engineer with exposure to automation technologies Maintain and optimise the Azure environment with a focus on cybersecurity Collaborative style – interest in sharing knowledge and helping the team to develop their own skills. Working effectively with technology partners. Willingness to roll up their sleeves where required   If your seeking your next contract role in an exciting and challenging environment please apply online using the appropriate link below. For more information please contact Nataly Pinzon (https://www.linkedin.com/in/natalypinzon/) on (03) 9094 0900.
