,Name,Link,Advertiser,Description
0,Senior Technical Consultant,https://www.seek.com.au/job/57349991?type=promoted,IT Vision,"The TeamThe ICT Team provides high-value services to our customers, from Advisory to Technical Delivery, in our ICT and Professional Services group. Being an internal and customer-facing business unit, our team members are our ambassadors for IT Vision, representing our brand, products and services. We operate with the utmost professionalism and integrity when dealing with our customers, embodying the IT Vision values!About the RoleThe opportunity for an experienced Infrastructure Consultant or Technical Architect to join our highly successful Perth team is now available. As a Senior Technical Consultant, you will have the opportunity to work across multiple customer environments and play a vital role in the design and implementation of Cloud solutions.You will be responsible for the leadership and coordination of IT Vision's technical customer service activities by resolving customer questions or complaints and developing programs and procedures to enhance productivity and performance.You will be expected to respond directly to customers who need assistance, answering phone calls or emails to provide quick resolution of issues. Suppose a team member cannot resolve a customer's question or complaint. In that case, the Senior Technical Consultant will assume the escalation point to identify a solution for the customer or direct them to another IT Vision team that can assist. A key area is to improve overall efficiency and performance by identifying opportunities to enhance internal processes.What You Will DoTo provide Technical Consultant services to IT Vision, IT Vision clients and potential new clients of IT Vision.The Senior Technical Consultant will be responsible for:Supporting clients who use IT Vision software. This will include but is not limited to new customer implementations, database migrations and software upgrades.Assisting IT Vision with internal on-premise and cloud-based ICT-related tasks.Reading specifications for changes/enhancements to the IT Vision Software, testing those changes and packaging for release.Personal Development in IT Vision Software and Local Government regulations. Occupational Health, Safety and Welfare requirements.Assisting fellow IT Vision employees in their activities.Assisting the ICT Manager with their activities as requiredProvide mentorship for Support ConsultantsArrange individual and group training for customers and internal staff as requiredEvolve the function to improve quality and efficiencyEnsure high standards of customer satisfactionInstalling, administering, and troubleshooting network security solutions.Updating software with the latest security patches and ensuring the proper defences are present for each network resource.Performing vulnerability and penetration tests, identifying and defending against threats, and developing disaster recovery plans.Configuring security systems, analysing security requirements, and recommending improvements.Monitoring network traffic for suspicious behaviour.Creating network policies and authorisation roles and defending against unauthorised access, modifications, and destruction.Consult with staff, managers, and executives about best security practices and provide technical advice.Configuring and supporting security tools, such as firewalls and anti-virus software.Training staff to understand and use security protocols.Other duties as directed by the Company from time to time. What You Will BringAs an experienced professional, you'll be a success-driven individual passionate about technology and using it to deliver outstanding customer outcomes. You'll have experience working in a Consulting environment designing and implementing infrastructure solutions. You will be comfortable engaging with and presenting to all levels of customers, from technical staff to executives. Your attention to detail will ensure your deliverable is of the highest standards.The successful candidate will embody the following attributes:A self-starter who can manage numerous, complex projects requiring high-level capabilities without direction and with minimal supervision.Work effectively in a collaborative team environment, as well as independently.  Excellent written and verbal communication skills.Strong skills in critical thinking, decision making, problem-solving, and attention to detail.An excellent culture fit - Positive, ambitious, empathetic, sense of humour, kind and respectful. Ideally, your Technical Skills will encompass some or all of the following, which corresponding vendor certifications will support:Microsoft 365Microsoft AzureMicrosoft Windows Server and Desktop operating systemsMicrosoft SQL Server (provisioning, maintenance and basic DBA functions)Backup software (ShadowProtect, Veeam etc.)Fortigate security appliancesVPN solutionsAmazon Web ServicesVMware and/or Hyper-V, including clustering / high availability configurationsAtlassian products (JIRA, JIRA Service Desk, Confluence)Microsoft Remote Desktop ServicesDisaster Recovery, High Availability and Backup SolutionsActive Directory Domain Services, DNS, DHCP, RADIUS, Remote Access etc.Solid understanding of SaaS and a genuine interest in emerging technology and innovation Desirable qualifications:Bachelor's Degree in Business, Management, Technology, Cyber Security or relevant discipline is also desired.Advance Training certificationsMCSE or related MCP certifications"
1,Product Security Engineer,https://www.seek.com.au/job/57419002?type=standout,Commonwealth Bank - Enterprise Services," Be a part of a high profile Security ProgramJoin one of the most advanced Cyber Security teams in AustraliaThe Cyber Security Team protects the bank and our customers from theft, losses and risk events, through effective and proactive management of cyber security, privacy and operational risk. The Digital Assurance team is responsible for vulnerability assessment, penetration testing, and ethical hacking services. The team provides security leadership and expertise through direct interaction with business stakeholders to enable innovation to the Group and its customers.  Do Work that Matters  You will be responsible for delivering Product Security services to our key delivery streams. Providing technical consulting, application security and penetration testing activities designed to ensure that the bank maintains its risk and security posture at desired levels, you will be responsible for communicating security issues to both technical and non-technical stakeholders.  Your responsibilities Work closely with scrum teams and project managers to provide penetration testing and application security services. This will include delivering targeted web application, mobile application security tests, source code review and analysis.Document and report results and scope of assurance activities to our customers, including project managers, service owners, developers and risk managers.Champion security initiatives and new ways of working to ensure systems in the portfolio continue to be safe, sound and secure. This will involve pitching security initiatives, and assisting in the implementation of industry leading secure development practices such as code scanning and bug bounties.Provide subject matter expertise to key stakeholders, including pro-active efforts to reduce the likelihood that vulnerabilities ship in our retail products before go-live.Your experienceDemonstrated experience in Penetration Testing/Application Security /Product Security .Exposure in code review to assist with proactively reducing vulnerabilities before code is deployed.Have a sound understanding of web and mobile application vulnerabilities identification, penetration testing processes and methodologies.Have worked in (or with) development teams.The health and safety of our people, customers and communities is our number one priority. This means that we require all of our employees to be fully vaccinated against COVID-19. Please speak to us if you have any questions about this based on your individual circumstances. Whether you're passionate about customer service, driven by data, or called by creativity, a career here is for you. Our people bring their diverse backgrounds and unique perspectives to build a respectful, inclusive and flexible workplace. One where we're driven by our values, and supported to share ideas, initiatives, and energy. One where making a positive impact for customers, communities and each other is part of our every day.Here, you'll thrive. You'll be supported when faced with challenges, and empowered to tackle new opportunities. We really love working here, and we think you will too.We're determined to make a real difference for Australia's first peoples. We encourage all interested applicants to apply. If you're already part of the Commonwealth Bank Group (including Bankwest), you'll need to apply through Sidekick [link removed] to submit a valid application. We're keen to support you with the next step in your career."
2,Senior Product Security  Engineer,https://www.seek.com.au/job/57418805?type=standout,Commonwealth Bank - Enterprise Services," Be a part of a high profile Security ProgramJoin one of the most advanced Cyber Security teams in AustraliaThe Cyber Security Team protects the bank and our customers from theft, losses and risk events, through effective and proactive management of cyber security, privacy and operational risk. The Digital Assurance team is responsible for vulnerability assessment, penetration testing, and ethical hacking services. The team provides security leadership and expertise through direct interaction with business stakeholders to enable innovation to the Group and its customers.  Your contribution  You will be responsible for delivering Product Security services to our key delivery streams. Providing technical consulting, application security and penetration testing activities designed to ensure that the bank maintains its risk and security posture at desired levels, you will be responsible for communicating security issues to both technical and non-technical stakeholders.  Do Work that Matters Work closely with scrum teams and project managers to provide penetration testing and application security services. This will include delivering targeted web application, mobile application security tests, source code review and analysis.Document and report results and scope of assurance activities to our customers, including project managers, service owners, developers and risk managers.Champion security initiatives and new ways of working to ensure systems in the portfolio continue to be safe, sound and secure. This will involve pitching security initiatives, and assisting in the implementation of industry leading secure development practices such as code scanning and bug bounties.Provide subject matter expertise to key stakeholders, including pro-active efforts to reduce the likelihood that vulnerabilities ship in our retail products before go-live.Your experience Demonstrated experience as a Penetration Tester/Application Security Specialist/Product Security Engineer at a senior level.Exposure in code review to assist with proactively reducing vulnerabilities before code is deployed.Have a sound understanding of web and mobile application vulnerabilities identification, penetration testing processes and methodologies.Have worked in (or with) development teams.The health and safety of our people, customers and communities is our number one priority. This means that we require all of our employees to be fully vaccinated against COVID-19. Please speak to us if you have any questions about this based on your individual circumstances  Sounds like you? Apply now to take the next great leap forward in your career Whether you're passionate about customer service, driven by data, or called by creativity, a career here is for you. Our people bring their diverse backgrounds and unique perspectives to build a respectful, inclusive and flexible workplace. One where we're driven by our values, and supported to share ideas, initiatives, and energy. One where making a positive impact for customers, communities and each other is part of our every day.Here, you'll thrive. You'll be supported when faced with challenges, and empowered to tackle new opportunities. We really love working here, and we think you will too.We're determined to make a real difference for Australia's first peoples. We encourage all interested applicants to apply. If you're already part of the Commonwealth Bank Group (including Bankwest), you'll need to apply through Sidekick [link removed] to submit a valid application. We're keen to support you with the next step in your career."
3,Principal Penetration Tester,https://www.seek.com.au/job/57223337?type=standout,Commonwealth Bank - Enterprise Services," Work in one of the most advanced Cyber Security teams in AustraliaWork across an extremely broad range of technologies, and many innovative projects and systems.Flexible working options/remote working availableYour Team  The Technology division is responsible for the world leading application of technology and operations across every aspect of CommBank, from innovative product platforms for our customers to essential tools within our business. We also use technology to drive efficient and timely processing, an essential component of great customer service.  The Cyber Security Team, which protects the bank and our customers from theft, losses and risk events, through effective and proactive management of cyber security, privacy and operational risk.  The role is part of the Digital Assurance team, which is responsible for identification of exploitable vulnerabilities across our environments, keeping up with the ever changing threat landscape, and improving the Group's security posture by demonstrating and helping fix significant security issues in the organisation's applications and systems.  Do Work that Matters:  Perform complex attack testing activities, provide deep levels of technical knowledge in focus fields, and provide innovative solutions to difficult technical challenges.  Your responsibilities: Lead, design, and deliver complex penetration testing engagements to assess and validate the security posture of bank systems.Report results of testing to our customers, including project managers, service owners, developers and risk managers.Take technical ownership of penetration testing for a business unit or multiple business units.Maintain awareness of advancements in hardware and software technologies (e.g., attend training or conferences, reading) and their potential implications.Create comprehensive exploitation strategies that identify exploitable technical or operational vulnerabilities.Provide subject matter expertise to key stakeholders.Have the flexibility to work on multiple projects as required.Provide Product Security guidance on alternate methods of security assurance, such as AppSec practices, testing automation, etc.Support team technical development through domain development or research and contribute to technical processes.Provide coaching and mentoring to uplift team capability.What you will need to succeed Demonstrated experience in penetration testing across several of the following domains: web applications, mobile applications, infrastructure, networks, WiFi, cloud and container security, thick-clients applications, hardware and embedded systems, reverse engineering, POS terminals and ATMs, applied cryptography, block chain and smart contracts, etc.Experience in communicating technical concepts to business audience of varying skills and expertiseAbility to work closely with system owners, developers, engineers and/or project teams to perform scoping, threat modelling, and penetration testing from start to finishMaintain relevant industry certifications such as SANS or Offensive SecurityExperience testing critical transactional systems in industries such finance and banking, government, and defense are highly desirableExperience in developing hacking tools, security research, advisories and presentations is an advantageExperience in proactively reducing vulnerabilities before code is deployed, including code review, vulnerability and dependency management.The health and safety of our people, customers and communities is our number one priority. This means that we require all of our employees to be fully vaccinated against COVID-19. Please speak to us if you have any questions about this based on your individual circumstances. Whether you're passionate about customer service, driven by data, or called by creativity, a career here is for you. Our people bring their diverse backgrounds and unique perspectives to build a respectful, inclusive and flexible workplace. One where we're driven by our values, and supported to share ideas, initiatives, and energy. One where making a positive impact for customers, communities and each other is part of our every day.Here, you'll thrive. You'll be supported when faced with challenges, and empowered to tackle new opportunities. We really love working here, and we think you will too.We're determined to make a real difference for Australia's first peoples. We encourage all interested applicants to apply. If you're already part of the Commonwealth Bank Group (including Bankwest), you'll need to apply through Sidekick [link removed] to submit a valid application. We're keen to support you with the next step in your career."
4,Product Security Engineer (penetration testing),https://www.seek.com.au/job/57303589?type=standout,Commonwealth Bank - Enterprise Services," Be a part of a high profile Security ProgramImplement best practice in to developmentJoin one of the most advanced Cyber Security teams in AustraliaThe Cyber Security Team protects the bank and our customers from theft, losses and risk events, through effective and proactive management of cyber security, privacy and operational risk. The Digital Assurance team is responsible for vulnerability assessment, penetration testing, and ethical hacking services. The team provides security leadership and expertise through direct interaction with business stakeholders to enable innovation to the Group and its customers.  Your contribution  You will be responsible for delivering cyber security assurance services for our key customer channels (including Netbank, CommBiz, CommSec, CommSee, and the CommBank Mobile App). Providing technical consulting, application security and testing activities designed to ensure that the bank maintains its risk and security posture at desired levels, you will be responsible for communicating security issues to both technical and non-technical stakeholders.  Your responsibilitiesPerform security assurance functions for our retail business unitWork closely with scrum teams and project managers to provide appropriate security assurance methods for continuous code and technology changes in your portfolio. This will include delivering targeted web application, mobile application security tests, source code review and analysis.Facilitate and scope more detailed penetration testing activities and when required refer projects to other specialist cyber security teams.Document and report results and scope of assurance activities to our customers, including project managers, service owners, developers and risk managers.Champion security initiatives and new ways of working to ensure systems in the portfolio continue to be safe, sound and secure. This will involve pitching security initiatives, and assisting in the implementation of industry leading secure development practices such as code scanning and bug bounties.Provide subject matter expertise to key stakeholders, including pro-active efforts to reduce the likelihood that vulnerabilities ship in our retail products before go-live.Your experienceYou will have performed a similar role as a Penetration Tester in proactively reducing vulnerabilities before code is deployed, including code review, vulnerability and dependency management. This could be from a penetration testing, application security, or product security role.Have a sound understanding of web and mobile application vulnerabilities identification, penetration testing processes and methodologies.Have worked in (or with) development teams.The health and safety of our people, customers and communities is our number one priority. This means that we require all of our employees to be fully vaccinated against COVID-19. Please speak to us if you have any questions about this based on your individual circumstances Whether you're passionate about customer service, driven by data, or called by creativity, a career here is for you. Our people bring their diverse backgrounds and unique perspectives to build a respectful, inclusive and flexible workplace. One where we're driven by our values, and supported to share ideas, initiatives, and energy. One where making a positive impact for customers, communities and each other is part of our every day.Here, you'll thrive. You'll be supported when faced with challenges, and empowered to tackle new opportunities. We really love working here, and we think you will too.We're determined to make a real difference for Australia's first peoples. We encourage all interested applicants to apply. If you're already part of the Commonwealth Bank Group (including Bankwest), you'll need to apply through Sidekick [link removed] to submit a valid application. We're keen to support you with the next step in your career."
5,Security Penetration Tester Lead,https://www.seek.com.au/job/57491698?type=standout,Ampion,"BE PART OF OUR EVOLUTION          Smart. Insightful. Curious. We are intensely committed to helping our customers navigate complexity and harness the power of technology to achieve great things. Our culture of collaboration and community empowers our team to strive to be the very best at what we do and grow beyond expectations. We love what we do and are proud of how we get things done together. ABOUT THE ROLE         Leading a small team, working with project stakeholders to identify assets and define penetration test scopes - evaluating the breadth and depth on which testing should take place.You will be executing or driving penetration test engagements in a team to identify vulnerabilities and weaknesses that could impact the client. Also, you will be providing Quality Assurance reviews for testing scopes and reports from your peers to ensure high quality and accuracy of testing.Highly desirable requirements  Prior enterprise experience Prior experience with leading a Security Penetration Testing Team Security Certification including OSCP 5+ years experience that covers at least 5 of the following:    Web Application Security Testing Thick Client Security Testing Mobile Application Security Testing Infrastructure Security Testing Network Penetration testing (Internal and External) Security Configuration Review Application Remediation Services/Vulnerability Management   Desirable requirements  Consulting experience At least 2 years experience in Source Code Review in Enterprise Languages including Java, C#, Node.js Security testing in the following areas:  Social Engineering/APT security testing Physical Security Assessments Mainframe Security Testing    WHAT WE CAN OFFER YOU  Paid parental leave Reduced corporate healthcare rates Quarterly guaranteed variable pay Quarterly career progression reviews - we do not limited our employees to the usual once per year reviews! Regular Lunch & Learn sessions Wellbeing and mental health sessions Join a high performing and collaborative team Exposure to the latest tools and technology and the opportunity to work with a variety of tier one clients Team building, fun activities and social events - COVID permitting Free ongoing training and development to help you reach your full potential  HOW TO APPLYSubmit your interest by applying now or contact our Talent Acquisition Partner, Charlee Jane - charlee.jane@ampion.com.au for more information on a career with Ampion."
6,Mid-Level Penetration Tester,https://www.seek.com.au/job/57190195?type=standard,Humanised Group,"Job Purpose:Looking for a Mid-Level Penetration Testing Consultant  to join a reputable and global organization. Main Responsibilities:  Perform penetration testing, vulnerability assessment and provide mitigation recommendations Prepare test plans, conduct tests, and report on tests Maintain and enhance the Penetration Testing toolset Perform deep, detailed and advanced security assessments  Analyze vulnerabilities and deliver clear written reports to identify network risks and provide mitigation recommendations Creates organizational knowledge about key technologies, tools and methodologies  Key Skills Required:  2+ years of Pen Testing experience One or more Pen Test certifications such as OSCP, OSCP, OSWE, etc The use of current penetration testing tools and techniques Previous cloud experience - AWS/Azure Experience in performing technical evaluation  Experienced in the preparation of audit reports Ethical hacking principles and techniques  What's in it for you?  Work for a reputable and global organization Great team environment Training provided/Career Development WFH options "
7,Mid-Level Penetration Tester,https://www.seek.com.au/job/57190191?type=standard,Humanised Group,"Job Purpose:Looking for a Mid-Level Penetration Testing Consultant  to join a reputable and global organization. Main Responsibilities:  Perform penetration testing, vulnerability assessment and provide mitigation recommendations Prepare test plans, conduct tests, and report on tests Maintain and enhance the Penetration Testing toolset Perform deep, detailed and advanced security assessments  Analyze vulnerabilities and deliver clear written reports to identify network risks and provide mitigation recommendations Creates organizational knowledge about key technologies, tools and methodologies  Key Skills Required:  2+ years of Pen Testing experience One or more Pen Test certifications such as OSCP, OSCP, OSWE, etc The use of current penetration testing tools and techniques Previous cloud experience - AWS/Azure Experience in performing technical evaluation  Experienced in the preparation of audit reports Ethical hacking principles and techniques  What's in it for you?  Work for a reputable and global organization Great team environment Training provided/Career Development WFH options "
8,Mid-Level Penetration Tester,https://www.seek.com.au/job/57190190?type=standard,Humanised Group,"Job Purpose:Looking for a Mid-Level Penetration Testing Consultant  to join a reputable and global organization. Main Responsibilities:  Perform penetration testing, vulnerability assessment and provide mitigation recommendations Prepare test plans, conduct tests, and report on tests Maintain and enhance the Penetration Testing toolset Perform deep, detailed and advanced security assessments  Analyze vulnerabilities and deliver clear written reports to identify network risks and provide mitigation recommendations Creates organizational knowledge about key technologies, tools and methodologies  Key Skills Required:  2+ years of Pen Testing experience One or more Pen Test certifications such as OSCP, OSCP, OSWE, etc The use of current penetration testing tools and techniques Previous cloud experience - AWS/Azure Experience in performing technical evaluation  Experienced in the preparation of audit reports Ethical hacking principles and techniques  What's in it for you?  Work for a reputable and global organization Great team environment Training provided/Career Development WFH options "
9,Security Penetration Testing Analyst,https://www.seek.com.au/job/57489065?type=standard,Cecuri,"The Cecuri Team are looking for an experienced Security Penetration Testing Analyst to join our Adelaide team. Overview:Locally owned and operatedNational and international client baseGreat exposure to a range of technologiesHighly experienced team What the role entails:Working with a diverse range of customers to identify and solve security problems, both in person and remotely.Delivering a wide range of security assurance services, including but not limited to web application penetration tests, network and infrastructure penetration tests and vulnerability assessments.Performing social engineering engagements and physical security assessments and/or undertaking secure code reviews, where appropriate.Design, implement and deliver penetration and vulnerability assessment engagementsDocument and articulate both the risk and technical aspects of outcomesPreparing high quality reports detailing security issues, making recommendations and identifying solutions.Working collaboratively with your team and clients to continuously grow and share knowledgePersonal Attributes and technical qualifications:5+ years information security experience - 2+ in penetration testing.  Ideally with some experience in a consulting environment (note: this level of experience is a guide, not a requirement).Passionate about offensive security and security assurance. You must genuinely love your craft and want to excel.Able to work collaboratively and independently, depending on project and team requirements.Strong understanding of Cyber Security Frameworks (NIST, ASD8, ISO 27001, CPS234, NDB)Continuously looking to grow and develop your technical and professional skills – a proven track record of self-initiated learning and involvement in the pen testing/hacking community is highly regarded.Industry recognised certifications in penetration testing (CREST CCT or CRT, OSCP, SANS, etc) are regarded highly, but not required.AGSVA clearance regarded highly, but not required.Demonstrated ability to plan effectively and work autonomously and intuitively.A willingness and drive to remain up to date with industry trends, issues and news. The Company:Cecuri are a company dedicated to auditing our customers environments to help them understand their current security posture and align with industry specific frameworks. We have developed a suit of products and services that we deliver both nationally and internationally for all types of clientele. We have built strong industry relationships that has made us the “go-to” partner for audit and risk services and our delivery capability is highly regarded amongst our piers. We are excited by the growth opportunity the industry is experiencing and are looking to continue our strong growth trajectory. Please Note:Must be an Australian resident living in the Adelaide region with a current drivers license. All applications to include a cover letter and quote Job ID C50002206. Further details only provided to candidates who meet this criteria. Employees of Cecuri are required to work in a range of environments supporting our clients across many sectors of the business community. Many of our clients work in industries that can potentially present risks to the health and safety of our employees and/or members of the client’s community. Employee risk factors associated with some illnesses are further elevated due to the mere fact they work across multiple sites. Cecuri have in place policies designed to protect the health and safety of employees whilst at work including a requirement for employees to avail themselves of appropriate medical intervention (eg vaccinations) to minimise their chance of infection and/or serious complications of any illness (eg influenza or COVID-19). As a result, applicants who are not able to comply with relevant vaccination requirements will not be considered for this role.   No agencies please"
